rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.6 55.0 0.10909091 0.109898984 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.2 56.0 0.10714286 0.11049423 0.125 0.8372093 0.8848837 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.0 57.0 0.10526316 0.11427603 0.14035088 0.8372093 0.8848837 0.95348835
4 0.0 0.3 0.5 1.0 56.5 58.0 0.10344828 0.113304496 0.14035088 0.8372093 0.8848837 0.95348835
5 0.0 0.3 0.6 1.0 57.2 59.0 0.10169491 0.1118839 0.13793103 0.8372093 0.8848837 0.95348835
6 0.0 0.28333333 0.5 1.0 57.9 60.0 0.1 0.11234281 0.13793103 0.8372093 0.8848837 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.4 61.0 0.09836066 0.11304148 0.13559322 0.8372093 0.8837209 0.95348835
8 0.0 0.2875 0.5 1.0 59.0 62.0 0.09677419 0.11365594 0.13559322 0.8372093 0.8837209 0.95348835
9 0.0 0.3333333 0.5555556 1.0 59.3 63.0 0.0952381 0.11474864 0.13559322 0.8372093 0.8837209 0.95348835
10 0.0 0.33 0.5 1.0 60.0 64.0 0.09375 0.118386015 0.15 0.8372093 0.8837209 0.95348835
11 0.09090909 0.32727274 0.45454547 1.0 60.5 64.0 0.09375 0.11900803 0.15254237 0.8372093 0.88139534 0.95348835
12 0.083333336 0.325 0.5 1.0 61.0 65.0 0.092307694 0.11805205 0.15254237 0.8372093 0.8802325 0.94186044
13 0.07692308 0.31538466 0.53846157 1.0 61.5 65.0 0.092307694 0.117125235 0.15254237 0.8372093 0.87674415 0.94186044
14 0.071428575 0.30714285 0.5 1.0 62.0 66.0 0.09090909 0.11624285 0.15254237 0.8372093 0.87674415 0.94186044
15 0.06666667 0.3066667 0.53333336 1.0 62.2 66.0 0.09090909 0.11743207 0.16666667 0.8372093 0.87674415 0.94186044
16 0.0625 0.3 0.5 1.0 62.9 67.0 0.08955224 0.12082521 0.16393442 0.8372093 0.87674415 0.94186044
17 0.05882353 0.30588236 0.5294118 1.0 63.1 67.0 0.08955224 0.12052232 0.16393442 0.8372093 0.8755814 0.94186044
18 0.055555556 0.30555555 0.5 1.0 63.6 68.0 0.0882353 0.11955726 0.16393442 0.8372093 0.8755814 0.94186044
19 0.05263158 0.3 0.5263158 1.0 63.8 67.0 0.08955224 0.11902895 0.16129032 0.8372093 0.8732557 0.94186044
