rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.1 56.0 0.10714286 0.11252165 0.12727273 0.8372093 0.88255817 0.95348835
3 0.0 0.26666665 0.6666667 1.0 55.9 58.0 0.10344828 0.11987301 0.14285715 0.8372093 0.88255817 0.95348835
4 0.0 0.325 0.5 1.0 56.2 59.0 0.10169491 0.12103681 0.14285715 0.8372093 0.88255817 0.95348835
5 0.0 0.32000002 0.6 1.0 56.5 59.0 0.10169491 0.12034218 0.14285715 0.8372093 0.88255817 0.95348835
6 0.0 0.33333334 0.5 1.0 56.8 59.0 0.10169491 0.12322619 0.14285715 0.8372093 0.88139534 0.95348835
7 0.0 0.32857147 0.5714286 1.0 57.2 60.0 0.1 0.12588008 0.15254237 0.8372093 0.8790698 0.94186044
8 0.0 0.3375 0.5 1.0 57.6 62.0 0.10714286 0.1282989 0.15254237 0.8255814 0.87325585 0.94186044
9 0.0 0.36666664 0.5555556 1.0 58.0 63.0 0.10526316 0.12923664 0.15254237 0.8255814 0.8720931 0.94186044
10 0.0 0.35999998 0.6 1.0 58.4 64.0 0.10526316 0.1333755 0.15517241 0.8255814 0.8720931 0.94186044
11 0.09090909 0.36363634 0.54545456 1.0 58.8 64.0 0.10526316 0.13405304 0.15254237 0.8255814 0.8697675 0.94186044
12 0.083333336 0.35 0.5 1.0 59.3 65.0 0.10526316 0.1346452 0.16129032 0.81395346 0.86744195 0.9302326
13 0.07692308 0.3538462 0.53846157 1.0 59.5 65.0 0.10714286 0.13602856 0.16129032 0.81395346 0.8627907 0.9186047
14 0.14285715 0.35714287 0.5 1.0 59.9 65.0 0.10526316 0.1351395 0.16129032 0.81395346 0.86162794 0.9186047
15 0.2 0.3666667 0.53333336 1.0 60.2 65.0 0.10344828 0.13609248 0.16393442 0.81395346 0.86162794 0.9186047
16 0.1875 0.35625 0.5 1.0 60.7 65.0 0.10344828 0.13974372 0.17460318 0.7906977 0.8581395 0.9186047
17 0.1764706 0.35294122 0.5294118 1.0 60.6 66.0 0.10344828 0.14182594 0.17460318 0.7906977 0.8569767 0.9186047
18 0.16666667 0.35555556 0.5 1.0 60.7 66.0 0.10344828 0.14318725 0.17460318 0.7906977 0.85 0.9186047
19 0.15789473 0.34210527 0.47368422 1.0 61.0 66.0 0.10526316 0.1424313 0.17460318 0.7790698 0.84534883 0.9186047
20 0.15 0.34 0.45 1.0 61.2 67.0 0.10526316 0.14370935 0.1754386 0.7790698 0.84534883 0.9186047
21 0.14285715 0.33809525 0.47619048 1.0 61.8 67.0 0.10526316 0.14688563 0.17741935 0.7790698 0.84534883 0.9186047
22 0.13636364 0.34090912 0.45454547 1.0 62.4 69.0 0.10526316 0.15036671 0.1875 0.7790698 0.844186 0.9186047
23 0.17391305 0.33043474 0.4347826 1.0 63.0 69.0 0.10526316 0.1504673 0.1875 0.7790698 0.8430233 0.9186047
24 0.16666667 0.3375 0.45833334 1.0 62.8 69.0 0.10526316 0.1509463 0.1875 0.7790698 0.8418605 0.9186047
25 0.2 0.34400004 0.44 1.0 62.9 70.0 0.10526316 0.1523174 0.1875 0.76744187 0.83720934 0.9186047
26 0.1923077 0.33846155 0.42307693 1.0 63.2 70.0 0.10714286 0.15310004 0.18461539 0.75581396 0.8348838 0.9186047
27 0.18518518 0.34444445 0.44444445 1.0 63.6 70.0 0.10526316 0.15213338 0.18181819 0.75581396 0.8290698 0.9186047
28 0.17857143 0.33214286 0.42857143 1.0 63.7 69.0 0.12068965 0.15656842 0.19402985 0.75581396 0.8267442 0.9186047
29 0.1724138 0.32068968 0.41379312 1.0 64.2 70.0 0.12068965 0.15837215 0.20588236 0.75581396 0.822093 0.9186047
30 0.16666667 0.33 0.43333334 1.0 64.6 72.0 0.12068965 0.15759046 0.20588236 0.75581396 0.8197675 0.89534885
31 0.16129032 0.33548388 0.4516129 1.0 64.6 71.0 0.12068965 0.15745589 0.20588236 0.75581396 0.81627905 0.872093
32 0.15625 0.334375 0.4375 1.0 64.8 70.0 0.12068965 0.16304542 0.20588236 0.75581396 0.8139535 0.872093
33 0.15151516 0.33333334 0.45454547 1.0 64.6 69.0 0.12068965 0.16346785 0.20588236 0.75581396 0.80930233 0.872093
34 0.14705883 0.33235294 0.47058824 1.0 64.5 70.0 0.12280702 0.1680136 0.21428572 0.75581396 0.80930233 0.872093
