rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.8848837 0.95348835
2 0.0 0.25 0.5 1.0 54.7 55.0 0.10909091 0.111515164 0.12727273 0.8372093 0.88139534 0.95348835
3 0.0 0.26666665 0.6666667 1.0 55.0 56.0 0.10714286 0.11459355 0.12962963 0.81395346 0.87441856 0.94186044
4 0.0 0.325 0.5 1.0 55.1 56.0 0.10714286 0.11435787 0.12727273 0.7906977 0.872093 0.94186044
5 0.0 0.32000002 0.6 1.0 55.3 56.0 0.10714286 0.11392858 0.12727273 0.7906977 0.8709302 0.94186044
6 0.0 0.31666666 0.5 1.0 55.5 56.0 0.10714286 0.115357146 0.14545454 0.7906977 0.86744183 0.94186044
7 0.0 0.31428573 0.42857143 1.0 55.7 57.0 0.10526316 0.116792545 0.14545454 0.7906977 0.8627907 0.94186044
8 0.0 0.3125 0.5 1.0 56.1 59.0 0.10169491 0.116020486 0.14545454 0.7906977 0.8569767 0.9186047
9 0.0 0.35555556 0.5555556 1.0 56.2 59.0 0.10169491 0.11583252 0.14545454 0.7906977 0.855814 0.9186047
10 0.0 0.35000005 0.6 1.0 56.4 60.0 0.10526316 0.117069945 0.14285715 0.7906977 0.855814 0.9186047
11 0.09090909 0.36363637 0.54545456 1.0 56.7 60.0 0.10526316 0.1181898 0.14285715 0.7906977 0.855814 0.9186047
12 0.083333336 0.35833332 0.5833333 1.0 56.9 61.0 0.10526316 0.117779955 0.14285715 0.7790698 0.8523256 0.9186047
13 0.07692308 0.3615385 0.61538464 1.0 56.9 61.0 0.10526316 0.11780373 0.14285715 0.7790698 0.85 0.9186047
14 0.14285715 0.36428574 0.5714286 1.0 57.1 61.0 0.10526316 0.11737269 0.14285715 0.7790698 0.84651166 0.9186047
15 0.13333334 0.35333335 0.53333336 1.0 57.3 62.0 0.10344828 0.1187616 0.14285715 0.7790698 0.8418605 0.9186047
16 0.125 0.35 0.5625 1.0 57.5 62.0 0.10344828 0.1217946 0.14285715 0.7790698 0.84069765 0.9186047
17 0.1764706 0.34705883 0.5294118 1.0 57.4 63.0 0.10344828 0.12386215 0.14285715 0.75581396 0.83720934 0.9186047
18 0.16666667 0.35 0.5 1.0 57.5 63.0 0.10344828 0.12535727 0.15789473 0.7209302 0.83139545 0.90697676
19 0.15789473 0.34210527 0.5263158 1.0 57.5 63.0 0.10526316 0.12525097 0.15789473 0.7093023 0.82558143 0.90697676
20 0.2 0.35 0.55 1.0 57.7 63.0 0.10526316 0.12644964 0.15789473 0.7093023 0.82558143 0.90697676
21 0.1904762 0.34761906 0.52380955 1.0 57.8 63.0 0.10714286 0.12802255 0.15789473 0.6976744 0.81860465 0.88372093
22 0.18181819 0.3409091 0.54545456 1.0 57.9 64.0 0.10714286 0.12787229 0.15789473 0.6976744 0.8127907 0.88372093
23 0.17391305 0.33043474 0.5217391 1.0 58.3 64.0 0.10714286 0.12866919 0.15517241 0.6976744 0.81046516 0.88372093
24 0.16666667 0.32916665 0.5416667 1.0 58.7 65.0 0.10526316 0.12952736 0.15517241 0.6976744 0.8081395 0.88372093
25 0.16 0.332 0.56 1.0 59.1 66.0 0.10526316 0.13210145 0.15789473 0.68604654 0.8034884 0.88372093
26 0.15384616 0.32307693 0.53846157 1.0 59.4 65.0 0.10714286 0.134882 0.15789473 0.6744186 0.80116284 0.88372093
27 0.14814815 0.31851855 0.5555556 1.0 60.0 65.0 0.10526316 0.13348448 0.15517241 0.6744186 0.7953488 0.88372093
28 0.14285715 0.3107143 0.53571427 1.0 59.9 64.0 0.10344828 0.1353834 0.15517241 0.6744186 0.7906977 0.88372093
29 0.13793103 0.31034485 0.55172414 1.0 60.0 64.0 0.10344828 0.13518567 0.15517241 0.6744186 0.78255814 0.88372093
30 0.13333334 0.32333332 0.56666666 1.0 60.1 64.0 0.10344828 0.13496709 0.15517241 0.6744186 0.78255814 0.88372093
31 0.12903225 0.32580644 0.5483871 1.0 60.2 64.0 0.10169491 0.13474731 0.15517241 0.6744186 0.7790698 0.88372093
32 0.125 0.328125 0.53125 1.0 60.1 64.0 0.10169491 0.13836183 0.1724138 0.6744186 0.77558136 0.88372093
33 0.121212125 0.3272727 0.5151515 1.0 59.8 63.0 0.10169491 0.1389874 0.1724138 0.6744186 0.7674418 0.88372093
34 0.11764706 0.33235297 0.5294118 1.0 59.4 62.0 0.10344828 0.13987823 0.1754386 0.6744186 0.7639535 0.88372093
35 0.14285715 0.3314286 0.51428574 1.0 59.4 62.0 0.10344828 0.14149113 0.1754386 0.6744186 0.7569767 0.88372093
36 0.1388889 0.3333333 0.5 1.0 59.6 63.0 0.10526316 0.14275679 0.1754386 0.6744186 0.7546512 0.872093
37 0.16216215 0.33783782 0.4864865 1.0 59.6 63.0 0.10526316 0.14276698 0.1754386 0.6744186 0.74418604 0.8488372
38 0.15789473 0.3368421 0.47368422 1.0 59.5 63.0 0.10526316 0.14314322 0.17857143 0.6744186 0.74418604 0.8488372
39 0.15384616 0.34102565 0.4871795 1.0 59.7 63.0 0.10526316 0.1459483 0.17857143 0.6744186 0.7430232 0.8488372
40 0.15 0.34 0.475 1.0 60.2 63.0 0.10344828 0.14800864 0.18032786 0.6627907 0.7337209 0.8255814
41 0.14634146 0.3414634 0.46341464 1.0 60.0 63.0 0.10344828 0.14859167 0.18333334 0.6627907 0.73255813 0.8255814
