rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.81395346 0.88255805 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.11296296 0.12962963 0.81395346 0.877907 0.95348835
3 0.0 0.23333332 0.6666667 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8023256 0.8662791 0.94186044
4 0.0 0.325 0.5 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.7790698 0.8639535 0.94186044
5 0.0 0.3 0.6 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.75581396 0.85930234 0.94186044
6 0.0 0.31666666 0.5 1.0 54.0 54.0 0.11111111 0.11666666 0.14814815 0.75581396 0.8534883 0.94186044
7 0.0 0.31428573 0.5714286 1.0 54.0 54.0 0.11111111 0.11851852 0.14814815 0.75581396 0.8476745 0.94186044
8 0.0 0.325 0.5 1.0 54.0 54.0 0.11111111 0.11851852 0.14814815 0.7209302 0.833721 0.90697676
9 0.0 0.36666667 0.5555556 1.0 54.0 54.0 0.11111111 0.11851852 0.14814815 0.7209302 0.833721 0.90697676
10 0.0 0.36000004 0.6 1.0 54.0 54.0 0.11111111 0.120370366 0.14814815 0.7209302 0.833721 0.90697676
11 0.0 0.34545457 0.54545456 1.0 54.0 54.0 0.11111111 0.124074064 0.14814815 0.7209302 0.82558143 0.90697676
12 0.0 0.3333333 0.5833333 1.0 53.8 54.0 0.11111111 0.124528304 0.14814815 0.6976744 0.822093 0.89534885
13 0.0 0.34615386 0.61538464 1.0 53.8 54.0 0.11111111 0.124528304 0.14814815 0.6976744 0.8174418 0.89534885
14 0.071428575 0.34285715 0.5714286 1.0 53.8 54.0 0.11111111 0.124528304 0.14814815 0.6744186 0.811628 0.89534885
15 0.13333334 0.34 0.53333336 1.0 53.7 54.0 0.11111111 0.1265898 0.14814815 0.6627907 0.80581397 0.89534885
16 0.125 0.3375 0.5625 1.0 53.7 54.0 0.11111111 0.13032845 0.14814815 0.6627907 0.80348843 0.89534885
17 0.1764706 0.32941177 0.5294118 1.0 53.5 54.0 0.11111111 0.13273934 0.1509434 0.6627907 0.80116284 0.89534885
18 0.16666667 0.33888888 0.5 1.0 53.4 54.0 0.11111111 0.13301887 0.1509434 0.6627907 0.7953489 0.89534885
19 0.15789473 0.33684212 0.5263158 1.0 53.2 54.0 0.11111111 0.13352686 0.1509434 0.6511628 0.78488374 0.872093
20 0.15 0.34500006 0.5 1.0 53.0 54.0 0.11111111 0.1340448 0.1509434 0.6511628 0.7837209 0.872093
21 0.14285715 0.33809525 0.47619048 1.0 52.7 54.0 0.11111111 0.13485919 0.15384616 0.6395349 0.772093 0.872093
22 0.13636364 0.33636364 0.5 1.0 52.7 54.0 0.11111111 0.13678226 0.17307693 0.627907 0.75930226 0.8488372
23 0.13043478 0.33478257 0.5217391 1.0 52.7 54.0 0.11111111 0.14059213 0.17307693 0.627907 0.74999994 0.8372093
24 0.125 0.34583336 0.5416667 1.0 52.7 54.0 0.11111111 0.14059213 0.17307693 0.61627907 0.7488372 0.8372093
25 0.12 0.348 0.56 1.0 52.7 54.0 0.11111111 0.14059213 0.17307693 0.5697674 0.7395348 0.8372093
26 0.115384616 0.34230766 0.53846157 1.0 52.6 54.0 0.11111111 0.14080176 0.17307693 0.5697674 0.73604643 0.8372093
27 0.11111111 0.34074074 0.5555556 1.0 52.5 53.0 0.11320755 0.1410114 0.17307693 0.5697674 0.7244186 0.8255814
28 0.10714286 0.3392857 0.53571427 1.0 52.3 53.0 0.11320755 0.14541464 0.17307693 0.55813956 0.7186047 0.8255814
29 0.10344828 0.33448276 0.55172414 1.0 52.3 53.0 0.11320755 0.14541464 0.17307693 0.55813956 0.7127907 0.8255814
30 0.1 0.34333333 0.56666666 1.0 52.1 53.0 0.115384616 0.14589629 0.17307693 0.54651165 0.70930237 0.81395346
31 0.12903225 0.3516129 0.5483871 1.0 51.9 53.0 0.115384616 0.14646108 0.17307693 0.53488374 0.7011628 0.8023256
32 0.125 0.35 0.53125 1.0 51.8 53.0 0.115384616 0.15250775 0.1923077 0.53488374 0.69534886 0.8023256
33 0.121212125 0.3575758 0.5151515 1.0 51.7 53.0 0.11764706 0.152734 0.1923077 0.53488374 0.6918605 0.8023256
34 0.14705883 0.3705882 0.5294118 1.0 51.6 53.0 0.11764706 0.15298799 0.1923077 0.53488374 0.6918605 0.8023256
35 0.17142858 0.36857146 0.51428574 1.0 51.5 53.0 0.11764706 0.1551605 0.1923077 0.5232558 0.6848837 0.7790698
36 0.16666667 0.36944443 0.5 1.0 51.4 53.0 0.11764706 0.15542445 0.1923077 0.5232558 0.6790698 0.7790698
37 0.1891892 0.37297297 0.5135135 1.0 51.3 53.0 0.11764706 0.15575102 0.1923077 0.5232558 0.6732558 0.7790698
38 0.18421052 0.37105265 0.5 1.0 51.0 52.0 0.11764706 0.15678118 0.19607843 0.5232558 0.6686047 0.7790698
39 0.17948718 0.37435895 0.51282054 1.0 51.0 52.0 0.11764706 0.15874198 0.19607843 0.5232558 0.6639535 0.7790698
40 0.2 0.3775 0.525 1.0 50.9 52.0 0.11764706 0.1590949 0.19607843 0.5232558 0.6558139 0.74418604
41 0.2195122 0.38292685 0.5121951 1.0 50.7 52.0 0.11764706 0.15975103 0.2 0.5232558 0.6523255 0.74418604
42 0.21428572 0.38095236 0.5 1.0 50.5 52.0 0.12 0.16032645 0.2 0.5232558 0.6476744 0.74418604
43 0.20930232 0.37906975 0.4883721 1.0 50.3 52.0 0.12244898 0.16084585 0.2 0.5 0.6372093 0.74418604
44 0.22727273 0.37727275 0.5 1.0 50.0 52.0 0.12244898 0.16389099 0.20408164 0.47674417 0.6232558 0.74418604
45 0.22222222 0.38444445 0.51111114 1.0 49.9 52.0 0.12244898 0.1642456 0.20408164 0.47674417 0.622093 0.74418604
46 0.2173913 0.3891304 0.5217391 1.0 49.8 52.0 0.12244898 0.16461293 0.20408164 0.47674417 0.622093 0.74418604
