rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.1 55.0 0.10909091 0.11090909 0.11111111 0.8372093 0.88720924 0.95348835
100 0.33 0.445 0.5 1.0 53.7 61.0 0.24528302 0.30386266 0.3653846 0.44186047 0.5430232 0.61627907
200 0.535 0.58849996 0.62 1.0 42.1 51.0 0.3043478 0.49033695 0.6111111 0.30232558 0.39186043 0.47674417
300 0.67333335 0.68599993 0.70666665 1.0 34.5 43.0 0.53125 0.65772986 0.75 0.26744187 0.32790697 0.41860464
400 0.735 0.74999994 0.7675 1.0 30.7 36.0 0.65384614 0.77912146 0.89285713 0.24418604 0.30116278 0.3488372
500 0.784 0.7942 0.808 1.0 28.7 36.0 0.73913044 0.8528493 0.96153843 0.24418604 0.2837209 0.3372093
600 0.815 0.8256666 0.8383333 1.0 27.6 35.0 0.84 0.9094512 1.0 0.23255815 0.27209306 0.3372093
700 0.84 0.8495714 0.86142856 1.0 27.2 34.0 0.86206895 0.9343456 1.0 0.22093023 0.27093023 0.3372093
800 0.86 0.8675 0.8775 1.0 26.6 32.0 0.89285713 0.9582102 1.0 0.22093023 0.26976746 0.3372093
900 0.8744444 0.88177776 0.89111114 1.0 26.2 31.0 0.90909094 0.9727489 1.0 0.22093023 0.26627907 0.30232558
1000 0.887 0.8936 0.902 1.0 26.2 31.0 0.90909094 0.9727489 1.0 0.22093023 0.26627907 0.30232558
1100 0.8972727 0.90318185 0.9109091 1.0 26.1 31.0 0.95238096 0.9770778 1.0 0.20930232 0.26279074 0.30232558
1200 0.9058333 0.91125 0.91833335 1.0 26.1 31.0 0.95238096 0.9770778 1.0 0.20930232 0.26279074 0.30232558
1300 0.91307694 0.9179231 0.9246154 1.0 25.9 31.0 0.95238096 0.98449534 1.0 0.20930232 0.2616279 0.30232558
1400 0.9192857 0.92371434 0.93 1.0 25.8 31.0 0.95238096 0.98794365 1.0 0.20930232 0.25930232 0.30232558
1500 0.92466664 0.9288 0.9346667 1.0 25.8 31.0 0.95238096 0.98794365 1.0 0.20930232 0.25930232 0.30232558
1600 0.92875 0.9331875 0.93875 1.0 25.7 31.0 0.96153843 0.9927055 1.0 0.20930232 0.25930232 0.30232558
1700 0.9329412 0.9371177 0.94235295 1.0 25.7 31.0 0.96153843 0.9927055 1.0 0.20930232 0.25930232 0.30232558
1800 0.93666667 0.94055545 0.945 1.0 25.6 31.0 0.9655172 0.9965517 1.0 0.20930232 0.25813955 0.30232558
1900 0.94 0.9436842 0.94789475 1.0 25.6 31.0 0.9655172 0.9965517 1.0 0.20930232 0.25813955 0.30232558
2000 0.943 0.9465 0.9505 1.0 25.6 31.0 0.9655172 0.9965517 1.0 0.20930232 0.25813955 0.30232558
2100 0.9457143 0.94900006 0.95285714 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2200 0.9481818 0.95131814 0.955 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2300 0.9504348 0.95343477 0.9569565 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2400 0.9525 0.955375 0.95875 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2500 0.9544 0.95716 0.9604 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2600 0.95615387 0.95880765 0.96192306 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2700 0.9577778 0.9603332 0.9633333 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2800 0.95928574 0.96175003 0.9646429 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
2900 0.96068966 0.96306896 0.9658621 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3000 0.962 0.96430004 0.967 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3100 0.9632258 0.96545154 0.9680645 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3200 0.964375 0.9665313 0.9690625 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3300 0.9654545 0.9675454 0.97 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3400 0.9664706 0.9685 0.97088236 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3500 0.96742857 0.96940005 0.97171426 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3600 0.9683333 0.97024995 0.9725 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3700 0.96918917 0.97105396 0.97324324 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3800 0.97 0.97181576 0.97394735 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
3900 0.9707692 0.9725385 0.9746154 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4000 0.9715 0.973225 0.97525 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4100 0.97219515 0.9738781 0.9758537 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4200 0.9728571 0.9745 0.97642857 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4300 0.9734884 0.9750929 0.97697675 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4400 0.97409093 0.9756592 0.9775 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4500 0.97466666 0.9761999 0.978 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4600 0.9752174 0.97671735 0.97847825 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4700 0.97574466 0.9772128 0.9789362 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4800 0.97625 0.9776875 0.979375 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
4900 0.9767347 0.9781429 0.97979593 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5000 0.9772 0.9785801 0.9802 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5100 0.97764707 0.9789999 0.98058826 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5200 0.97807693 0.979404 0.98096156 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5300 0.9784906 0.9797925 0.98132074 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5400 0.97888887 0.98016673 0.9816667 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5500 0.9792727 0.9805271 0.982 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5600 0.97964287 0.980875 0.98232144 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5700 0.98 0.98121053 0.98263156 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5800 0.98034483 0.9815345 0.982931 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
5900 0.98067796 0.98184747 0.98322034 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6000 0.981 0.98214996 0.9835 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6100 0.9813115 0.9824427 0.9837705 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6200 0.9816129 0.9827258 0.9840323 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6300 0.98190475 0.983 0.9842857 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6400 0.9821875 0.9832657 0.9845312 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6500 0.9824615 0.9835231 0.9847692 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6600 0.9827273 0.98377275 0.985 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6700 0.9829851 0.98401487 0.9852239 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6800 0.9832353 0.98424995 0.98544115 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
6900 0.98347825 0.98447835 0.98565215 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7000 0.9837143 0.9847 0.9858571 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7100 0.98394364 0.9849154 0.9860563 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7200 0.9841667 0.98512506 0.98625 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7300 0.9843836 0.9853288 0.98643833 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7400 0.9845946 0.9855269 0.9866216 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7500 0.9848 0.98572 0.9868 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7600 0.985 0.98590785 0.9869737 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7700 0.9851948 0.98609084 0.98714286 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7800 0.98538464 0.9862693 0.98730767 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
7900 0.9855696 0.98644304 0.98746836 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
8000 0.98575 0.98661244 0.987625 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
8100 0.9859259 0.9867778 0.98777777 1.0 25.5 31.0 1.0 1.0 1.0 0.20930232 0.25697675 0.30232558
