rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.8860465 0.95348835
100 0.33 0.41500002 0.46 1.0 73.5 83.0 0.17948718 0.26293176 0.3243243 0.60465115 0.68720925 0.7790698
200 0.475 0.52949995 0.595 1.0 68.4 78.0 0.30645162 0.41825438 0.47887325 0.5232558 0.58720934 0.6744186
300 0.58666664 0.614 0.6433333 1.0 60.8 67.0 0.47272727 0.56784374 0.6393443 0.47674417 0.54534894 0.627907
400 0.66 0.68075 0.695 1.0 55.8 64.0 0.6122449 0.6911821 0.7222222 0.44186047 0.5290698 0.61627907
500 0.716 0.731 0.744 1.0 53.0 63.0 0.72131145 0.77333677 0.8148148 0.44186047 0.522093 0.60465115
600 0.75333333 0.7678334 0.785 1.0 51.0 61.0 0.7758621 0.8435935 0.8979592 0.44186047 0.5151163 0.59302324
700 0.7885714 0.79657143 0.80857146 1.0 50.0 57.0 0.82978725 0.8933649 0.95238096 0.44186047 0.51279074 0.5813953
800 0.81 0.81937504 0.82875 1.0 48.8 56.0 0.875 0.9308053 0.9591837 0.44186047 0.5093023 0.5697674
900 0.83 0.8385555 0.8477778 1.0 48.1 55.0 0.9130435 0.9464205 0.9756098 0.44186047 0.5093023 0.5697674
1000 0.847 0.854 0.863 1.0 47.8 54.0 0.9259259 0.9603996 0.98 0.44186047 0.5093023 0.5697674
1100 0.85727274 0.86672723 0.87454545 1.0 47.5 54.0 0.9318182 0.9699709 0.9814815 0.44186047 0.5093023 0.5697674
1200 0.8691667 0.87750006 0.885 1.0 47.5 54.0 0.95454544 0.97654134 0.9814815 0.44186047 0.50581396 0.5697674
1300 0.8792308 0.8867693 0.89384615 1.0 47.4 54.0 0.95454544 0.9787634 1.0 0.44186047 0.50581396 0.5697674
1400 0.88785714 0.89471424 0.9014286 1.0 47.3 54.0 0.95454544 0.9829302 1.0 0.44186047 0.5046512 0.5697674
1500 0.89533335 0.9017333 0.908 1.0 47.3 54.0 0.95454544 0.9829302 1.0 0.44186047 0.5046512 0.5697674
1600 0.901875 0.90775 0.91375 1.0 47.2 54.0 0.97727275 0.98764193 1.0 0.44186047 0.5023256 0.5697674
1700 0.9076471 0.9131764 0.91882354 1.0 47.2 54.0 0.97727275 0.98764193 1.0 0.44186047 0.5023256 0.5697674
1800 0.9127778 0.91794443 0.9227778 1.0 47.2 54.0 0.97727275 0.9899147 1.0 0.44186047 0.5023256 0.5697674
