rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.8848837 0.95348835
100 0.31 0.402 0.47 1.0 57.7 66.0 0.1509434 0.21694613 0.27868852 0.45348838 0.5337209 0.6511628
200 0.5 0.5375 0.585 1.0 45.3 52.0 0.2857143 0.35943973 0.44680852 0.25581396 0.35465112 0.43023255
300 0.6 0.63133335 0.6566667 1.0 33.8 39.0 0.42857143 0.51463395 0.5714286 0.19767442 0.2872093 0.3604651
400 0.6825 0.7025 0.7175 1.0 27.1 33.0 0.53571427 0.6653124 0.72727275 0.1744186 0.25348836 0.3255814
500 0.736 0.7532 0.764 1.0 23.8 29.0 0.71428573 0.7777793 0.84615386 0.15116279 0.23604651 0.3139535
600 0.7783333 0.79066664 0.80333334 1.0 22.0 27.0 0.8 0.8515549 0.9166667 0.12790698 0.2232558 0.29069766
700 0.80857146 0.81828576 0.82714283 1.0 20.7 25.0 0.8 0.9123109 1.0 0.12790698 0.2139535 0.27906978
800 0.83125 0.83975 0.8475 1.0 19.7 24.0 0.8888889 0.9622542 1.0 0.12790698 0.21162792 0.26744187
900 0.8488889 0.85733336 0.86444443 1.0 19.5 24.0 0.8888889 0.9758288 1.0 0.12790698 0.21162792 0.26744187
1000 0.864 0.87130004 0.878 1.0 19.3 24.0 0.9411765 0.98957217 1.0 0.12790698 0.21162792 0.26744187
1100 0.87636364 0.883 0.8890909 1.0 19.3 24.0 0.9411765 0.98957217 1.0 0.12790698 0.21162792 0.26744187
1200 0.88666666 0.89266664 0.8975 1.0 19.3 24.0 0.9411765 0.9941176 1.0 0.12790698 0.21162792 0.26744187
1300 0.8953846 0.9008461 0.9053846 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1400 0.9028571 0.90792847 0.9121429 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1500 0.90933335 0.9140667 0.918 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1600 0.915 0.9194375 0.923125 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1700 0.92 0.9241765 0.92764705 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1800 0.92444444 0.9283889 0.9316667 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
1900 0.9284211 0.9321579 0.93526316 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
2000 0.932 0.9355499 0.9385 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
2100 0.9352381 0.938619 0.94142854 1.0 19.2 24.0 1.0 1.0 1.0 0.12790698 0.21162792 0.26744187
