rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.81395346 0.88255805 0.95348835
100 0.36 0.46100003 0.5 1.0 40.0 44.0 0.16666667 0.24855077 0.35897437 0.25581396 0.3895349 0.4651163
200 0.595 0.6240001 0.655 1.0 24.8 30.0 0.36666667 0.46745142 0.64 0.12790698 0.2267442 0.30232558
300 0.71 0.72066665 0.73333335 1.0 18.0 22.0 0.5 0.65125924 0.77272725 0.093023255 0.15930232 0.20930232
400 0.7775 0.78325 0.795 1.0 15.1 20.0 0.61538464 0.77463716 0.85714287 0.093023255 0.14418605 0.19767442
500 0.818 0.82359993 0.832 1.0 13.7 18.0 0.72727275 0.8555145 0.9444444 0.08139535 0.13604651 0.18604651
600 0.8466667 0.85183334 0.86 1.0 13.1 18.0 0.72727275 0.9045552 1.0 0.08139535 0.13139535 0.18604651
700 0.86714286 0.87257135 0.88 1.0 12.8 18.0 0.72727275 0.9319795 1.0 0.08139535 0.12906978 0.18604651
800 0.88375 0.88774997 0.89375 1.0 12.2 17.0 0.8888889 0.9738889 1.0 0.08139535 0.12790698 0.18604651
900 0.89555556 0.9001112 0.90555555 1.0 12.1 17.0 0.9166667 0.985 1.0 0.08139535 0.12790698 0.18604651
1000 0.906 0.90999997 0.915 1.0 12.0 17.0 0.9166667 0.9916666 1.0 0.08139535 0.12674418 0.18604651
1100 0.9145455 0.9181818 0.9227273 1.0 12.0 17.0 0.9166667 0.9916666 1.0 0.08139535 0.12674418 0.18604651
1200 0.9216667 0.925 0.9291667 1.0 12.0 17.0 0.9166667 0.9916666 1.0 0.08139535 0.12674418 0.18604651
1300 0.9276923 0.9306923 0.9346154 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1400 0.93285716 0.93564284 0.9392857 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1500 0.93733335 0.9399334 0.9433333 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1600 0.94125 0.94368744 0.946875 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1700 0.9447059 0.947 0.95 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1800 0.94777775 0.9499444 0.9527778 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
1900 0.9505263 0.9525789 0.95526314 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2000 0.953 0.95495003 0.9575 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2100 0.9552381 0.95709527 0.9595238 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2200 0.9572727 0.9590454 0.9613636 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2300 0.9591304 0.9608261 0.96304345 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2400 0.9608333 0.9624583 0.96458334 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2500 0.9624 0.96396005 0.966 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2600 0.96384615 0.96534616 0.9673077 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2700 0.96518517 0.9666296 0.9685185 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2800 0.9664286 0.9678214 0.9696429 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
2900 0.9675862 0.968931 0.97068965 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3000 0.9686667 0.9699667 0.9716667 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3100 0.96967745 0.97093546 0.9725807 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3200 0.970625 0.9718437 0.9734375 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3300 0.9715152 0.9726971 0.97424245 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3400 0.9723529 0.97349995 0.975 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3500 0.97314286 0.9742572 0.97571427 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3600 0.9738889 0.97497225 0.9763889 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3700 0.9745946 0.9756486 0.977027 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3800 0.9752632 0.97628945 0.97763157 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
3900 0.97589743 0.9768974 0.97820514 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4000 0.9765 0.977475 0.97875 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4100 0.9770732 0.9780245 0.9792683 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4200 0.97761905 0.9785477 0.9797619 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4300 0.9781395 0.9790465 0.98023254 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4400 0.9786364 0.9795227 0.98068184 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4500 0.97911114 0.9799778 0.9811111 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4600 0.9795652 0.9804131 0.9815217 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4700 0.98 0.98082983 0.9819149 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4800 0.98041666 0.9812291 0.98229164 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
4900 0.9808163 0.9816122 0.9826531 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5000 0.9812 0.98198 0.983 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5100 0.98156863 0.9823333 0.98333335 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5200 0.9819231 0.98267305 0.98365384 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5300 0.98226416 0.983 0.98396224 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5400 0.9825926 0.9833148 0.98425925 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5500 0.9829091 0.98361814 0.98454547 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5600 0.98321426 0.9839107 0.98482144 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5700 0.98350877 0.98419297 0.9850877 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5800 0.9837931 0.9844655 0.9853448 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
5900 0.9840678 0.9847287 0.9855932 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6000 0.98433334 0.9849833 0.98583335 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6100 0.9845902 0.9852295 0.98606557 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6200 0.9848387 0.9854678 0.98629034 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6300 0.98507935 0.9856984 0.98650795 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6400 0.9853125 0.98592186 0.9867188 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6500 0.9855385 0.9861385 0.9869231 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6600 0.9857576 0.98634845 0.9871212 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6700 0.98597014 0.98655224 0.98731345 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6800 0.9861765 0.98675 0.9875 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
6900 0.9863768 0.9869421 0.98768115 1.0 11.9 17.0 1.0 1.0 1.0 0.08139535 0.12674418 0.18604651
