rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.10811689 0.10909091 0.8372093 0.88953483 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11191161 0.125 0.8372093 0.88953483 0.95348835
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.11095412 0.125 0.8372093 0.88953483 0.95348835
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10169491 0.10957819 0.12280702 0.8372093 0.88953483 0.95348835
6 0.0 0.3 0.5 1.0 58.1 60.0 0.1 0.10850092 0.12280702 0.8372093 0.88953483 0.95348835
7 0.0 0.3 0.42857143 1.0 58.8 61.0 0.09836066 0.10887854 0.12068965 0.8372093 0.8883721 0.95348835
8 0.0 0.3 0.5 1.0 59.4 62.0 0.09677419 0.10950564 0.12068965 0.8372093 0.8883721 0.95348835
9 0.0 0.34444445 0.5555556 1.0 59.7 63.0 0.0952381 0.11060451 0.12903225 0.8372093 0.8883721 0.95348835
10 0.0 0.34 0.6 1.0 60.4 64.0 0.09375 0.114239916 0.14285715 0.8372093 0.8883721 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 61.0 64.0 0.09375 0.11468055 0.15 0.8372093 0.8860465 0.95348835
12 0.083333336 0.34166664 0.5 1.0 61.6 65.0 0.09375 0.113466725 0.14754099 0.8372093 0.8860465 0.95348835
13 0.07692308 0.33846158 0.53846157 1.0 62.1 65.0 0.092307694 0.11264471 0.14754099 0.8372093 0.8837209 0.95348835
14 0.14285715 0.34285718 0.5 1.0 62.5 66.0 0.092307694 0.11347388 0.15151516 0.8372093 0.8848837 0.95348835
15 0.13333334 0.34 0.53333336 1.0 62.9 67.0 0.092307694 0.1159148 0.16129032 0.8372093 0.8848837 0.95348835
16 0.125 0.33125 0.5 1.0 63.7 68.0 0.09090909 0.119109906 0.16176471 0.8372093 0.8883721 0.95348835
17 0.11764706 0.32941177 0.5294118 1.0 64.2 68.0 0.09090909 0.11991061 0.16176471 0.8372093 0.8872093 0.95348835
18 0.11111111 0.32222226 0.5 1.0 64.8 69.0 0.08955224 0.12029853 0.1594203 0.8372093 0.8860465 0.94186044
19 0.10526316 0.31578946 0.5263158 1.0 65.3 70.0 0.08955224 0.11928757 0.15714286 0.8372093 0.8860465 0.94186044
20 0.1 0.315 0.5 1.0 65.7 70.0 0.0882353 0.11860762 0.15714286 0.8372093 0.8860465 0.94186044
21 0.14285715 0.31904763 0.52380955 1.0 66.0 70.0 0.09375 0.12100756 0.15714286 0.8372093 0.88488376 0.94186044
22 0.13636364 0.32272726 0.5 1.0 66.5 71.0 0.10144927 0.12319414 0.15492958 0.8372093 0.88488376 0.94186044
23 0.13043478 0.3086956 0.47826087 1.0 67.4 71.0 0.1 0.123033285 0.15492958 0.8372093 0.8883721 0.94186044
24 0.125 0.30833334 0.5 1.0 67.9 72.0 0.09859155 0.122126974 0.15277778 0.8372093 0.8883721 0.94186044
25 0.12 0.31199998 0.48 1.0 68.1 73.0 0.1 0.121711984 0.15068494 0.8372093 0.8872093 0.94186044
26 0.115384616 0.30769232 0.46153846 1.0 68.8 74.0 0.09859155 0.12048058 0.14925373 0.8372093 0.8872093 0.94186044
27 0.11111111 0.30740744 0.4814815 1.0 69.1 75.0 0.09859155 0.122806534 0.14705883 0.8372093 0.8872093 0.94186044
28 0.10714286 0.30714285 0.4642857 1.0 69.5 75.0 0.09859155 0.12213228 0.14705883 0.8372093 0.8860465 0.94186044
29 0.10344828 0.3 0.4827586 1.0 70.3 76.0 0.097222224 0.12203096 0.15789473 0.8372093 0.8860465 0.94186044
30 0.13333334 0.30666667 0.46666667 1.0 70.6 76.0 0.09589041 0.12154581 0.15789473 0.8372093 0.8860465 0.94186044
31 0.12903225 0.30967742 0.4516129 1.0 70.8 76.0 0.09589041 0.122531906 0.17105263 0.8372093 0.8860465 0.94186044
32 0.125 0.3125 0.4375 1.0 71.2 77.0 0.09589041 0.12463851 0.16883117 0.8372093 0.8860465 0.94186044
33 0.15151516 0.3151515 0.45454547 1.0 71.5 77.0 0.0945946 0.124158524 0.16883117 0.8372093 0.8872093 0.94186044
34 0.14705883 0.31764707 0.47058824 1.0 71.7 78.0 0.0945946 0.12380514 0.16666667 0.8372093 0.883721 0.94186044
35 0.14285715 0.32 0.45714286 1.0 72.1 79.0 0.0945946 0.12448156 0.16455697 0.8255814 0.88255817 0.94186044
36 0.1388889 0.31944442 0.4722222 1.0 72.7 80.0 0.09589041 0.12485693 0.1625 0.8255814 0.88255817 0.94186044
37 0.13513513 0.3162162 0.45945945 1.0 72.9 81.0 0.1 0.127184 0.16049382 0.8255814 0.88255817 0.94186044
38 0.13157895 0.3157895 0.47368422 1.0 73.2 81.0 0.1 0.12789433 0.17283951 0.8255814 0.88139546 0.94186044
