rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8883721 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.1099026 0.125 0.8372093 0.88720924 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11366598 0.14035088 0.8372093 0.88720924 0.95348835
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.11267825 0.13793103 0.8372093 0.88720924 0.95348835
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10169491 0.11127311 0.13559322 0.8372093 0.88720924 0.95348835
6 0.0 0.3 0.5 1.0 58.1 60.0 0.1 0.11019584 0.13559322 0.8372093 0.88720924 0.95348835
7 0.0 0.3 0.42857143 1.0 58.8 61.0 0.09836066 0.11057345 0.13559322 0.8372093 0.88720924 0.95348835
8 0.0 0.3 0.5 1.0 59.4 62.0 0.09677419 0.111200556 0.13559322 0.8372093 0.88720924 0.95348835
9 0.0 0.34444445 0.5555556 1.0 59.7 63.0 0.0952381 0.11229943 0.13559322 0.8372093 0.88720924 0.95348835
10 0.0 0.34 0.6 1.0 60.4 64.0 0.09375 0.11590658 0.14285715 0.8372093 0.88720924 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 60.9 64.0 0.09375 0.116543114 0.15 0.8372093 0.8848837 0.95348835
12 0.083333336 0.34166664 0.5 1.0 61.5 64.0 0.09375 0.11529597 0.14754099 0.8372093 0.8837209 0.94186044
13 0.07692308 0.33846158 0.53846157 1.0 62.0 65.0 0.09677419 0.11601243 0.14754099 0.8372093 0.8802325 0.94186044
14 0.14285715 0.34285718 0.5 1.0 62.5 65.0 0.0952381 0.11508192 0.14516129 0.8372093 0.88139534 0.94186044
15 0.13333334 0.34 0.53333336 1.0 62.9 66.0 0.09375 0.117521144 0.15873016 0.8372093 0.88139534 0.94186044
16 0.125 0.33125 0.5 1.0 63.7 67.0 0.092307694 0.12071325 0.15625 0.8372093 0.88139534 0.94186044
17 0.11764706 0.32941177 0.5294118 1.0 64.2 67.0 0.09090909 0.121489145 0.15625 0.8372093 0.883721 0.94186044
18 0.11111111 0.3277778 0.5 1.0 64.8 68.0 0.09090909 0.120330215 0.15625 0.8372093 0.8872093 0.94186044
19 0.10526316 0.32105264 0.5263158 1.0 65.4 69.0 0.09090909 0.11913727 0.15384616 0.8372093 0.88953495 0.94186044
20 0.1 0.32000002 0.5 1.0 65.8 69.0 0.09090909 0.120000064 0.15384616 0.8372093 0.88953495 0.94186044
21 0.14285715 0.32380953 0.52380955 1.0 66.0 69.0 0.09090909 0.12106705 0.15151516 0.8372093 0.8883721 0.94186044
22 0.13636364 0.32727274 0.5 1.0 66.5 70.0 0.09090909 0.12327325 0.15151516 0.8372093 0.8883721 0.94186044
23 0.13043478 0.31304345 0.47826087 1.0 67.4 70.0 0.08955224 0.123096205 0.14925373 0.8372093 0.8906978 0.94186044
24 0.125 0.31666666 0.5 1.0 67.8 71.0 0.0882353 0.12395185 0.15151516 0.8372093 0.8906978 0.94186044
25 0.12 0.31599998 0.48 1.0 68.1 72.0 0.0882353 0.12341436 0.15151516 0.8372093 0.8906978 0.94186044
26 0.115384616 0.3115385 0.46153846 1.0 68.8 73.0 0.0882353 0.122128926 0.14925373 0.8372093 0.8906978 0.94186044
27 0.11111111 0.31111112 0.4814815 1.0 69.1 74.0 0.10294118 0.12444601 0.14705883 0.8372093 0.8930233 0.94186044
28 0.10714286 0.30714282 0.4642857 1.0 69.6 75.0 0.10144927 0.12491803 0.14705883 0.8372093 0.8918605 0.94186044
29 0.10344828 0.3 0.4827586 1.0 70.4 76.0 0.1 0.12480082 0.15789473 0.8372093 0.8906978 0.94186044
30 0.13333334 0.31 0.5 1.0 70.7 76.0 0.1 0.12430076 0.15789473 0.8372093 0.8906978 0.94186044
31 0.12903225 0.31612903 0.48387095 1.0 70.9 76.0 0.1 0.12535225 0.15789473 0.8372093 0.8906978 0.94186044
32 0.125 0.31875 0.46875 1.0 71.2 77.0 0.09859155 0.12622789 0.15714286 0.8372093 0.8906978 0.94186044
33 0.15151516 0.3181818 0.4848485 1.0 71.6 77.0 0.09859155 0.12694415 0.15584415 0.8372093 0.8883721 0.94186044
34 0.14705883 0.32058823 0.5 1.0 71.8 78.0 0.097222224 0.12660742 0.15492958 0.8372093 0.8883721 0.94186044
35 0.14285715 0.32285714 0.4857143 1.0 72.1 79.0 0.097222224 0.12746954 0.15492958 0.8372093 0.8872093 0.94186044
36 0.1388889 0.3222222 0.5 1.0 72.7 80.0 0.09589041 0.12776506 0.15277778 0.8372093 0.88953495 0.94186044
37 0.13513513 0.3189189 0.4864865 1.0 73.0 81.0 0.09589041 0.12716939 0.15068494 0.8372093 0.88953495 0.94186044
38 0.13157895 0.31578952 0.5 1.0 73.3 81.0 0.0945946 0.12791778 0.16049382 0.8372093 0.8883721 0.94186044
39 0.12820514 0.31794873 0.4871795 1.0 73.5 81.0 0.0945946 0.12756838 0.16049382 0.8372093 0.8883721 0.94186044
40 0.125 0.32250002 0.5 1.0 73.8 81.0 0.0945946 0.12825257 0.17283951 0.8372093 0.8860465 0.94186044
41 0.12195122 0.32439023 0.5121951 1.0 74.2 82.0 0.0945946 0.13014202 0.17073171 0.8372093 0.8848837 0.94186044
42 0.14285715 0.31904763 0.5 1.0 74.7 82.0 0.093333334 0.1320703 0.17073171 0.8488372 0.8860465 0.94186044
43 0.1627907 0.3162791 0.4883721 1.0 75.1 82.0 0.093333334 0.13273883 0.17073171 0.8488372 0.8860465 0.94186044
44 0.18181819 0.3159091 0.5 1.0 75.4 82.0 0.09210526 0.1336525 0.17073171 0.8488372 0.8860465 0.94186044
45 0.2 0.32 0.4888889 1.0 75.6 82.0 0.09210526 0.13593662 0.17073171 0.8488372 0.883721 0.94186044
46 0.19565217 0.31956524 0.47826087 1.0 76.1 82.0 0.09210526 0.13501066 0.17073171 0.8488372 0.8848837 0.94186044
47 0.19148937 0.31914896 0.4893617 1.0 76.3 82.0 0.09210526 0.13723245 0.18292683 0.8488372 0.8848837 0.94186044
48 0.20833333 0.31875 0.5 1.0 76.9 82.0 0.09090909 0.14013831 0.18292683 0.8488372 0.8848837 0.94186044
49 0.20408164 0.31428567 0.5102041 1.0 77.5 82.0 0.08974359 0.14176247 0.18292683 0.8488372 0.8848837 0.94186044
50 0.2 0.314 0.52 1.0 77.9 83.0 0.08974359 0.14108449 0.18292683 0.8488372 0.8860465 0.94186044
51 0.21568628 0.31764707 0.5294118 1.0 78.2 83.0 0.088607594 0.14186999 0.18292683 0.8488372 0.8860465 0.94186044
52 0.21153846 0.31346154 0.5192308 1.0 78.6 83.0 0.0875 0.14249122 0.18072289 0.8488372 0.88488376 0.9186047
53 0.20754717 0.31698114 0.5283019 1.0 78.8 83.0 0.0875 0.1421372 0.18072289 0.8488372 0.88488376 0.9186047
54 0.2037037 0.3148148 0.5185185 1.0 79.0 83.0 0.0875 0.14173147 0.18072289 0.8488372 0.8860465 0.9186047
55 0.21818182 0.31272727 0.5090909 1.0 79.5 83.0 0.086419754 0.14088354 0.18072289 0.8488372 0.8883721 0.9302326
56 0.21428572 0.3125 0.5 1.0 80.0 83.0 0.085365854 0.14264622 0.18072289 0.8255814 0.88255817 0.9302326
57 0.21052632 0.3122807 0.49122807 1.0 80.3 83.0 0.085365854 0.14208415 0.18072289 0.8255814 0.88023263 0.9302326
58 0.20689656 0.31206897 0.5 1.0 80.7 84.0 0.085365854 0.14510778 0.1875 0.8255814 0.88023263 0.9302326
59 0.20338982 0.31355935 0.4915254 1.0 80.9 84.0 0.085365854 0.14606605 0.1875 0.8255814 0.88023263 0.9302326
