rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313132 0.12727273 0.8372093 0.88953483 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.113506496 0.12727273 0.8372093 0.88720924 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11899179 0.125 0.8372093 0.8883721 0.95348835
4 0.0 0.275 0.5 1.0 56.8 58.0 0.10526316 0.11966662 0.13793103 0.8372093 0.89069766 0.95348835
5 0.0 0.28000003 0.6 1.0 57.5 59.0 0.10344828 0.119955316 0.14035088 0.8372093 0.89069766 0.95348835
6 0.0 0.28333333 0.5 1.0 57.9 59.0 0.10344828 0.12258041 0.15517241 0.8372093 0.89069766 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.6 60.0 0.10169491 0.12461327 0.15517241 0.8488372 0.8906978 0.94186044
8 0.0 0.3 0.5 1.0 59.1 61.0 0.10344828 0.12686402 0.15254237 0.8488372 0.8860466 0.9302326
9 0.0 0.34444445 0.5555556 1.0 59.4 62.0 0.10169491 0.12794608 0.15254237 0.8488372 0.8860466 0.9302326
10 0.0 0.34 0.6 1.0 60.1 63.0 0.11666667 0.13311836 0.15 0.8488372 0.8860466 0.9302326
11 0.09090909 0.34545454 0.54545456 1.0 60.7 63.0 0.114754096 0.13343206 0.15 0.8488372 0.88488376 0.9302326
12 0.083333336 0.35 0.5 1.0 61.2 63.0 0.11290322 0.13560739 0.15873016 0.8488372 0.8860466 0.94186044
13 0.07692308 0.36153847 0.53846157 1.0 61.7 64.0 0.11290322 0.13774267 0.15873016 0.8372093 0.88139546 0.94186044
14 0.14285715 0.36428574 0.5 1.0 62.2 64.0 0.11111111 0.13664737 0.15625 0.8372093 0.88023263 0.94186044
15 0.13333334 0.36666667 0.53333336 1.0 62.7 65.0 0.109375 0.13718064 0.15873016 0.8372093 0.88023263 0.94186044
16 0.125 0.35625 0.5 1.0 63.5 66.0 0.10769231 0.1401831 0.16666667 0.8372093 0.88139546 0.94186044
17 0.11764706 0.3529412 0.5294118 1.0 63.9 66.0 0.10606061 0.14106984 0.16666667 0.8372093 0.883721 0.94186044
18 0.11111111 0.35 0.5 1.0 64.4 67.0 0.10606061 0.13986129 0.1641791 0.8372093 0.88023263 0.94186044
19 0.10526316 0.3526316 0.47368422 1.0 64.9 68.0 0.10606061 0.1402384 0.16176471 0.8372093 0.8767443 0.9302326
20 0.1 0.35 0.5 1.0 65.3 68.0 0.104477614 0.13936555 0.16176471 0.8372093 0.8790698 0.95348835
