rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.88953483 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.1099026 0.125 0.8372093 0.8860465 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11545169 0.125 0.8372093 0.8860465 0.95348835
4 0.0 0.275 0.5 1.0 56.8 58.0 0.10526316 0.11615677 0.125 0.8372093 0.8848837 0.95348835
5 0.0 0.28000003 0.6 1.0 57.5 59.0 0.10344828 0.118200935 0.13559322 0.8372093 0.8848837 0.95348835
6 0.0 0.28333333 0.5 1.0 58.2 60.0 0.10169491 0.12192388 0.13793103 0.8372093 0.8848837 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.9 61.0 0.10169491 0.12394174 0.13793103 0.8372093 0.8860465 0.94186044
8 0.0 0.2875 0.5 1.0 59.6 62.0 0.10169491 0.12586217 0.13793103 0.8372093 0.88023263 0.9302326
9 0.0 0.3333333 0.5555556 1.0 59.9 63.0 0.1 0.12691568 0.13793103 0.8372093 0.88023263 0.9302326
10 0.0 0.33 0.6 1.0 60.6 64.0 0.09836066 0.13040237 0.14754099 0.8488372 0.883721 0.9302326
11 0.09090909 0.33636364 0.54545456 1.0 61.2 64.0 0.09836066 0.13399014 0.15 0.8488372 0.88023263 0.9302326
12 0.083333336 0.3333333 0.5 1.0 61.7 65.0 0.09836066 0.1345469 0.15 0.8488372 0.88023263 0.9302326
13 0.07692308 0.33846158 0.53846157 1.0 62.3 65.0 0.11290322 0.13492887 0.15 0.8372093 0.8790698 0.9302326
14 0.14285715 0.34285718 0.5 1.0 62.8 66.0 0.11111111 0.13540669 0.15151516 0.8372093 0.88139534 0.9302326
15 0.13333334 0.34666663 0.53333336 1.0 63.3 67.0 0.109375 0.13594231 0.16129032 0.8372093 0.88255817 0.9302326
16 0.125 0.3375 0.5 1.0 64.1 68.0 0.11111111 0.14205858 0.17460318 0.8372093 0.88255817 0.9302326
17 0.11764706 0.33529413 0.5294118 1.0 64.6 68.0 0.109375 0.14266011 0.17460318 0.8372093 0.88255817 0.9302326
18 0.11111111 0.3277778 0.5 1.0 65.2 69.0 0.109375 0.14130476 0.17460318 0.8372093 0.8790698 0.9302326
19 0.10526316 0.32105264 0.47368422 1.0 65.8 70.0 0.10769231 0.1429344 0.171875 0.8372093 0.88023263 0.90697676
20 0.1 0.32 0.45 1.0 66.2 70.0 0.10769231 0.14365351 0.17460318 0.8372093 0.88139546 0.90697676
21 0.14285715 0.32380956 0.47619048 1.0 66.6 70.0 0.10769231 0.14562139 0.171875 0.8372093 0.88139546 0.9186047
22 0.13636364 0.3272727 0.45454547 1.0 67.2 71.0 0.11940298 0.15034577 0.171875 0.8372093 0.88255817 0.9186047
23 0.17391305 0.31739128 0.4347826 1.0 68.1 72.0 0.11764706 0.14976145 0.16923077 0.8372093 0.883721 0.9186047
24 0.16666667 0.32083336 0.45833334 1.0 68.5 72.0 0.11764706 0.1488904 0.16923077 0.8372093 0.88488376 0.94186044
25 0.16 0.32 0.48 1.0 68.9 73.0 0.11764706 0.14944813 0.18055555 0.8255814 0.8802325 0.94186044
26 0.15384616 0.31538463 0.46153846 1.0 69.6 74.0 0.11764706 0.1494106 0.18181819 0.8255814 0.883721 0.94186044
27 0.14814815 0.31851855 0.4814815 1.0 69.9 75.0 0.11594203 0.15025303 0.18181819 0.8255814 0.8825582 0.94186044
28 0.14285715 0.3142857 0.4642857 1.0 70.3 75.0 0.114285715 0.15088168 0.17910448 0.8255814 0.8825582 0.94186044
29 0.13793103 0.31034482 0.4827586 1.0 71.1 76.0 0.114285715 0.15335366 0.17910448 0.8255814 0.88488376 0.94186044
30 0.16666667 0.31666666 0.46666667 1.0 71.4 76.0 0.112676054 0.15278478 0.17910448 0.8255814 0.883721 0.94186044
31 0.16129032 0.31935483 0.4516129 1.0 71.6 76.0 0.112676054 0.15228716 0.1764706 0.81395346 0.88255817 0.94186044
32 0.15625 0.315625 0.4375 1.0 72.1 77.0 0.125 0.15538877 0.18571429 0.81395346 0.88023263 0.94186044
33 0.15151516 0.3181818 0.45454547 1.0 72.5 77.0 0.125 0.15447524 0.18309858 0.81395346 0.8790698 0.94186044
34 0.14705883 0.32058826 0.47058824 1.0 72.8 78.0 0.12328767 0.15391669 0.18309858 0.7906977 0.8732559 0.94186044
