rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8883721 0.94186044
3 0.0 0.23333332 0.6666667 1.0 53.9 54.0 0.11111111 0.11687632 0.12962963 0.8372093 0.88488376 0.9302326
4 0.0 0.275 0.5 1.0 53.9 54.0 0.11111111 0.11687632 0.12962963 0.8255814 0.88139534 0.9302326
5 0.0 0.28000003 0.6 1.0 53.9 54.0 0.11111111 0.11687632 0.12962963 0.8255814 0.8790698 0.9302326
6 0.0 0.28333333 0.5 1.0 53.9 54.0 0.11111111 0.11872816 0.12962963 0.8255814 0.8709303 0.9302326
7 0.0 0.28571433 0.42857143 1.0 53.9 54.0 0.11111111 0.12431866 0.14814815 0.81395346 0.87441874 0.9302326
8 0.0 0.275 0.5 1.0 53.9 54.0 0.11111111 0.12431866 0.14814815 0.7906977 0.8686048 0.9302326
9 0.0 0.3222222 0.5555556 1.0 53.8 54.0 0.11111111 0.12452831 0.14814815 0.7906977 0.86744195 0.9302326
10 0.0 0.32000002 0.6 1.0 53.8 54.0 0.11111111 0.12826696 0.14814815 0.7906977 0.8686048 0.9302326
11 0.09090909 0.3181818 0.54545456 1.0 53.8 54.0 0.11111111 0.12826696 0.14814815 0.7906977 0.8639535 0.90697676
12 0.083333336 0.31666666 0.5 1.0 53.8 54.0 0.11111111 0.12826696 0.14814815 0.7906977 0.8639535 0.90697676
13 0.07692308 0.32307696 0.53846157 1.0 53.8 54.0 0.11111111 0.1320056 0.1509434 0.7790698 0.86046517 0.90697676
14 0.071428575 0.32142857 0.5 1.0 53.8 54.0 0.11111111 0.1320056 0.1509434 0.7790698 0.8569767 0.89534885
15 0.06666667 0.32 0.46666667 1.0 53.7 54.0 0.11111111 0.13225017 0.1509434 0.7790698 0.8581395 0.89534885
16 0.0625 0.3125 0.5 1.0 53.7 54.0 0.11111111 0.13598882 0.16666667 0.76744187 0.84651166 0.89534885
17 0.05882353 0.31764704 0.47058824 1.0 53.7 54.0 0.11111111 0.13598882 0.16666667 0.75581396 0.84069765 0.89534885
