rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.89534885 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8023256 0.88255817 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.7906977 0.8755814 0.9302326
4 0.0 0.3 0.5 1.0 54.0 54.0 0.11111111 0.116666675 0.12962963 0.76744187 0.8755814 0.94186044
5 0.0 0.3 0.6 1.0 54.0 54.0 0.11111111 0.116666675 0.12962963 0.76744187 0.8732557 0.94186044
6 0.0 0.28333333 0.5 1.0 54.0 54.0 0.11111111 0.11851852 0.12962963 0.76744187 0.866279 0.95348835
7 0.0 0.28571433 0.42857143 1.0 54.0 54.0 0.11111111 0.12037037 0.14814815 0.76744187 0.86162794 0.94186044
8 0.0 0.275 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.76744187 0.85465115 0.94186044
9 0.0 0.3222222 0.5555556 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.76744187 0.85348845 0.94186044
10 0.0 0.32000002 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.76744187 0.8569768 0.94186044
11 0.09090909 0.3181818 0.45454547 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.75581396 0.8523256 0.94186044
12 0.083333336 0.31666666 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.7790698 0.85465115 0.94186044
13 0.07692308 0.32307696 0.53846157 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.76744187 0.8511628 0.94186044
14 0.071428575 0.3214286 0.5 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.75581396 0.84651166 0.9302326
15 0.06666667 0.32000002 0.53333336 1.0 54.0 54.0 0.11111111 0.12777777 0.16666667 0.75581396 0.8418606 0.9302326
16 0.0625 0.30625 0.5 1.0 54.0 54.0 0.11111111 0.12962963 0.16666667 0.75581396 0.83720934 0.9302326
17 0.05882353 0.31176472 0.5294118 1.0 54.0 54.0 0.11111111 0.12962963 0.16666667 0.74418604 0.8290698 0.9302326
18 0.055555556 0.31111112 0.5 1.0 54.0 54.0 0.11111111 0.12962963 0.16666667 0.73255813 0.83255816 0.9302326
19 0.05263158 0.30526316 0.5263158 1.0 54.0 54.0 0.11111111 0.12962963 0.16666667 0.73255813 0.8290698 0.9302326
20 0.1 0.29999998 0.5 1.0 54.0 54.0 0.11111111 0.12962963 0.16666667 0.73255813 0.8302325 0.9302326
21 0.14285715 0.3047619 0.52380955 1.0 54.0 54.0 0.11111111 0.13148147 0.16666667 0.73255813 0.8209303 0.9302326
22 0.13636364 0.30454546 0.5 1.0 54.0 54.0 0.11111111 0.13333333 0.16666667 0.7093023 0.811628 0.9186047
23 0.17391305 0.29565218 0.47826087 1.0 54.0 54.0 0.11111111 0.13333333 0.16666667 0.6976744 0.8011629 0.9186047
24 0.16666667 0.3 0.5 1.0 54.0 54.0 0.11111111 0.13518518 0.18518518 0.6976744 0.8000001 0.9186047
25 0.16 0.304 0.48 1.0 54.0 54.0 0.11111111 0.13518518 0.18518518 0.6976744 0.7965116 0.9186047
