rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11851852 0.12962963 0.8372093 0.88953483 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.12037037 0.12962963 0.8023256 0.877907 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.0 54.0 0.11111111 0.12222222 0.12962963 0.8023256 0.872093 0.94186044
4 0.0 0.275 0.5 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.7906977 0.86744183 0.94186044
5 0.0 0.28000003 0.6 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.7906977 0.8627907 0.94186044
6 0.0 0.28333333 0.5 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.7906977 0.8581395 0.94186044
7 0.0 0.28571433 0.42857143 1.0 54.0 54.0 0.11111111 0.12777777 0.14814815 0.81395346 0.85930234 0.94186044
8 0.0 0.275 0.5 1.0 54.0 54.0 0.11111111 0.12777777 0.14814815 0.81395346 0.8569767 0.90697676
9 0.0 0.3222222 0.5555556 1.0 54.0 54.0 0.11111111 0.12777777 0.14814815 0.81395346 0.85465115 0.90697676
10 0.0 0.32000002 0.6 1.0 54.0 54.0 0.11111111 0.12962963 0.14814815 0.81395346 0.85581386 0.90697676
11 0.09090909 0.3181818 0.54545456 1.0 54.0 54.0 0.11111111 0.12962963 0.14814815 0.8023256 0.85 0.89534885
12 0.083333336 0.31666666 0.5 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.8023256 0.85 0.89534885
13 0.07692308 0.31538466 0.53846157 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.75581396 0.8418605 0.89534885
14 0.071428575 0.32142857 0.5 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.75581396 0.8430233 0.89534885
15 0.06666667 0.31333336 0.46666667 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.75581396 0.8360466 0.89534885
16 0.0625 0.3 0.4375 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.74418604 0.82790697 0.88372093
17 0.05882353 0.30588236 0.47058824 1.0 54.0 54.0 0.11111111 0.13148148 0.14814815 0.7209302 0.81744194 0.88372093
18 0.055555556 0.30555558 0.5 1.0 54.0 54.0 0.11111111 0.13518518 0.14814815 0.74418604 0.8127907 0.88372093
19 0.05263158 0.29473683 0.47368422 1.0 54.0 54.0 0.11111111 0.13518518 0.14814815 0.74418604 0.80930233 0.88372093
