rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11494949 0.12727273 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.6 57.0 0.10714286 0.11331966 0.12727273 0.8372093 0.8918605 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 59.0 0.10526316 0.120110594 0.15789473 0.8372093 0.8918605 0.95348835
4 0.0 0.3 0.5 1.0 57.1 60.0 0.10526316 0.12433843 0.15789473 0.8372093 0.89418614 0.95348835
5 0.0 0.3 0.6 1.0 57.9 60.0 0.10344828 0.124371745 0.15789473 0.8372093 0.89418614 0.95348835
6 0.0 0.3 0.5 1.0 58.7 60.0 0.10169491 0.12779734 0.1724138 0.8372093 0.8930233 0.95348835
7 0.0 0.3 0.42857143 1.0 59.4 61.0 0.10169491 0.1297256 0.1724138 0.8372093 0.8918605 0.94186044
8 0.0 0.3 0.5 1.0 60.2 63.0 0.11290322 0.13293396 0.16949153 0.8372093 0.8872093 0.94186044
9 0.0 0.34444445 0.5555556 1.0 60.5 63.0 0.11111111 0.13398483 0.16949153 0.8372093 0.8872093 0.94186044
10 0.0 0.34 0.6 1.0 61.2 64.0 0.109375 0.13903429 0.16949153 0.8372093 0.88953495 0.94186044
11 0.09090909 0.34545454 0.54545456 1.0 61.9 65.0 0.109375 0.13897972 0.16666667 0.8372093 0.8872093 0.94186044
12 0.083333336 0.34166664 0.5 1.0 62.4 65.0 0.109375 0.14099115 0.17460318 0.8372093 0.8872093 0.9302326
13 0.07692308 0.3461539 0.53846157 1.0 62.9 65.0 0.10769231 0.14155482 0.171875 0.8372093 0.88255817 0.9186047
14 0.14285715 0.35714287 0.5 1.0 63.4 66.0 0.10769231 0.14048937 0.171875 0.8372093 0.88255817 0.9186047
15 0.13333334 0.35999998 0.53333336 1.0 63.9 67.0 0.10769231 0.14103845 0.171875 0.8372093 0.88255817 0.9186047
16 0.125 0.35 0.5 1.0 64.6 67.0 0.10606061 0.14418514 0.18461539 0.8604651 0.88488376 0.9186047
17 0.11764706 0.34705883 0.5294118 1.0 65.1 68.0 0.10606061 0.14472638 0.18461539 0.8488372 0.8872094 0.9302326
18 0.11111111 0.34444445 0.5 1.0 65.7 68.0 0.104477614 0.14485618 0.18181819 0.8255814 0.8872093 0.9302326
19 0.10526316 0.33684212 0.5263158 1.0 66.4 69.0 0.11594203 0.14477858 0.17910448 0.81395346 0.88953483 0.9302326
20 0.1 0.335 0.5 1.0 66.9 70.0 0.114285715 0.14674242 0.1904762 0.81395346 0.88953483 0.9302326
21 0.14285715 0.33809525 0.52380955 1.0 67.4 70.0 0.12307692 0.1514729 0.1875 0.81395346 0.8872093 0.9302326
22 0.13636364 0.3409091 0.5 1.0 68.1 72.0 0.12676056 0.15442541 0.1875 0.8372093 0.8883721 0.9302326
23 0.17391305 0.33043477 0.47826087 1.0 69.2 73.0 0.13235295 0.15480088 0.18181819 0.8372093 0.8872093 0.9302326
24 0.16666667 0.3333333 0.5 1.0 69.7 74.0 0.13043478 0.15376194 0.18181819 0.8372093 0.8860466 0.9302326
25 0.16 0.332 0.48 1.0 70.2 75.0 0.13513513 0.15416789 0.18181819 0.8372093 0.8872093 0.9302326
26 0.15384616 0.3269231 0.46153846 1.0 70.8 75.0 0.13333334 0.15431623 0.19402985 0.8372093 0.8860465 0.9302326
27 0.14814815 0.32962963 0.4814815 1.0 71.4 75.0 0.13333334 0.15305226 0.19402985 0.8372093 0.8848837 0.9302326
28 0.14285715 0.32142857 0.4642857 1.0 71.8 75.0 0.13333334 0.15355341 0.19117647 0.8372093 0.883721 0.9302326
29 0.13793103 0.31379312 0.4827586 1.0 72.8 76.0 0.13157895 0.15564358 0.19117647 0.8372093 0.88255817 0.9302326
30 0.16666667 0.32333335 0.5 1.0 73.1 76.0 0.13157895 0.15508227 0.19117647 0.8372093 0.8802325 0.9186047
31 0.16129032 0.32580644 0.48387095 1.0 73.3 77.0 0.12987013 0.15463433 0.1884058 0.8255814 0.8755814 0.9186047
32 0.15625 0.325 0.46875 1.0 73.6 77.0 0.12987013 0.15949248 0.20289855 0.8255814 0.87325585 0.9186047
33 0.15151516 0.32727274 0.4848485 1.0 73.9 77.0 0.12987013 0.1587911 0.2 0.8255814 0.872093 0.9186047
34 0.14705883 0.32647055 0.5 1.0 74.1 77.0 0.12987013 0.15966402 0.2 0.8255814 0.872093 0.9186047
35 0.17142858 0.32857147 0.4857143 1.0 74.7 79.0 0.12987013 0.16094097 0.1971831 0.8255814 0.86860466 0.9186047
36 0.16666667 0.32777777 0.5 1.0 75.3 80.0 0.12987013 0.16224559 0.19444445 0.8255814 0.8662791 0.90697676
37 0.1891892 0.32972974 0.4864865 1.0 75.8 81.0 0.12987013 0.16245525 0.19736843 0.8255814 0.86744183 0.90697676
38 0.18421052 0.32631582 0.47368422 1.0 76.2 81.0 0.14285715 0.16432253 0.19736843 0.8255814 0.86744183 0.90697676
39 0.17948718 0.33333337 0.46153846 1.0 76.4 81.0 0.14285715 0.16517721 0.19736843 0.8255814 0.86860466 0.90697676
40 0.2 0.3425 0.475 1.0 76.6 81.0 0.14285715 0.16471583 0.19480519 0.8255814 0.8662791 0.90697676
41 0.19512194 0.34390244 0.4878049 1.0 76.9 82.0 0.14285715 0.16533756 0.1923077 0.8255814 0.8651163 0.89534885
42 0.1904762 0.34285715 0.5 1.0 77.2 82.0 0.14285715 0.16860479 0.20512821 0.8255814 0.8697675 0.89534885
43 0.18604651 0.34186047 0.4883721 1.0 77.7 82.0 0.14285715 0.17012873 0.20253165 0.8255814 0.8697675 0.89534885
44 0.20454545 0.3431818 0.5 1.0 78.2 82.0 0.14814815 0.17291364 0.2 0.8255814 0.86860466 0.89534885
45 0.2 0.3488889 0.4888889 1.0 78.4 82.0 0.14814815 0.17247151 0.2 0.8255814 0.8662791 0.88372093
46 0.19565217 0.35000002 0.47826087 1.0 78.9 82.0 0.14814815 0.17135477 0.2 0.8255814 0.8662791 0.88372093
47 0.19148937 0.34893617 0.4680851 1.0 79.2 82.0 0.14634146 0.17456152 0.20731707 0.8255814 0.8662791 0.88372093
48 0.1875 0.34791666 0.47916666 1.0 79.9 83.0 0.14457831 0.1767907 0.21686748 0.8372093 0.86744183 0.88372093
49 0.18367347 0.34285715 0.48979592 1.0 80.5 84.0 0.15189873 0.17919277 0.21428572 0.81395346 0.8627907 0.88372093
50 0.18 0.34600002 0.5 1.0 80.9 85.0 0.15 0.17830399 0.21428572 0.81395346 0.8627907 0.88372093
51 0.1764706 0.34509802 0.50980395 1.0 81.4 85.0 0.15 0.1796762 0.21428572 0.81395346 0.8627907 0.88372093
52 0.1923077 0.34423077 0.5 1.0 81.9 85.0 0.15 0.1785422 0.21428572 0.81395346 0.8662791 0.90697676
53 0.18867925 0.34716982 0.49056605 1.0 82.2 85.0 0.14814815 0.17916791 0.21428572 0.8372093 0.8639535 0.90697676
54 0.18518518 0.34444445 0.5 1.0 82.4 86.0 0.14814815 0.17870952 0.21428572 0.8372093 0.8662791 0.90697676
55 0.18181819 0.34545454 0.4909091 1.0 82.9 86.0 0.14814815 0.18109664 0.22352941 0.8255814 0.8662791 0.90697676
56 0.17857143 0.34464285 0.48214287 1.0 83.3 86.0 0.15853658 0.18393508 0.22352941 0.8255814 0.8639536 0.90697676
57 0.1754386 0.34385967 0.47368422 1.0 83.5 87.0 0.15853658 0.1860524 0.2278481 0.8255814 0.86162794 0.90697676
58 0.1724138 0.34655172 0.4827586 1.0 84.0 88.0 0.16091955 0.18744026 0.2278481 0.8255814 0.86162794 0.90697676
59 0.16949153 0.34745762 0.4915254 1.0 84.2 88.0 0.1627907 0.18817338 0.2278481 0.8255814 0.86046517 0.90697676
60 0.18333334 0.35333332 0.48333332 1.0 84.3 88.0 0.1627907 0.18902494 0.225 0.8255814 0.8593024 0.90697676
61 0.18032786 0.3491803 0.47540984 1.0 84.7 88.0 0.16666667 0.19042292 0.22352941 0.8255814 0.8593024 0.90697676
62 0.19354838 0.3516129 0.48387095 1.0 85.0 88.0 0.1627907 0.19213267 0.22352941 0.8255814 0.8593024 0.90697676
63 0.1904762 0.35079366 0.47619048 1.0 85.5 88.0 0.1627907 0.19203705 0.22352941 0.8255814 0.86162794 0.90697676
64 0.203125 0.3546875 0.46875 1.0 85.6 88.0 0.17045455 0.19411811 0.23529412 0.8255814 0.86162794 0.90697676
65 0.21538462 0.35538465 0.46153846 1.0 86.0 89.0 0.17045455 0.19323944 0.23529412 0.8255814 0.86279076 0.90697676
66 0.22727273 0.35909092 0.45454547 1.0 86.2 89.0 0.17045455 0.19500703 0.23529412 0.8255814 0.86279076 0.90697676
67 0.23880596 0.35970148 0.4477612 1.0 86.7 90.0 0.17045455 0.19505748 0.23529412 0.8255814 0.86279076 0.90697676
68 0.23529412 0.3602941 0.44117647 1.0 86.9 90.0 0.16853933 0.19467004 0.23529412 0.8255814 0.8651163 0.90697676
69 0.23188406 0.35797098 0.4347826 1.0 87.4 90.0 0.17045455 0.19575681 0.23255815 0.8255814 0.86046517 0.89534885
70 0.22857143 0.35428572 0.42857143 1.0 87.7 90.0 0.16853933 0.19965667 0.23255815 0.8255814 0.8569768 0.89534885
71 0.22535211 0.35633802 0.43661973 1.0 87.9 90.0 0.16853933 0.20037946 0.23255815 0.8255814 0.8569768 0.89534885
72 0.22222222 0.35694447 0.44444445 1.0 88.2 90.0 0.16853933 0.20083895 0.23255815 0.8255814 0.86162794 0.89534885
73 0.21917808 0.35753423 0.43835616 1.0 88.4 91.0 0.16666667 0.20375331 0.23255815 0.8255814 0.86162794 0.88372093
74 0.22972973 0.3581081 0.43243244 1.0 88.6 92.0 0.16666667 0.20438834 0.23255815 0.8255814 0.8639536 0.89534885
75 0.22666667 0.36400002 0.44 1.0 88.6 92.0 0.16666667 0.20438834 0.23255815 0.8255814 0.8639536 0.89534885
76 0.2236842 0.36578947 0.43421054 1.0 88.8 93.0 0.16666667 0.20498927 0.23255815 0.8255814 0.8651163 0.89534885
77 0.22077923 0.36623377 0.44155845 1.0 89.1 93.0 0.16666667 0.20771077 0.23255815 0.8255814 0.8662791 0.89534885
78 0.23076923 0.36538458 0.43589744 1.0 89.2 93.0 0.16666667 0.20744345 0.22988506 0.8255814 0.8662791 0.89534885
79 0.24050634 0.36708862 0.43037975 1.0 89.3 93.0 0.16666667 0.20832984 0.22988506 0.8255814 0.8639536 0.89534885
