rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.6 57.0 0.10714286 0.11150148 0.12727273 0.8372093 0.8918605 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 59.0 0.10526316 0.118356206 0.14285715 0.8372093 0.8930233 0.95348835
4 0.0 0.275 0.5 1.0 57.1 60.0 0.10526316 0.12258406 0.15789473 0.8372093 0.8953489 0.95348835
5 0.0 0.28000003 0.6 1.0 57.9 60.0 0.10344828 0.12437173 0.15789473 0.8372093 0.8953489 0.95348835
6 0.0 0.28333333 0.5 1.0 58.7 60.0 0.10169491 0.12776908 0.1724138 0.8372093 0.89418614 0.95348835
7 0.0 0.28571433 0.42857143 1.0 59.4 61.0 0.10169491 0.12969828 0.1724138 0.8372093 0.894186 0.94186044
8 0.0 0.2875 0.5 1.0 60.2 63.0 0.114754096 0.1328802 0.16949153 0.8372093 0.8883721 0.94186044
9 0.0 0.3333333 0.5555556 1.0 60.5 63.0 0.11666667 0.13390546 0.16949153 0.8372093 0.8883721 0.94186044
10 0.0 0.33 0.6 1.0 61.2 64.0 0.114754096 0.13893011 0.16949153 0.8372093 0.8906978 0.94186044
11 0.09090909 0.33636364 0.54545456 1.0 61.9 65.0 0.114754096 0.13892932 0.16666667 0.8604651 0.8918605 0.94186044
12 0.083333336 0.3333333 0.5 1.0 62.5 66.0 0.114754096 0.14073324 0.16666667 0.8488372 0.8906978 0.9302326
13 0.07692308 0.33846158 0.53846157 1.0 63.0 66.0 0.11290322 0.14129767 0.16666667 0.8488372 0.8883721 0.9302326
14 0.14285715 0.34285718 0.5 1.0 63.5 66.0 0.11111111 0.14020893 0.16393442 0.8488372 0.8883721 0.9302326
15 0.13333334 0.34666666 0.53333336 1.0 63.9 67.0 0.109375 0.14095795 0.16393442 0.8488372 0.8883721 0.9302326
16 0.125 0.3375 0.5 1.0 64.7 68.0 0.10769231 0.14384148 0.16923077 0.8488372 0.8872094 0.9302326
17 0.11764706 0.32941177 0.47058824 1.0 65.2 69.0 0.10606061 0.1474378 0.18461539 0.8488372 0.8860466 0.9302326
18 0.16666667 0.33333337 0.44444445 1.0 65.7 69.0 0.11940298 0.14778177 0.18181819 0.81395346 0.883721 0.9302326
19 0.15789473 0.3263158 0.47368422 1.0 66.3 70.0 0.11764706 0.1479396 0.17910448 0.81395346 0.883721 0.9302326
20 0.15 0.32500002 0.45 1.0 66.7 70.0 0.121212125 0.15010437 0.1904762 0.8255814 0.8860465 0.9302326
21 0.14285715 0.32380956 0.47619048 1.0 67.1 70.0 0.121212125 0.15205264 0.1875 0.81395346 0.88488376 0.9302326
22 0.13636364 0.32727274 0.45454547 1.0 67.7 72.0 0.121212125 0.15527372 0.1884058 0.8372093 0.88488376 0.9302326
23 0.17391305 0.31739128 0.4347826 1.0 68.8 73.0 0.11940298 0.15555659 0.1884058 0.8372093 0.88488376 0.9302326
24 0.16666667 0.32083333 0.45833334 1.0 69.3 74.0 0.11764706 0.15586878 0.18571429 0.8372093 0.88488376 0.9302326
25 0.16 0.32399997 0.48 1.0 69.8 75.0 0.11764706 0.15617059 0.18309858 0.8255814 0.8872094 0.9302326
26 0.15384616 0.3192308 0.46153846 1.0 70.5 75.0 0.13235295 0.15749517 0.19402985 0.8255814 0.8883721 0.9302326
27 0.14814815 0.32962963 0.4814815 1.0 70.9 75.0 0.13235295 0.15659814 0.19402985 0.8255814 0.88488376 0.9302326
28 0.14285715 0.32142857 0.4642857 1.0 71.2 75.0 0.13043478 0.15732181 0.19117647 0.8372093 0.8872093 0.94186044
