rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11494949 0.12727273 0.8372093 0.8883721 0.95348835
2 0.0 0.25 0.5 1.0 55.6 57.0 0.10714286 0.11331966 0.12727273 0.8372093 0.88720924 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 59.0 0.10526316 0.120110594 0.15789473 0.8372093 0.8883721 0.95348835
4 0.0 0.275 0.5 1.0 57.1 60.0 0.10526316 0.120798334 0.15789473 0.8372093 0.8906978 0.95348835
5 0.0 0.28000003 0.6 1.0 57.9 60.0 0.10344828 0.120831646 0.15254237 0.8372093 0.8906978 0.95348835
6 0.0 0.28333333 0.5 1.0 58.7 60.0 0.10169491 0.1243188 0.15517241 0.8372093 0.88953495 0.95348835
7 0.0 0.28571433 0.42857143 1.0 59.4 61.0 0.10169491 0.12627733 0.16666667 0.8372093 0.88720924 0.94186044
8 0.0 0.2875 0.5 1.0 60.2 63.0 0.10169491 0.12954412 0.16666667 0.8372093 0.8837209 0.94186044
9 0.0 0.3333333 0.5555556 1.0 60.5 63.0 0.1 0.13062325 0.16666667 0.8372093 0.8837209 0.94186044
10 0.0 0.33 0.6 1.0 61.2 64.0 0.09836066 0.13570002 0.16666667 0.8372093 0.8872093 0.94186044
11 0.09090909 0.33636364 0.54545456 1.0 61.9 65.0 0.09836066 0.13731393 0.16666667 0.8488372 0.8872093 0.94186044
12 0.083333336 0.3333333 0.5 1.0 62.5 66.0 0.09836066 0.14065395 0.17460318 0.8372093 0.8872093 0.94186044
13 0.07692308 0.33846158 0.53846157 1.0 63.0 66.0 0.10769231 0.14127052 0.171875 0.8372093 0.88488376 0.94186044
14 0.14285715 0.34285718 0.5 1.0 63.5 66.0 0.10769231 0.14167291 0.171875 0.8372093 0.8860465 0.94186044
15 0.13333334 0.34666666 0.53333336 1.0 63.9 67.0 0.10769231 0.14396183 0.171875 0.8372093 0.88837206 0.94186044
16 0.125 0.3375 0.5 1.0 64.7 68.0 0.10606061 0.14677614 0.18461539 0.8604651 0.8918605 0.94186044
17 0.11764706 0.33529413 0.5294118 1.0 65.2 69.0 0.10606061 0.1487889 0.19117647 0.8604651 0.8930233 0.96511626
18 0.11111111 0.3277778 0.5 1.0 65.8 69.0 0.104477614 0.14732023 0.1884058 0.8604651 0.9000001 0.96511626
19 0.15789473 0.32631582 0.47368422 1.0 66.3 70.0 0.10606061 0.1505988 0.1884058 0.8604651 0.90232563 0.96511626
20 0.15 0.325 0.45 1.0 66.8 71.0 0.10606061 0.15104605 0.1904762 0.872093 0.9081396 0.9767442
21 0.1904762 0.32857144 0.47619048 1.0 67.2 71.0 0.10606061 0.15303634 0.1884058 0.8604651 0.90930235 0.9767442
22 0.18181819 0.33181816 0.45454547 1.0 67.9 73.0 0.10606061 0.1558912 0.1971831 0.872093 0.9104651 0.96511626
23 0.17391305 0.32173908 0.4347826 1.0 69.0 74.0 0.104477614 0.15483154 0.1971831 0.88372093 0.9139535 0.96511626
24 0.16666667 0.325 0.45833334 1.0 69.4 75.0 0.10294118 0.15539911 0.20833333 0.88372093 0.91279066 0.96511626
25 0.2 0.33200002 0.48 1.0 69.7 76.0 0.10294118 0.15470123 0.20547946 0.872093 0.91744196 0.96511626
26 0.1923077 0.32692307 0.46153846 1.0 70.4 76.0 0.11764706 0.15743478 0.2027027 0.872093 0.91627914 0.96511626
27 0.18518518 0.3333333 0.4814815 1.0 70.9 76.0 0.11764706 0.15631779 0.2 0.872093 0.9127908 0.96511626
28 0.17857143 0.3285714 0.4642857 1.0 71.3 76.0 0.11594203 0.15691297 0.2 0.872093 0.9151164 0.96511626
29 0.1724138 0.32068965 0.4827586 1.0 72.3 77.0 0.112676054 0.15758252 0.21052632 0.872093 0.9139536 0.96511626
30 0.16666667 0.33 0.5 1.0 72.6 77.0 0.11111111 0.15705498 0.21052632 0.872093 0.9139536 0.96511626
31 0.16129032 0.33225805 0.48387095 1.0 72.8 77.0 0.11111111 0.15782735 0.21052632 0.872093 0.9104651 0.94186044
32 0.15625 0.328125 0.46875 1.0 73.1 77.0 0.114285715 0.16136242 0.20779221 0.8604651 0.9081395 0.94186044
33 0.15151516 0.33030307 0.45454547 1.0 73.5 77.0 0.114285715 0.16173613 0.20779221 0.8604651 0.90232563 0.94186044
34 0.14705883 0.32941175 0.47058824 1.0 73.7 78.0 0.114285715 0.16395319 0.20512821 0.8604651 0.9011628 0.94186044
35 0.17142858 0.32857147 0.45714286 1.0 74.2 80.0 0.12857144 0.1694959 0.2125 0.8604651 0.89767444 0.94186044
