rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.115324676 0.14285715 0.8372093 0.8906978 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.0 57.0 0.10526316 0.117809296 0.15789473 0.8372093 0.8860465 0.94186044
4 0.0 0.275 0.5 1.0 56.4 58.0 0.10526316 0.11868824 0.15517241 0.81395346 0.8860465 0.94186044
5 0.0 0.28000003 0.6 1.0 56.9 59.0 0.10526316 0.12103049 0.16949153 0.81395346 0.8860465 0.94186044
6 0.0 0.26666665 0.5 1.0 57.6 60.0 0.10344828 0.122945726 0.18333334 0.81395346 0.883721 0.95348835
7 0.0 0.2714286 0.42857143 1.0 58.2 60.0 0.10169491 0.12519974 0.18333334 0.8488372 0.89069766 0.95348835
8 0.0 0.275 0.5 1.0 58.9 61.0 0.1 0.12555812 0.18333334 0.8372093 0.8825582 0.94186044
9 0.0 0.3222222 0.5555556 1.0 59.2 62.0 0.1 0.12661777 0.18333334 0.8372093 0.8825582 0.94186044
10 0.0 0.32 0.5 1.0 59.8 63.0 0.1 0.12870535 0.18032786 0.8488372 0.8860465 0.94186044
11 0.09090909 0.32727274 0.45454547 1.0 60.2 63.0 0.1 0.12947331 0.17741935 0.8488372 0.883721 0.94186044
12 0.083333336 0.325 0.5 1.0 60.6 63.0 0.09836066 0.12853976 0.17460318 0.8488372 0.88139534 0.94186044
13 0.07692308 0.33846158 0.53846157 1.0 61.1 64.0 0.09677419 0.12910995 0.17460318 0.8488372 0.8767443 0.9186047
14 0.14285715 0.34285718 0.5 1.0 61.5 64.0 0.0952381 0.12829362 0.171875 0.8488372 0.877907 0.9186047
15 0.13333334 0.34 0.46666667 1.0 62.1 65.0 0.09375 0.13196346 0.16923077 0.8488372 0.877907 0.9186047
16 0.125 0.33125 0.5 1.0 62.6 66.0 0.092307694 0.13729212 0.18181819 0.8372093 0.87674415 0.9186047
17 0.11764706 0.32352942 0.47058824 1.0 63.1 67.0 0.09090909 0.13793989 0.17910448 0.8255814 0.87558144 0.9186047
18 0.11111111 0.3277778 0.44444445 1.0 63.6 68.0 0.09090909 0.13683723 0.1764706 0.7906977 0.872093 0.9186047
19 0.15789473 0.33157894 0.47368422 1.0 64.0 68.0 0.09090909 0.13591968 0.1764706 0.7906977 0.8720931 0.9186047
20 0.15 0.335 0.5 1.0 64.5 69.0 0.09090909 0.13628331 0.17391305 0.8023256 0.877907 0.9186047
21 0.1904762 0.33333334 0.47619048 1.0 65.0 69.0 0.08955224 0.13676096 0.1884058 0.7790698 0.87325585 0.9186047
22 0.18181819 0.3318182 0.5 1.0 65.6 70.0 0.08955224 0.13701236 0.18571429 0.8023256 0.87325585 0.9186047
23 0.17391305 0.3217391 0.47826087 1.0 66.4 71.0 0.0882353 0.13829736 0.1971831 0.8023256 0.8755814 0.9302326
24 0.16666667 0.32083336 0.5 1.0 66.8 71.0 0.08695652 0.13756435 0.1971831 0.8255814 0.88139546 0.9302326
25 0.16 0.32400003 0.52 1.0 66.9 71.0 0.08695652 0.1388101 0.1971831 0.8255814 0.8744186 0.9302326
26 0.15384616 0.31538463 0.5 1.0 67.4 72.0 0.08695652 0.13770998 0.19444445 0.8255814 0.8732559 0.9302326
27 0.14814815 0.3148148 0.5185185 1.0 67.8 72.0 0.08695652 0.13683632 0.19444445 0.8255814 0.8709303 0.9302326
28 0.14285715 0.3107143 0.5 1.0 68.2 72.0 0.08571429 0.13758467 0.19444445 0.8255814 0.8697675 0.9302326
29 0.13793103 0.30344826 0.51724136 1.0 68.9 73.0 0.08450704 0.1391061 0.19178082 0.8255814 0.8720931 0.9302326
30 0.13333334 0.31000003 0.5 1.0 69.2 73.0 0.08450704 0.13851526 0.19178082 0.8255814 0.86744195 0.9302326
31 0.16129032 0.31935483 0.48387095 1.0 69.3 74.0 0.08450704 0.13828328 0.1891892 0.8255814 0.8639536 0.9186047
32 0.15625 0.315625 0.46875 1.0 69.9 74.0 0.08450704 0.14141896 0.1891892 0.81395346 0.8593024 0.9186047
33 0.18181819 0.32424244 0.45454547 1.0 70.1 74.0 0.08450704 0.14096889 0.1891892 0.81395346 0.8569768 0.9186047
34 0.1764706 0.32352942 0.44117647 1.0 70.2 74.0 0.08450704 0.14083104 0.1891892 0.8023256 0.85 0.9186047
35 0.2 0.32285717 0.42857143 1.0 70.5 74.0 0.083333336 0.14179555 0.1891892 0.8023256 0.84883726 0.9186047
36 0.22222222 0.31944448 0.44444445 1.0 70.9 74.0 0.083333336 0.14095955 0.1891892 0.81395346 0.85 0.9186047
37 0.21621622 0.31891894 0.43243244 1.0 71.3 74.0 0.083333336 0.14013079 0.1891892 0.8023256 0.84534883 0.9186047
38 0.23684211 0.3157895 0.4473684 1.0 71.8 75.0 0.083333336 0.13922383 0.1891892 0.8023256 0.8500001 0.9186047
39 0.23076923 0.32051283 0.43589744 1.0 72.1 75.0 0.083333336 0.13998434 0.1891892 0.8023256 0.8500001 0.9302326
40 0.225 0.325 0.45 1.0 72.3 76.0 0.083333336 0.13957213 0.1891892 0.8023256 0.84883726 0.9302326
41 0.2195122 0.32682925 0.46341464 1.0 72.6 76.0 0.083333336 0.13890155 0.1891892 0.8023256 0.8476745 0.9302326
42 0.21428572 0.32142857 0.45238096 1.0 73.0 76.0 0.097222224 0.14092101 0.19178082 0.8023256 0.8511628 0.9302326
43 0.20930232 0.31860465 0.44186047 1.0 73.5 76.0 0.097222224 0.13996322 0.1891892 0.81395346 0.85465115 0.9302326
44 0.22727273 0.32045454 0.45454547 1.0 73.7 76.0 0.10958904 0.14103773 0.1891892 0.7790698 0.8488372 0.9302326
45 0.22222222 0.32222223 0.44444445 1.0 73.8 77.0 0.10958904 0.1421936 0.1891892 0.76744187 0.85 0.90697676
46 0.2173913 0.3217391 0.4347826 1.0 74.3 78.0 0.10810811 0.14259955 0.1891892 0.76744187 0.84651166 0.90697676
47 0.21276596 0.32127658 0.42553192 1.0 74.4 78.0 0.10810811 0.14235394 0.1891892 0.76744187 0.8476745 0.90697676
48 0.20833333 0.3145833 0.41666666 1.0 74.9 78.0 0.10666667 0.14292023 0.1891892 0.76744187 0.84651166 0.90697676
49 0.20408164 0.3102041 0.42857143 1.0 75.5 79.0 0.10666667 0.14304428 0.18666667 0.7790698 0.84883726 0.90697676
50 0.2 0.31199998 0.42 1.0 75.9 80.0 0.10526316 0.14233348 0.18421052 0.7790698 0.85465115 0.9186047
51 0.19607843 0.31764707 0.43137255 1.0 76.1 80.0 0.10526316 0.14330344 0.18421052 0.7790698 0.85348845 0.9186047
52 0.1923077 0.31346157 0.42307693 1.0 76.4 81.0 0.103896104 0.14408469 0.18421052 0.7790698 0.84651166 0.9186047
53 0.18867925 0.31698114 0.41509435 1.0 76.6 81.0 0.102564104 0.14371225 0.18181819 0.7790698 0.84534883 0.90697676
54 0.18518518 0.3148148 0.4074074 1.0 76.7 81.0 0.101265825 0.1462423 0.18421052 0.7790698 0.8430232 0.90697676
55 0.18181819 0.31636363 0.4 1.0 77.1 81.0 0.101265825 0.14548257 0.18421052 0.7906977 0.844186 0.90697676
56 0.17857143 0.31785715 0.39285713 1.0 77.3 81.0 0.101265825 0.145089 0.18181819 0.7906977 0.84651166 0.90697676
57 0.1754386 0.31754386 0.3859649 1.0 77.5 82.0 0.101265825 0.14596234 0.18181819 0.7906977 0.85232556 0.90697676
58 0.1724138 0.32241377 0.39655173 1.0 77.8 83.0 0.101265825 0.14537774 0.17948718 0.7906977 0.855814 0.90697676
59 0.16949153 0.3220339 0.40677965 1.0 77.9 83.0 0.1 0.14523067 0.17948718 0.7906977 0.8534883 0.90697676
60 0.16666667 0.32 0.4 1.0 78.3 84.0 0.1 0.14572218 0.17948718 0.7906977 0.85232556 0.90697676
61 0.16393442 0.3180328 0.40983605 1.0 78.4 83.0 0.1 0.14550361 0.17948718 0.7906977 0.8476745 0.9186047
62 0.16129032 0.32258064 0.41935483 1.0 78.5 83.0 0.1 0.14529854 0.17948718 0.7906977 0.8418605 0.9186047
