rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313132 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.113506496 0.12727273 0.8372093 0.8848837 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.115389034 0.14035088 0.8372093 0.88255817 0.94186044
4 0.0 0.275 0.5 1.0 56.8 58.0 0.10344828 0.114339724 0.13793103 0.8372093 0.8837209 0.94186044
5 0.0 0.28000003 0.6 1.0 57.5 59.0 0.10169491 0.11296699 0.13559322 0.8372093 0.8860465 0.94186044
6 0.0 0.3 0.5 1.0 58.1 60.0 0.1 0.11183026 0.13559322 0.8372093 0.8848837 0.95348835
7 0.0 0.31428576 0.42857143 1.0 58.6 61.0 0.09836066 0.110923454 0.13559322 0.8488372 0.8918605 0.95348835
8 0.0 0.3125 0.5 1.0 59.2 62.0 0.09677419 0.10981995 0.13559322 0.8372093 0.88488376 0.95348835
9 0.0 0.35555553 0.5555556 1.0 59.5 63.0 0.0952381 0.10929974 0.13559322 0.8372093 0.8872094 0.95348835
10 0.0 0.35 0.6 1.0 60.2 64.0 0.09375 0.11128038 0.13333334 0.8372093 0.8883721 0.95348835
11 0.09090909 0.35454544 0.54545456 1.0 60.7 64.0 0.09375 0.1136917 0.13114753 0.8372093 0.8872093 0.95348835
12 0.083333336 0.35 0.5 1.0 61.3 64.0 0.09375 0.11412402 0.14516129 0.8372093 0.88953495 0.94186044
13 0.07692308 0.3461539 0.53846157 1.0 61.9 65.0 0.09677419 0.11464922 0.14516129 0.81395346 0.88488376 0.94186044
14 0.14285715 0.35000002 0.5 1.0 62.4 65.0 0.0952381 0.11371688 0.14285715 0.81395346 0.8860466 0.94186044
15 0.2 0.35333335 0.46666667 1.0 62.8 65.0 0.09375 0.112992264 0.14285715 0.81395346 0.88488376 0.94186044
16 0.1875 0.34375 0.5 1.0 63.6 66.0 0.092307694 0.11945067 0.15625 0.81395346 0.88488376 0.94186044
17 0.1764706 0.34117648 0.47058824 1.0 64.1 66.0 0.09090909 0.12177106 0.15384616 0.81395346 0.8872093 0.94186044
18 0.16666667 0.3388889 0.44444445 1.0 64.6 67.0 0.09090909 0.12079211 0.15151516 0.81395346 0.8872093 0.94186044
19 0.15789473 0.33684212 0.47368422 1.0 65.2 68.0 0.09090909 0.12415745 0.14925373 0.81395346 0.89069766 0.94186044
20 0.15 0.33 0.5 1.0 65.6 68.0 0.09090909 0.12337241 0.14705883 0.8488372 0.89069766 0.94186044
21 0.1904762 0.3285714 0.47619048 1.0 66.0 69.0 0.09090909 0.12263606 0.14705883 0.8488372 0.88953495 0.94186044
22 0.18181819 0.3272727 0.5 1.0 66.7 70.0 0.09090909 0.12591878 0.15151516 0.8488372 0.88953495 0.94186044
23 0.17391305 0.31739125 0.5217391 1.0 67.5 71.0 0.08955224 0.12586458 0.15714286 0.8488372 0.9 0.96511626
24 0.16666667 0.32083333 0.5416667 1.0 67.8 72.0 0.08955224 0.12676398 0.15714286 0.8604651 0.90232563 0.96511626
25 0.16 0.32400003 0.56 1.0 68.2 72.0 0.08955224 0.12597945 0.15492958 0.8488372 0.90465117 0.96511626
26 0.15384616 0.31153846 0.53846157 1.0 69.0 73.0 0.08955224 0.12449934 0.15277778 0.8488372 0.905814 0.96511626
27 0.14814815 0.31851852 0.5555556 1.0 69.2 74.0 0.08955224 0.12414147 0.15277778 0.8488372 0.90465117 0.96511626
28 0.14285715 0.31785715 0.53571427 1.0 69.4 74.0 0.08955224 0.12378448 0.15277778 0.8372093 0.90348834 0.96511626
29 0.13793103 0.31034485 0.55172414 1.0 70.2 75.0 0.0882353 0.12239665 0.15068494 0.8255814 0.9011628 0.9767442
30 0.13333334 0.3166667 0.53333336 1.0 70.5 76.0 0.0882353 0.12191383 0.15068494 0.8255814 0.89883727 0.9767442
31 0.16129032 0.32258064 0.516129 1.0 70.7 76.0 0.0882353 0.12152928 0.14864865 0.8255814 0.89767444 0.96511626
32 0.15625 0.31875 0.5 1.0 71.2 76.0 0.0882353 0.12351526 0.15714286 0.8255814 0.8930233 0.96511626
33 0.15151516 0.31818184 0.4848485 1.0 71.4 76.0 0.0882353 0.12312343 0.15492958 0.8255814 0.8918605 0.96511626
34 0.14705883 0.32058826 0.47058824 1.0 71.6 76.0 0.0882353 0.12282433 0.15492958 0.8488372 0.894186 0.96511626
35 0.17142858 0.32285717 0.45714286 1.0 72.0 76.0 0.0882353 0.12352338 0.15492958 0.8488372 0.894186 0.95348835
36 0.16666667 0.31944448 0.44444445 1.0 72.5 77.0 0.0882353 0.1226994 0.15277778 0.8488372 0.90232563 0.96511626
37 0.1891892 0.3189189 0.43243244 1.0 72.9 78.0 0.0882353 0.1247988 0.16216215 0.8372093 0.9 0.96511626
38 0.21052632 0.31842104 0.4473684 1.0 73.3 78.0 0.093333334 0.12562665 0.16216215 0.8372093 0.89767444 0.96511626
39 0.20512821 0.32564104 0.43589744 1.0 73.6 79.0 0.093333334 0.12913357 0.16216215 0.8604651 0.9011628 0.96511626
40 0.2 0.325 0.45 1.0 73.9 79.0 0.10526316 0.1326724 0.16216215 0.8604651 0.89883727 0.96511626
41 0.19512194 0.32682925 0.46341464 1.0 74.3 80.0 0.10526316 0.13193797 0.16216215 0.872093 0.9011628 0.96511626
42 0.1904762 0.32142857 0.45238096 1.0 74.9 80.0 0.103896104 0.13215336 0.16216215 0.872093 0.90232563 0.96511626
43 0.18604651 0.32093024 0.44186047 1.0 75.4 80.0 0.103896104 0.13254209 0.16216215 0.8604651 0.90232563 0.96511626
44 0.20454545 0.32045454 0.45454547 1.0 75.7 80.0 0.102564104 0.1334704 0.16216215 0.8255814 0.89883727 0.96511626
45 0.2 0.32 0.44444445 1.0 75.9 80.0 0.102564104 0.13587967 0.16216215 0.8255814 0.9 0.96511626
46 0.19565217 0.3195652 0.4347826 1.0 76.4 81.0 0.102564104 0.13496843 0.16 0.8255814 0.89534885 0.96511626
47 0.19148937 0.3212766 0.44680852 1.0 76.6 82.0 0.102564104 0.13462429 0.16 0.8255814 0.89534885 0.96511626
48 0.1875 0.31874996 0.4375 1.0 77.2 83.0 0.101265825 0.13360533 0.16 0.8372093 0.8976744 0.96511626
49 0.18367347 0.3142857 0.4489796 1.0 77.9 84.0 0.1 0.13374166 0.16216215 0.8372093 0.894186 0.96511626
50 0.18 0.318 0.46 1.0 78.4 85.0 0.1 0.13287519 0.16216215 0.8372093 0.894186 0.96511626
51 0.1764706 0.31764704 0.47058824 1.0 78.7 85.0 0.09876543 0.1323773 0.16 0.8488372 0.8965117 0.96511626
52 0.17307693 0.31538463 0.46153846 1.0 79.2 86.0 0.09756097 0.13294533 0.17333333 0.8488372 0.8965117 0.96511626
53 0.16981132 0.31698114 0.4716981 1.0 79.4 86.0 0.09756097 0.13259172 0.17333333 0.8488372 0.8988372 0.96511626
54 0.16666667 0.3148148 0.46296296 1.0 79.5 86.0 0.09756097 0.13244188 0.17333333 0.8488372 0.8988372 0.96511626
55 0.18181819 0.31636363 0.45454547 1.0 79.9 86.0 0.09638554 0.13307157 0.17333333 0.8604651 0.90348846 0.95348835
56 0.17857143 0.31785715 0.44642857 1.0 80.2 86.0 0.10714286 0.1350561 0.17333333 0.8488372 0.9011628 0.95348835
57 0.1754386 0.31754386 0.4385965 1.0 80.5 87.0 0.10714286 0.13449115 0.17105263 0.872093 0.905814 0.95348835
58 0.1724138 0.31896552 0.44827586 1.0 80.9 88.0 0.10714286 0.13496725 0.17105263 0.872093 0.905814 0.95348835
59 0.16949153 0.31525424 0.44067797 1.0 81.2 88.0 0.10714286 0.13569927 0.16883117 0.8604651 0.90232563 0.95348835
60 0.18333334 0.315 0.43333334 1.0 81.4 88.0 0.11392405 0.13653824 0.16883117 0.872093 0.90465117 0.95348835
61 0.19672132 0.3147541 0.4262295 1.0 81.7 88.0 0.11904762 0.13722178 0.16666667 0.872093 0.905814 0.95348835
62 0.20967741 0.31612903 0.43548387 1.0 81.9 88.0 0.11904762 0.13689838 0.16666667 0.872093 0.89883727 0.95348835
63 0.20634921 0.31587303 0.42857143 1.0 82.2 88.0 0.11904762 0.1363972 0.16666667 0.872093 0.9011628 0.95348835
64 0.203125 0.3171875 0.4375 1.0 82.4 88.0 0.125 0.13846621 0.17721519 0.872093 0.90232563 0.95348835
65 0.2 0.32153848 0.43076923 1.0 82.5 88.0 0.125 0.13830799 0.17721519 0.872093 0.89883727 0.95348835
66 0.21212122 0.3242424 0.42424244 1.0 82.6 88.0 0.125 0.13808647 0.175 0.872093 0.90232563 0.95348835
67 0.20895523 0.32238808 0.41791046 1.0 83.0 88.0 0.12345679 0.13742594 0.175 0.8604651 0.9000001 0.95348835
68 0.20588236 0.31911764 0.4117647 1.0 83.2 89.0 0.12345679 0.13829109 0.175 0.8604651 0.8930233 0.95348835
69 0.20289855 0.315942 0.4057971 1.0 83.4 89.0 0.12345679 0.13915917 0.175 0.8604651 0.8965117 0.95348835
70 0.2 0.31714287 0.4 1.0 83.5 89.0 0.12345679 0.14018157 0.175 0.8604651 0.8965117 0.95348835
71 0.1971831 0.31830987 0.3943662 1.0 83.7 89.0 0.12345679 0.14108247 0.175 0.8604651 0.89767444 0.95348835
72 0.20833333 0.31666666 0.3888889 1.0 83.9 89.0 0.12345679 0.1419615 0.175 0.8604651 0.89883727 0.95348835
73 0.21917808 0.31917807 0.39726028 1.0 84.2 89.0 0.12345679 0.14256774 0.17283951 0.8604651 0.89767444 0.95348835
74 0.22972973 0.32027024 0.4054054 1.0 84.5 89.0 0.12345679 0.14201137 0.17073171 0.8604651 0.89767444 0.95348835
75 0.22666667 0.32533333 0.41333333 1.0 84.5 89.0 0.12345679 0.14201137 0.17073171 0.8604651 0.89767444 0.95348835
76 0.23684211 0.325 0.42105263 1.0 84.6 89.0 0.12345679 0.14543368 0.17073171 0.8604651 0.9 0.95348835
77 0.23376623 0.32467532 0.42857143 1.0 84.8 90.0 0.12345679 0.14623082 0.17073171 0.8604651 0.90465117 0.95348835
78 0.23076923 0.32435897 0.43589744 1.0 85.0 90.0 0.12345679 0.14587244 0.17073171 0.8604651 0.905814 0.95348835
79 0.24050634 0.3278481 0.43037975 1.0 85.2 90.0 0.12345679 0.14668363 0.17073171 0.8604651 0.905814 0.95348835
80 0.2375 0.32625002 0.4375 1.0 85.2 90.0 0.12345679 0.14668363 0.17073171 0.8488372 0.90930223 0.95348835
81 0.2345679 0.32469136 0.43209878 1.0 85.3 90.0 0.13580246 0.14890724 0.17073171 0.8372093 0.90465117 0.94186044
82 0.23170732 0.32439023 0.4390244 1.0 85.3 90.0 0.13580246 0.14890724 0.17073171 0.8372093 0.9069767 0.94186044
83 0.22891566 0.3253012 0.44578314 1.0 85.5 90.0 0.13580246 0.148548 0.17073171 0.8372093 0.9104651 0.94186044
84 0.22619048 0.32380953 0.44047618 1.0 85.9 90.0 0.13414635 0.14786538 0.17073171 0.8372093 0.9081396 0.94186044
85 0.22352941 0.32352942 0.43529412 1.0 85.9 90.0 0.13414635 0.14786538 0.17073171 0.81395346 0.9093024 0.95348835
86 0.22093023 0.32558137 0.43023255 1.0 86.0 90.0 0.13414635 0.14769559 0.17073171 0.81395346 0.9093024 0.95348835
87 0.21839081 0.32528737 0.43678162 1.0 86.3 91.0 0.13414635 0.14836618 0.18072289 0.8255814 0.9127908 0.96511626
