rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.8883721 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.111688316 0.125 0.8372093 0.8883721 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.111880265 0.14035088 0.8255814 0.88255817 0.94186044
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.110892534 0.13793103 0.81395346 0.8837209 0.94186044
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10169491 0.111273095 0.13559322 0.81395346 0.88139534 0.94186044
6 0.0 0.3 0.5 1.0 58.2 60.0 0.1 0.1133304 0.15 0.81395346 0.8755814 0.94186044
7 0.0 0.3 0.42857143 1.0 58.8 61.0 0.09836066 0.11221186 0.15 0.8255814 0.87674415 0.94186044
8 0.0 0.3 0.5 1.0 59.5 62.0 0.09677419 0.11093205 0.15 0.8255814 0.87325585 0.9302326
9 0.0 0.34444445 0.5555556 1.0 59.8 63.0 0.0952381 0.11041677 0.15 0.8255814 0.87325585 0.9302326
10 0.0 0.34 0.6 1.0 60.5 64.0 0.09375 0.11241382 0.16393442 0.8255814 0.87674415 0.9302326
11 0.09090909 0.34545454 0.54545456 1.0 61.1 64.0 0.09375 0.112963066 0.16129032 0.8255814 0.87674415 0.9302326
12 0.083333336 0.34166664 0.5 1.0 61.7 64.0 0.09375 0.11182703 0.15873016 0.8372093 0.8790698 0.9186047
13 0.07692308 0.3461539 0.53846157 1.0 62.2 65.0 0.09375 0.112495884 0.15873016 0.8372093 0.8744186 0.9186047
14 0.14285715 0.35000002 0.5 1.0 62.8 65.0 0.092307694 0.11303554 0.15625 0.8372093 0.8744186 0.9186047
15 0.13333334 0.34666666 0.53333336 1.0 63.4 66.0 0.09090909 0.11355753 0.15384616 0.8255814 0.8709303 0.9186047
16 0.125 0.3375 0.5 1.0 64.1 67.0 0.104477614 0.11852808 0.16666667 0.8372093 0.8744186 0.9186047
17 0.11764706 0.32941175 0.5294118 1.0 64.6 67.0 0.104477614 0.11920209 0.1641791 0.8372093 0.8767443 0.9186047
18 0.11111111 0.32777777 0.5 1.0 65.1 68.0 0.10294118 0.11823908 0.16176471 0.8372093 0.88139534 0.94186044
19 0.15789473 0.33157897 0.5263158 1.0 65.5 68.0 0.10294118 0.11905688 0.16176471 0.8372093 0.88255817 0.94186044
20 0.15 0.325 0.5 1.0 65.9 69.0 0.10606061 0.12278174 0.1594203 0.8372093 0.88372105 0.94186044
21 0.1904762 0.3238095 0.52380955 1.0 66.4 69.0 0.104477614 0.12188157 0.1594203 0.8372093 0.8755814 0.94186044
22 0.18181819 0.3227273 0.5 1.0 67.1 70.0 0.104477614 0.123566724 0.15714286 0.8255814 0.87325585 0.95348835
23 0.17391305 0.31304348 0.47826087 1.0 68.0 71.0 0.10294118 0.12776037 0.16901408 0.8255814 0.8709303 0.94186044
24 0.16666667 0.31666666 0.5 1.0 68.5 72.0 0.10144927 0.12685817 0.16901408 0.81395346 0.8720931 0.94186044
25 0.16 0.32399997 0.48 1.0 68.9 73.0 0.10144927 0.12748018 0.16666667 0.81395346 0.87558144 0.9302326
26 0.15384616 0.31538466 0.46153846 1.0 69.7 74.0 0.10144927 0.12744434 0.16438356 0.7906977 0.87674415 0.9302326
27 0.14814815 0.3222222 0.4814815 1.0 69.9 74.0 0.10144927 0.1270607 0.16438356 0.7906977 0.872093 0.9302326
28 0.14285715 0.3142857 0.4642857 1.0 70.1 74.0 0.11111111 0.12815855 0.16438356 0.8023256 0.87325585 0.94186044
29 0.13793103 0.31034485 0.4827586 1.0 70.8 75.0 0.10958904 0.12690009 0.16216215 0.8023256 0.8790698 0.94186044
30 0.13333334 0.32 0.5 1.0 71.1 76.0 0.10958904 0.12636247 0.16216215 0.8023256 0.8790698 0.94186044
31 0.16129032 0.32903224 0.48387095 1.0 71.3 76.0 0.10958904 0.12744126 0.16 0.8023256 0.8790698 0.94186044
32 0.15625 0.325 0.46875 1.0 71.9 76.0 0.10810811 0.12925407 0.16 0.8023256 0.87674415 0.94186044
33 0.15151516 0.33030304 0.45454547 1.0 72.1 76.0 0.10810811 0.13029511 0.16 0.7790698 0.87325585 0.94186044
34 0.14705883 0.33529413 0.47058824 1.0 72.4 77.0 0.10666667 0.13112658 0.16 0.7790698 0.87325585 0.94186044
35 0.17142858 0.3342857 0.45714286 1.0 72.7 77.0 0.10526316 0.13201798 0.16 0.7790698 0.872093 0.94186044
36 0.16666667 0.3305556 0.4722222 1.0 73.1 77.0 0.103896104 0.13134196 0.16 0.8023256 0.877907 0.94186044
37 0.1891892 0.32972974 0.45945945 1.0 73.4 78.0 0.102564104 0.13082287 0.16 0.8023256 0.87325585 0.94186044
38 0.18421052 0.3263158 0.4473684 1.0 73.8 78.0 0.102564104 0.13144577 0.17333333 0.8023256 0.872093 0.94186044
39 0.17948718 0.33076924 0.46153846 1.0 74.1 79.0 0.10810811 0.13221298 0.17333333 0.8023256 0.87325585 0.94186044
40 0.175 0.3275 0.475 1.0 74.4 79.0 0.11111111 0.13700663 0.18666667 0.8023256 0.8755814 0.9302326
41 0.17073171 0.33170733 0.46341464 1.0 74.6 80.0 0.11111111 0.13666824 0.18666667 0.8023256 0.87441856 0.94186044
42 0.16666667 0.3261905 0.45238096 1.0 75.0 80.0 0.11111111 0.13591872 0.18666667 0.8023256 0.8802325 0.94186044
43 0.1627907 0.3209302 0.44186047 1.0 75.5 80.0 0.11111111 0.13501468 0.18666667 0.8023256 0.877907 0.94186044
44 0.18181819 0.32272726 0.45454547 1.0 75.9 80.0 0.12 0.13705245 0.2 0.8023256 0.87325585 0.94186044
45 0.17777778 0.3222222 0.44444445 1.0 76.1 81.0 0.12 0.1379397 0.2 0.8023256 0.8709303 0.9186047
46 0.17391305 0.32173914 0.4347826 1.0 76.6 82.0 0.12 0.13827191 0.19736843 0.8023256 0.8709303 0.9302326
47 0.17021276 0.3212766 0.42553192 1.0 76.9 83.0 0.12 0.14043427 0.19736843 0.81395346 0.87674415 0.96511626
48 0.16666667 0.31874996 0.41666666 1.0 77.6 84.0 0.118421055 0.14183523 0.19736843 0.81395346 0.8744186 0.94186044
49 0.1632653 0.3163265 0.40816328 1.0 78.2 85.0 0.116883114 0.14071678 0.19480519 0.81395346 0.87674415 0.94186044
50 0.16 0.31399998 0.4 1.0 78.9 86.0 0.116883114 0.13943674 0.1923077 0.81395346 0.8802325 0.94186044
51 0.15686275 0.3137255 0.4117647 1.0 79.3 86.0 0.115384616 0.14133002 0.1923077 0.81395346 0.877907 0.94186044
52 0.15384616 0.3115385 0.40384614 1.0 79.7 86.0 0.11392405 0.14182755 0.1923077 0.8023256 0.87441856 0.94186044
53 0.1509434 0.31698114 0.41509435 1.0 79.9 86.0 0.11392405 0.14271632 0.18987341 0.8023256 0.872093 0.9302326
54 0.14814815 0.31481478 0.4074074 1.0 80.0 86.0 0.11392405 0.14510192 0.20253165 0.8023256 0.8709303 0.9302326
55 0.14545454 0.31454545 0.4 1.0 80.5 86.0 0.1125 0.14425212 0.20253165 0.8023256 0.87558144 0.9302326
56 0.16071428 0.31785718 0.39285713 1.0 80.8 86.0 0.11111111 0.14489512 0.2 0.81395346 0.8767443 0.9302326
57 0.15789473 0.3210526 0.3859649 1.0 81.0 87.0 0.11111111 0.14452377 0.2 0.81395346 0.8744186 0.9302326
58 0.15517241 0.32068962 0.39655173 1.0 81.4 88.0 0.11111111 0.14380027 0.19753087 0.8255814 0.8720931 0.9302326
59 0.15254237 0.31864408 0.3898305 1.0 81.5 88.0 0.11111111 0.14489205 0.19753087 0.8255814 0.8744186 0.9302326
60 0.15 0.32333332 0.4 1.0 81.8 89.0 0.11111111 0.14554249 0.19753087 0.8255814 0.872093 0.9186047
61 0.16393442 0.32131147 0.39344263 1.0 82.1 89.0 0.11111111 0.14614059 0.19512194 0.8255814 0.8802325 0.94186044
62 0.16129032 0.31935483 0.4032258 1.0 82.4 89.0 0.1097561 0.1481512 0.19512194 0.8255814 0.8709302 0.90697676
