rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313132 0.12727273 0.8372093 0.8848837 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.113474034 0.14285715 0.8372093 0.883721 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.115389034 0.15789473 0.8372093 0.877907 0.94186044
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.1160952 0.1724138 0.8255814 0.8790698 0.94186044
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10169491 0.11463269 0.16949153 0.8255814 0.8802325 0.94186044
6 0.0 0.3 0.5 1.0 58.2 60.0 0.1 0.11491038 0.18333334 0.8255814 0.88139534 0.94186044
7 0.0 0.32857144 0.42857143 1.0 58.7 61.0 0.09836066 0.11572053 0.18333334 0.8255814 0.883721 0.94186044
8 0.0 0.325 0.5 1.0 59.4 62.0 0.09677419 0.11618823 0.18333334 0.8255814 0.8767443 0.9186047
9 0.0 0.36666667 0.5555556 1.0 59.7 63.0 0.0952381 0.11567388 0.18333334 0.8255814 0.8767443 0.9186047
10 0.0 0.36000004 0.6 1.0 60.4 64.0 0.09375 0.11594115 0.18032786 0.8255814 0.8767443 0.9186047
11 0.09090909 0.36363634 0.54545456 1.0 61.0 64.0 0.09375 0.1180706 0.17741935 0.8255814 0.87558144 0.9186047
12 0.083333336 0.35833332 0.5 1.0 61.6 64.0 0.09375 0.116822705 0.17460318 0.8255814 0.87558144 0.90697676
13 0.07692308 0.3615385 0.53846157 1.0 62.1 65.0 0.092307694 0.11925735 0.17460318 0.8255814 0.87325585 0.90697676
14 0.14285715 0.37142858 0.5 1.0 62.6 65.0 0.092307694 0.119883575 0.171875 0.8255814 0.8744186 0.90697676
15 0.2 0.36666667 0.53333336 1.0 63.2 66.0 0.092307694 0.12026806 0.16923077 0.81395346 0.872093 0.9186047
16 0.1875 0.35625 0.5 1.0 64.0 67.0 0.09090909 0.12339343 0.16666667 0.8372093 0.87558144 0.9186047
17 0.1764706 0.3529412 0.5294118 1.0 64.5 67.0 0.09090909 0.12563452 0.1641791 0.8372093 0.87674415 0.9186047
18 0.22222222 0.3611111 0.5 1.0 64.9 68.0 0.08955224 0.12484777 0.16176471 0.8255814 0.8790698 0.9186047
19 0.21052632 0.35789472 0.5263158 1.0 65.4 69.0 0.08955224 0.12375943 0.1594203 0.8255814 0.88023263 0.9186047
20 0.2 0.35500002 0.5 1.0 65.9 70.0 0.09090909 0.12419064 0.15714286 0.8255814 0.883721 0.9302326
21 0.1904762 0.34285712 0.52380955 1.0 66.3 70.0 0.08955224 0.12350402 0.15714286 0.81395346 0.88139546 0.9302326
22 0.18181819 0.3409091 0.5 1.0 66.9 71.0 0.08955224 0.123860404 0.15492958 0.81395346 0.88139534 0.9302326
23 0.17391305 0.33043474 0.47826087 1.0 67.8 72.0 0.0882353 0.12363356 0.16666667 0.81395346 0.88255817 0.9302326
24 0.16666667 0.32916668 0.5 1.0 68.3 72.0 0.08695652 0.12427757 0.16666667 0.8023256 0.883721 0.9302326
25 0.16 0.33200002 0.52 1.0 68.7 73.0 0.08695652 0.123499595 0.16438356 0.8023256 0.8790698 0.9302326
26 0.15384616 0.32307693 0.5 1.0 69.4 74.0 0.08695652 0.1251929 0.16216215 0.8023256 0.8790698 0.9302326
27 0.14814815 0.32962963 0.5185185 1.0 69.6 74.0 0.08695652 0.124745324 0.16216215 0.8023256 0.8790699 0.9302326
28 0.14285715 0.3285714 0.5 1.0 70.0 74.0 0.08571429 0.12540665 0.16216215 0.81395346 0.88023263 0.9302326
29 0.13793103 0.32068968 0.51724136 1.0 70.8 75.0 0.08695652 0.12536791 0.16 0.81395346 0.8802325 0.9302326
30 0.13333334 0.32333332 0.5 1.0 71.1 75.0 0.08571429 0.12633787 0.17142858 0.81395346 0.877907 0.9302326
31 0.16129032 0.32903224 0.48387095 1.0 71.4 76.0 0.08571429 0.1258109 0.17142858 0.8372093 0.8802325 0.9302326
32 0.15625 0.325 0.46875 1.0 71.7 76.0 0.08450704 0.12812957 0.18309858 0.81395346 0.87674415 0.9302326
33 0.15151516 0.32727274 0.4848485 1.0 72.1 76.0 0.083333336 0.12743649 0.18055555 0.81395346 0.8744186 0.9302326
34 0.1764706 0.33235294 0.5 1.0 72.3 76.0 0.08219178 0.12712936 0.18055555 0.8023256 0.8709303 0.9302326
35 0.2 0.3314286 0.4857143 1.0 72.7 77.0 0.08219178 0.12782536 0.18055555 0.8023256 0.8720931 0.9302326
36 0.19444445 0.32777777 0.5 1.0 73.1 78.0 0.08108108 0.12992895 0.1780822 0.8023256 0.86860466 0.9302326
37 0.1891892 0.32972974 0.4864865 1.0 73.4 79.0 0.08108108 0.12931415 0.17567568 0.8023256 0.86860466 0.9302326
38 0.18421052 0.32368425 0.47368422 1.0 73.9 79.0 0.08 0.12989998 0.17567568 0.8023256 0.8697675 0.9186047
39 0.20512821 0.32307693 0.46153846 1.0 74.2 79.0 0.08 0.13075782 0.1891892 0.8023256 0.8697675 0.9186047
40 0.2 0.3225 0.475 1.0 74.4 79.0 0.093333334 0.13163528 0.18666667 0.8023256 0.8697675 0.9186047
41 0.2195122 0.32439023 0.4878049 1.0 74.7 80.0 0.093333334 0.13101742 0.18421052 0.8023256 0.87325585 0.9186047
42 0.21428572 0.32142857 0.47619048 1.0 75.0 80.0 0.093333334 0.13043909 0.18421052 0.8023256 0.8697675 0.9186047
43 0.20930232 0.31627908 0.4651163 1.0 75.5 81.0 0.09210526 0.13210031 0.18181819 0.8023256 0.8651163 0.9186047
44 0.20454545 0.3181818 0.47727272 1.0 75.8 81.0 0.09210526 0.13433488 0.18181819 0.76744187 0.8581395 0.9186047
45 0.22222222 0.32222223 0.46666667 1.0 76.0 81.0 0.09090909 0.13535039 0.18181819 0.7790698 0.85813963 0.9186047
46 0.2173913 0.3195652 0.47826087 1.0 76.6 81.0 0.102564104 0.13556471 0.17948718 0.7906977 0.86046517 0.9186047
47 0.23404256 0.31702128 0.4680851 1.0 77.0 81.0 0.101265825 0.13616934 0.17721519 0.7906977 0.86162794 0.9186047
48 0.22916667 0.3125 0.45833334 1.0 77.7 81.0 0.1 0.1350269 0.17721519 0.8023256 0.8569768 0.9186047
49 0.2244898 0.30816326 0.4489796 1.0 78.4 81.0 0.09876543 0.13514006 0.175 0.81395346 0.855814 0.9186047
50 0.22 0.308 0.46 1.0 78.9 82.0 0.09756097 0.13556954 0.1875 0.81395346 0.855814 0.9186047
51 0.21568628 0.30784315 0.47058824 1.0 79.1 82.0 0.09756097 0.13527322 0.1875 0.8255814 0.85930234 0.9186047
52 0.23076923 0.30769232 0.46153846 1.0 79.6 83.0 0.09756097 0.13444397 0.1875 0.8255814 0.8581395 0.9186047
53 0.2264151 0.30943397 0.4528302 1.0 80.0 83.0 0.09756097 0.13754037 0.1875 0.7906977 0.8476745 0.9186047
54 0.22222222 0.30740744 0.44444445 1.0 80.2 83.0 0.09756097 0.13719617 0.1875 0.7906977 0.84651166 0.9186047
55 0.21818182 0.3090909 0.43636364 1.0 80.7 83.0 0.09756097 0.13627343 0.18518518 0.7906977 0.85348845 0.9186047
56 0.21428572 0.31071427 0.42857143 1.0 81.1 83.0 0.09756097 0.13805327 0.18518518 0.76744187 0.8511628 0.9186047
57 0.21052632 0.30877194 0.42105263 1.0 81.3 83.0 0.09638554 0.13901635 0.18518518 0.76744187 0.85348845 0.9186047
58 0.20689656 0.30689654 0.43103448 1.0 81.6 84.0 0.10714286 0.1409557 0.18518518 0.7906977 0.855814 0.9186047
59 0.20338982 0.30338982 0.42372882 1.0 81.6 84.0 0.10714286 0.1421605 0.19277108 0.7906977 0.85930234 0.9186047
60 0.21666667 0.30333334 0.43333334 1.0 81.9 84.0 0.10714286 0.14285181 0.19277108 0.7906977 0.8569767 0.9186047
61 0.21311475 0.30327868 0.4262295 1.0 82.2 85.0 0.105882354 0.14479327 0.1904762 0.7906977 0.85930234 0.9186047
62 0.22580644 0.30806452 0.43548387 1.0 82.4 85.0 0.105882354 0.14561553 0.1904762 0.7906977 0.8616279 0.9186047
63 0.22222222 0.30793655 0.42857143 1.0 82.9 85.0 0.105882354 0.14477912 0.1904762 0.7906977 0.86162794 0.9186047
64 0.21875 0.3078125 0.4375 1.0 83.1 85.0 0.105882354 0.14561717 0.1904762 0.76744187 0.86046517 0.9186047
65 0.23076923 0.30923074 0.43076923 1.0 83.2 85.0 0.105882354 0.14670117 0.19512194 0.7790698 0.85813963 0.9186047
66 0.22727273 0.3121212 0.42424244 1.0 83.5 85.0 0.105882354 0.14742112 0.19512194 0.76744187 0.85813963 0.9186047
67 0.2238806 0.3119403 0.41791046 1.0 83.7 85.0 0.105882354 0.14824136 0.19512194 0.76744187 0.85348845 0.90697676
68 0.23529412 0.3147059 0.4117647 1.0 83.9 86.0 0.10465116 0.14789934 0.19512194 0.76744187 0.855814 0.90697676
69 0.23188406 0.31304345 0.4057971 1.0 84.1 86.0 0.10465116 0.14866443 0.19277108 0.7790698 0.85348845 0.90697676
70 0.22857143 0.31 0.4 1.0 84.3 86.0 0.10465116 0.14829761 0.19277108 0.7790698 0.855814 0.90697676
71 0.22535211 0.3112676 0.3943662 1.0 84.5 87.0 0.10465116 0.14791164 0.19277108 0.7790698 0.85465115 0.90697676
72 0.22222222 0.31111112 0.4027778 1.0 84.9 87.0 0.10344828 0.14843512 0.19277108 0.7790698 0.85465115 0.90697676
73 0.23287672 0.31369865 0.41095892 1.0 85.2 87.0 0.10344828 0.15144211 0.19277108 0.7790698 0.85465115 0.89534885
74 0.22972973 0.31486487 0.4054054 1.0 85.5 87.0 0.10344828 0.15212078 0.19277108 0.74418604 0.855814 0.89534885
75 0.24 0.31733334 0.4 1.0 85.6 87.0 0.10344828 0.15195662 0.19277108 0.74418604 0.8569768 0.89534885
76 0.23684211 0.31842104 0.40789473 1.0 85.6 87.0 0.10344828 0.15195662 0.19277108 0.74418604 0.8581395 0.89534885
77 0.23376623 0.31558436 0.4025974 1.0 85.7 88.0 0.10227273 0.15183906 0.19277108 0.74418604 0.86046517 0.9302326
78 0.23076923 0.31666666 0.41025642 1.0 85.8 88.0 0.10227273 0.152759 0.1904762 0.74418604 0.85930234 0.9302326
79 0.24050634 0.32025316 0.4177215 1.0 86.0 88.0 0.10227273 0.15238586 0.1904762 0.74418604 0.8569768 0.9302326
80 0.2375 0.32125 0.425 1.0 86.1 88.0 0.10227273 0.15225525 0.1904762 0.74418604 0.8581395 0.9302326
81 0.2345679 0.32345676 0.41975307 1.0 86.3 89.0 0.10227273 0.1530765 0.1904762 0.74418604 0.85348845 0.9302326
82 0.23170732 0.3219512 0.41463414 1.0 86.4 89.0 0.10227273 0.15286753 0.1904762 0.74418604 0.855814 0.9302326
83 0.22891566 0.32289156 0.40963855 1.0 86.7 90.0 0.10227273 0.15347616 0.1882353 0.74418604 0.85813963 0.9302326
84 0.22619048 0.32261905 0.4047619 1.0 87.2 91.0 0.10227273 0.15378518 0.19767442 0.74418604 0.85465115 0.9302326
85 0.22352941 0.32235295 0.4 1.0 87.4 91.0 0.10227273 0.15577054 0.19767442 0.74418604 0.8511628 0.9302326
86 0.23255815 0.322093 0.39534885 1.0 87.7 91.0 0.10989011 0.15750884 0.1954023 0.74418604 0.8523256 0.9302326
87 0.22988506 0.32413796 0.40229884 1.0 87.9 91.0 0.10989011 0.15711802 0.1954023 0.75581396 0.8593024 0.9302326
88 0.22727273 0.32727274 0.4090909 1.0 88.0 91.0 0.10989011 0.15689597 0.19318181 0.7790698 0.8651163 0.9302326
89 0.23595506 0.32808986 0.40449437 1.0 88.1 91.0 0.10989011 0.15787913 0.20454545 0.7790698 0.8639535 0.9302326
90 0.23333333 0.3277778 0.4 1.0 88.2 91.0 0.10989011 0.15767483 0.20454545 0.7790698 0.866279 0.90697676
91 0.24175824 0.32747254 0.3956044 1.0 88.5 91.0 0.10989011 0.15950336 0.20454545 0.7790698 0.8627907 0.89534885
92 0.23913044 0.3271739 0.39130434 1.0 88.5 91.0 0.11235955 0.16175169 0.20454545 0.7790698 0.8662791 0.9186047
93 0.23655914 0.33010754 0.38709676 1.0 88.7 92.0 0.11235955 0.16147049 0.20454545 0.8023256 0.8744186 0.94186044
94 0.24468085 0.33404255 0.39361703 1.0 88.7 92.0 0.11235955 0.16147049 0.20454545 0.8023256 0.8720931 0.94186044
95 0.24210526 0.3357895 0.38947368 1.0 88.7 92.0 0.11235955 0.16147049 0.20454545 0.8023256 0.8709303 0.94186044
96 0.23958333 0.33437496 0.38541666 1.0 88.9 92.0 0.11235955 0.16108245 0.20454545 0.8023256 0.8709303 0.94186044
97 0.2371134 0.33402058 0.39175257 1.0 89.0 92.0 0.11956522 0.16204931 0.20454545 0.8023256 0.8744186 0.94186044
98 0.23469388 0.3367347 0.3877551 1.0 89.0 92.0 0.11956522 0.16204931 0.20454545 0.8023256 0.8744186 0.94186044
99 0.23232323 0.33838385 0.3939394 1.0 89.1 92.0 0.11956522 0.16294819 0.20454545 0.8023256 0.8755814 0.94186044
100 0.23 0.33599997 0.39 1.0 89.4 92.0 0.11956522 0.16230182 0.20224719 0.8023256 0.8802325 0.94186044
101 0.22772278 0.3356436 0.3960396 1.0 89.4 92.0 0.123595506 0.16338879 0.20224719 0.8023256 0.8779071 0.9186047
102 0.23529412 0.33627453 0.39215687 1.0 89.7 92.0 0.12222222 0.16283192 0.20224719 0.81395346 0.88139546 0.95348835
103 0.24271844 0.3359223 0.3883495 1.0 89.7 92.0 0.12222222 0.16394302 0.20224719 0.81395346 0.8825582 0.95348835
104 0.25 0.33750004 0.3846154 1.0 89.8 92.0 0.12222222 0.16593327 0.20879121 0.81395346 0.8860466 0.95348835
105 0.25714287 0.33809525 0.3904762 1.0 89.9 92.0 0.12222222 0.1657162 0.20879121 0.81395346 0.88488376 0.95348835
106 0.26415095 0.33773583 0.3962264 1.0 90.2 92.0 0.12087912 0.16521646 0.20879121 0.81395346 0.88372105 0.94186044
107 0.26168224 0.3392523 0.40186915 1.0 90.4 93.0 0.12087912 0.16486862 0.20879121 0.81395346 0.88372105 0.94186044
108 0.25925925 0.33888888 0.39814815 1.0 90.6 93.0 0.12903225 0.1667041 0.20879121 0.8255814 0.88953495 0.94186044
