rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.88720924 0.95348835
100 0.25 0.35199997 0.47 1.0 87.1 93.0 0.11627907 0.16188797 0.20454545 0.75581396 0.85348845 0.89534885
200 0.325 0.41349998 0.495 1.0 92.0 95.0 0.15384616 0.22609162 0.27173913 0.7790698 0.84534895 0.90697676
300 0.40333334 0.46499997 0.53 1.0 92.9 98.0 0.20430107 0.28146508 0.33707866 0.76744187 0.84651166 0.9302326
400 0.4775 0.50675 0.5625 1.0 91.8 97.0 0.26595744 0.32844394 0.37777779 0.73255813 0.8 0.8604651
500 0.5 0.539 0.576 1.0 88.7 95.0 0.33333334 0.3712946 0.41666666 0.7209302 0.7930233 0.88372093
600 0.54 0.5675 0.5966667 1.0 86.8 91.0 0.36263737 0.40594092 0.44578314 0.68604654 0.7813953 0.88372093
700 0.56714284 0.5911428 0.62285715 1.0 84.0 89.0 0.40449437 0.43963033 0.4814815 0.68604654 0.74883723 0.8372093
800 0.58875 0.614125 0.6425 1.0 81.4 85.0 0.43589744 0.4672978 0.5131579 0.7093023 0.73604655 0.7790698
900 0.6077778 0.6348889 0.66555554 1.0 79.0 83.0 0.45333335 0.48891455 0.53333336 0.68604654 0.7290697 0.76744187
1000 0.624 0.6547 0.686 1.0 76.5 81.0 0.49382716 0.51664126 0.56164384 0.68604654 0.7232558 0.76744187
1100 0.6454545 0.6737273 0.7054545 1.0 73.9 80.0 0.5 0.5501934 0.5857143 0.6744186 0.7046512 0.73255813
1200 0.665 0.6916667 0.7225 1.0 71.8 77.0 0.53246754 0.5774612 0.61764705 0.6744186 0.7069768 0.74418604
1300 0.68153846 0.70892304 0.7376923 1.0 70.6 76.0 0.5675676 0.5925871 0.6268657 0.68604654 0.7093023 0.74418604
1400 0.7 0.7239286 0.75214285 1.0 68.8 76.0 0.5753425 0.60978293 0.640625 0.627907 0.69767433 0.7209302
1500 0.7133333 0.73833334 0.766 1.0 67.4 74.0 0.5945946 0.6238078 0.6507937 0.60465115 0.6906976 0.73255813
1600 0.7225 0.7504375 0.776875 1.0 65.8 73.0 0.60273975 0.6391834 0.6721311 0.60465115 0.69069767 0.73255813
1700 0.73294115 0.7621177 0.78764707 1.0 65.0 71.0 0.6142857 0.6470189 0.68333334 0.60465115 0.68372095 0.73255813
1800 0.7455556 0.77372223 0.79888886 1.0 64.5 70.0 0.6142857 0.6519542 0.68333334 0.60465115 0.6848837 0.74418604
1900 0.75578946 0.78405267 0.8089474 1.0 63.7 69.0 0.63235295 0.6616136 0.69491524 0.60465115 0.6802326 0.7209302
2000 0.766 0.794 0.8185 1.0 63.4 68.0 0.64179105 0.6662035 0.69491524 0.60465115 0.67906976 0.7209302
2100 0.7747619 0.8026191 0.82714283 1.0 62.5 67.0 0.64179105 0.67587566 0.70689654 0.60465115 0.6825581 0.7209302
