rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.88953483 0.95348835
100 0.25 0.33900002 0.48 1.0 88.3 94.0 0.13793103 0.16417333 0.20224719 0.8372093 0.8662791 0.89534885
200 0.305 0.4105 0.505 1.0 95.6 100.0 0.14893617 0.21557073 0.26881722 0.8255814 0.8697675 0.9186047
300 0.35333332 0.442 0.51666665 1.0 98.9 101.0 0.23762377 0.27114505 0.31 0.8488372 0.89069766 0.94186044
400 0.415 0.47925 0.535 1.0 100.1 102.0 0.27272728 0.31657508 0.36633664 0.8023256 0.8569768 0.9186047
500 0.458 0.50680006 0.544 1.0 100.6 102.0 0.27 0.34477812 0.38613862 0.7906977 0.87674415 0.96511626
600 0.5 0.5341667 0.56 1.0 101.0 102.0 0.31 0.37216386 0.4117647 0.7790698 0.8709302 0.9302326
700 0.52 0.5544286 0.58 1.0 101.0 102.0 0.3529412 0.393027 0.44117647 0.8023256 0.86860466 0.9186047
800 0.53625 0.573125 0.6 1.0 101.1 102.0 0.3627451 0.40359178 0.44554454 0.8023256 0.87325585 0.94186044
900 0.56222224 0.59199995 0.6166667 1.0 101.6 102.0 0.37254903 0.41638517 0.45544556 0.81395346 0.86744195 0.94186044
1000 0.581 0.6072 0.633 1.0 101.6 102.0 0.39215687 0.4321588 0.47524753 0.8255814 0.8627907 0.9186047
1100 0.5954546 0.6198182 0.64454544 1.0 101.7 102.0 0.4059406 0.4404873 0.5 0.8023256 0.8523256 0.89534885
1200 0.6025 0.63091666 0.66083336 1.0 101.8 102.0 0.4059406 0.44693264 0.5 0.7790698 0.8500001 0.9186047
1300 0.6176923 0.6435385 0.6730769 1.0 101.8 102.0 0.42156863 0.45479518 0.5 0.76744187 0.8534883 0.9186047
1400 0.63285714 0.65321434 0.68357146 1.0 101.8 102.0 0.42574257 0.4587168 0.50980395 0.74418604 0.8360465 0.88372093
1500 0.638 0.6640667 0.696 1.0 101.8 102.0 0.42574257 0.46167737 0.50980395 0.76744187 0.85 0.90697676
1600 0.64125 0.67231256 0.708125 1.0 101.8 102.0 0.43137255 0.46364784 0.50980395 0.75581396 0.83720934 0.89534885
1700 0.64705884 0.67835295 0.7135294 1.0 101.8 102.0 0.43137255 0.46462822 0.50980395 0.7906977 0.8430233 0.89534885
1800 0.6511111 0.6842778 0.7188889 1.0 101.8 102.0 0.43137255 0.46658903 0.50980395 0.7906977 0.84534883 0.89534885
1900 0.6552632 0.6905263 0.7242105 1.0 101.8 102.0 0.43137255 0.46658903 0.50980395 0.7906977 0.84651166 0.90697676
2000 0.6575 0.69570005 0.7325 1.0 101.8 102.0 0.43137255 0.46658903 0.50980395 0.7790698 0.8348838 0.872093
2100 0.66380954 0.7001904 0.7361905 1.0 101.8 102.0 0.43137255 0.46658903 0.50980395 0.8023256 0.8372094 0.872093
2200 0.6709091 0.70504546 0.7381818 1.0 101.7 102.0 0.43137255 0.46803537 0.50980395 0.8023256 0.8325583 0.872093
2300 0.67391306 0.7099565 0.7430435 1.0 101.7 102.0 0.43137255 0.46803537 0.50980395 0.7906977 0.8360465 0.88372093
2400 0.67583334 0.71379167 0.74666667 1.0 101.7 102.0 0.43137255 0.46803537 0.50980395 0.8023256 0.8418605 0.88372093
2500 0.6824 0.71779996 0.7488 1.0 101.7 102.0 0.43137255 0.46803537 0.50980395 0.8023256 0.83720934 0.88372093
2600 0.68538463 0.7216538 0.75153846 1.0 101.7 102.0 0.44117647 0.47000584 0.50980395 0.75581396 0.82790697 0.872093
2700 0.68740743 0.726 0.75592595 1.0 101.7 102.0 0.44117647 0.47000584 0.50980395 0.7790698 0.82558143 0.872093
2800 0.69142854 0.7296071 0.76107144 1.0 101.7 102.0 0.44117647 0.47098622 0.50980395 0.7790698 0.82558143 0.872093
2900 0.69827586 0.7324828 0.7610345 1.0 101.7 102.0 0.44117647 0.47098622 0.50980395 0.76744187 0.83139545 0.89534885
3000 0.6996667 0.7348666 0.764 1.0 101.7 102.0 0.44117647 0.4719666 0.50980395 0.74418604 0.8313953 0.89534885
3100 0.7035484 0.7376129 0.76580644 1.0 101.7 102.0 0.44117647 0.4719666 0.50980395 0.76744187 0.8383721 0.89534885
3200 0.709375 0.7396562 0.7678125 1.0 101.7 102.0 0.44117647 0.4719666 0.50980395 0.7906977 0.8348837 0.89534885
3300 0.7124242 0.7416364 0.7690909 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8383721 0.89534885
3400 0.71588236 0.7434412 0.7714706 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.74418604 0.83255816 0.88372093
3500 0.71742857 0.7448286 0.77085716 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8348838 0.88372093
3600 0.7197222 0.7471944 0.7736111 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8220931 0.872093
3700 0.7218919 0.74927026 0.77486485 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8290698 0.8604651
3800 0.7252632 0.75107896 0.775 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.822093 0.8604651
3900 0.72897434 0.7526154 0.7751282 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.8023256 0.8302326 0.872093
4000 0.732 0.753525 0.774 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8302326 0.8604651
4100 0.73390245 0.7549024 0.7739024 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8290698 0.88372093
4200 0.73642856 0.7572857 0.77619046 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.8023256 0.83720934 0.88372093
4300 0.73976743 0.7590931 0.77790695 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8302326 0.88372093
4400 0.74 0.7598409 0.77681816 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8348838 0.872093
4500 0.7415556 0.7612444 0.7777778 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.82906973 0.88372093
4600 0.74108696 0.7623043 0.7782609 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.8302325 0.88372093
4700 0.7431915 0.76395744 0.7793617 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.833721 0.872093
4800 0.74291664 0.76495826 0.7808333 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.8313953 0.8604651
4900 0.7442857 0.7659999 0.7834694 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.84069765 0.88372093
5000 0.7468 0.76689994 0.7846 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8395349 0.872093
5100 0.7470588 0.76747054 0.78568625 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8395349 0.872093
5200 0.74846154 0.7685962 0.78807694 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8360465 0.89534885
5300 0.7490566 0.7696603 0.78943396 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8302326 0.8604651
5400 0.7505556 0.7706667 0.7901852 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8383721 0.88372093
5500 0.7518182 0.7715091 0.7909091 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8360465 0.88372093
5600 0.7517857 0.77225006 0.79071426 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.83139545 0.89534885
5700 0.75333333 0.772807 0.79087716 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8290698 0.872093
5800 0.75431037 0.77360344 0.7901724 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.8023256 0.8348838 0.88372093
5900 0.7542373 0.77416945 0.790339 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.83953494 0.872093
6000 0.75516665 0.77508336 0.7923333 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8360465 0.88372093
6100 0.7552459 0.77562296 0.7921311 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8360465 0.88372093
6200 0.75564516 0.77622575 0.7916129 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8395349 0.89534885
6300 0.75714284 0.7765397 0.7923809 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8418605 0.9186047
6400 0.75828123 0.7768281 0.7925 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8430233 0.89534885
6500 0.7596923 0.77689236 0.79138464 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8360465 0.88372093
6600 0.760303 0.7772727 0.7916667 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.8023256 0.83720934 0.88372093
6700 0.7610448 0.7778357 0.791791 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.8348837 0.872093
6800 0.7613235 0.778397 0.7925 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.84069765 0.88372093
6900 0.762029 0.7789855 0.7931884 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8430233 0.88372093
7000 0.76285714 0.7793857 0.7945714 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8383721 0.88372093
7100 0.7630986 0.7798169 0.79422534 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8360465 0.872093
7200 0.7648611 0.7802361 0.7945833 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8290698 0.8604651
7300 0.7653425 0.7806438 0.7947945 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8418605 0.90697676
7400 0.76635134 0.78097296 0.7947297 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.85 0.90697676
7500 0.7669333 0.78128 0.7953333 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.74418604 0.84651166 0.89534885
7600 0.76644737 0.7815789 0.795 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8476745 0.89534885
7700 0.767013 0.7818831 0.7950649 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7906977 0.8418605 0.90697676
7800 0.7683333 0.78241026 0.79525644 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.8023256 0.844186 0.90697676
7900 0.76962024 0.7828101 0.7948101 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.84069765 0.88372093
8000 0.770375 0.7830625 0.795125 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.84883726 0.88372093
8100 0.77037036 0.7833581 0.79555553 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.76744187 0.8395349 0.88372093
8200 0.77012193 0.78357315 0.7962195 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8360465 0.90697676
8300 0.77180725 0.7841326 0.7963855 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.75581396 0.8302326 0.88372093
8400 0.7722619 0.7844523 0.79690474 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8418605 0.872093
8500 0.77270585 0.7851529 0.7975294 1.0 101.7 102.0 0.44554454 0.47294697 0.50980395 0.7790698 0.8372094 0.872093
8600 0.77267444 0.78555816 0.7976744 1.0 101.6 102.0 0.44554454 0.47343236 0.50980395 0.75581396 0.8418605 0.88372093
8700 0.772069 0.7855173 0.7983908 1.0 101.6 102.0 0.44554454 0.47343236 0.50980395 0.7906977 0.84534895 0.89534885
8800 0.7722727 0.7855909 0.79806817 1.0 101.6 102.0 0.44554454 0.47343236 0.50980395 0.76744187 0.8395349 0.88372093
8900 0.7729213 0.78593254 0.7986517 1.0 101.6 102.0 0.44554454 0.47343236 0.50980395 0.76744187 0.8430233 0.88372093
9000 0.7733333 0.78614444 0.79855555 1.0 101.5 102.0 0.45 0.47387785 0.50980395 0.75581396 0.8476745 0.88372093
