rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8883721 0.95348835
100 0.26 0.388 0.47 1.0 89.1 93.0 0.19318181 0.21767545 0.25287357 0.76744187 0.86162794 0.9186047
200 0.36 0.45699996 0.52 1.0 95.9 99.0 0.25263157 0.29813227 0.32258064 0.7790698 0.86046517 0.9302326
300 0.45333335 0.5196667 0.56 1.0 98.2 101.0 0.3131313 0.34020665 0.3617021 0.75581396 0.8639535 0.94186044
400 0.52 0.56125 0.6075 1.0 99.1 101.0 0.34375 0.37027913 0.3960396 0.76744187 0.86860466 0.96511626
500 0.538 0.58900005 0.642 1.0 100.0 102.0 0.3529412 0.38699263 0.42424244 0.8255814 0.86162794 0.89534885
600 0.56166667 0.6131667 0.665 1.0 100.6 102.0 0.38 0.40850854 0.44554454 0.8023256 0.8418605 0.872093
700 0.58428574 0.63185716 0.6857143 1.0 100.8 102.0 0.39 0.42251024 0.4509804 0.76744187 0.8441861 0.88372093
800 0.60875 0.6483749 0.69375 1.0 101.1 102.0 0.4040404 0.43216294 0.47058824 0.76744187 0.8383721 0.89534885
900 0.6244444 0.66077775 0.6988889 1.0 101.3 102.0 0.41414142 0.44120058 0.48039216 0.75581396 0.8383721 0.89534885
1000 0.637 0.6722 0.712 1.0 101.3 102.0 0.41414142 0.44316134 0.48039216 0.74418604 0.8151163 0.872093
1100 0.6554545 0.6840909 0.7218182 1.0 101.3 102.0 0.41414142 0.44611225 0.48039216 0.76744187 0.8302325 0.88372093
1200 0.665 0.69408333 0.7316667 1.0 101.3 102.0 0.41414142 0.44906312 0.48039216 0.7790698 0.822093 0.88372093
1300 0.6715385 0.70269233 0.73923075 1.0 101.3 102.0 0.41414142 0.4510336 0.48039216 0.74418604 0.8197675 0.88372093
1400 0.6785714 0.70885724 0.7407143 1.0 101.3 102.0 0.42424244 0.4549946 0.48039216 0.7209302 0.8069767 0.8604651
1500 0.6806667 0.71613336 0.742 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.73255813 0.81860465 0.89534885
1600 0.684375 0.72174996 0.744375 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.73255813 0.82790697 0.90697676
1700 0.6870588 0.7252941 0.7488235 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.73255813 0.8209302 0.88372093
1800 0.6938889 0.731 0.75222224 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.73255813 0.8139535 0.8604651
1900 0.7005263 0.73526317 0.75631577 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.73255813 0.8139535 0.872093
2000 0.707 0.7385 0.756 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.74418604 0.81976736 0.88372093
2100 0.7114286 0.7417143 0.76 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.74418604 0.82325584 0.872093
2200 0.7181818 0.7445909 0.765 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.74418604 0.82325584 0.88372093
2300 0.7204348 0.7475652 0.76869565 1.0 101.3 102.0 0.42424244 0.45597497 0.48039216 0.75581396 0.8313953 0.88372093
2400 0.7183333 0.74912494 0.76916665 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.75581396 0.84069765 0.88372093
2500 0.724 0.75156 0.7704 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.7790698 0.8383721 0.88372093
2600 0.725 0.7545384 0.77115387 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.76744187 0.8290698 0.872093
2700 0.7262963 0.75677776 0.77518517 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.7790698 0.84651166 0.89534885
2800 0.7292857 0.75864285 0.7746429 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.75581396 0.8360465 0.88372093
2900 0.73551726 0.76051724 0.7762069 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.76744187 0.8360465 0.88372093
3000 0.73766667 0.76196665 0.77566665 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.76744187 0.82558143 0.872093
3100 0.73903227 0.76303226 0.7774193 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.76744187 0.8302326 0.88372093
3200 0.7428125 0.7639063 0.7784375 1.0 101.2 102.0 0.42424244 0.4564312 0.48039216 0.7906977 0.833721 0.872093
