rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.88953483 0.95348835
100 0.31 0.377 0.44 1.0 88.4 92.0 0.18478261 0.22284691 0.25274727 0.81395346 0.85930234 0.9302326
200 0.385 0.45299998 0.52 1.0 95.9 98.0 0.22680412 0.29704738 0.3617021 0.74418604 0.83953494 0.9302326
300 0.44333333 0.50766665 0.56666666 1.0 98.5 100.0 0.28282827 0.34419316 0.3939394 0.8023256 0.8476745 0.9186047
400 0.5025 0.55125004 0.6025 1.0 99.4 101.0 0.33 0.37726426 0.42424244 0.81395346 0.8511628 0.89534885
500 0.53 0.5776 0.622 1.0 99.8 102.0 0.36 0.39479676 0.44444445 0.7790698 0.84069765 0.9302326
600 0.56166667 0.60333335 0.63666666 1.0 100.1 102.0 0.38 0.41357678 0.45 0.8023256 0.8383721 0.89534885
700 0.6 0.6248571 0.6514286 1.0 100.5 102.0 0.38 0.42583013 0.44554454 0.7790698 0.8418605 0.9186047
800 0.6175 0.6395 0.66625 1.0 101.1 102.0 0.41584158 0.4372042 0.46534654 0.7790698 0.8418605 0.89534885
900 0.6244444 0.6522223 0.6766667 1.0 101.3 102.0 0.42156863 0.44128126 0.47058824 0.7906977 0.8348838 0.89534885
1000 0.643 0.6645 0.692 1.0 101.4 102.0 0.42574257 0.44775614 0.47058824 0.76744187 0.82790697 0.89534885
1100 0.6481818 0.6754545 0.7 1.0 101.5 102.0 0.43137255 0.4502996 0.47058824 0.8023256 0.833721 0.88372093
1200 0.6575 0.68450004 0.7075 1.0 101.6 102.0 0.43137255 0.45280394 0.47058824 0.7790698 0.83953494 0.90697676
1300 0.66615385 0.6938461 0.71153843 1.0 101.6 102.0 0.43137255 0.45378432 0.47058824 0.7790698 0.8348838 0.9186047
1400 0.67642856 0.7001428 0.7228571 1.0 101.6 102.0 0.44117647 0.45772547 0.48039216 0.7790698 0.8302326 0.872093
1500 0.684 0.7087334 0.732 1.0 101.7 102.0 0.44117647 0.45923066 0.48039216 0.7906977 0.8313953 0.89534885
