rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8883721 0.95348835
100 0.3 0.387 0.47 1.0 89.4 93.0 0.19101124 0.23506084 0.27906978 0.7906977 0.86046517 0.95348835
200 0.375 0.46649998 0.535 1.0 95.5 98.0 0.23404256 0.30796772 0.34736842 0.7790698 0.8662791 0.90697676
300 0.44666666 0.5173333 0.58 1.0 97.6 100.0 0.29591838 0.34446606 0.37894738 0.8023256 0.8651163 0.90697676
400 0.4975 0.5555 0.5975 1.0 98.6 100.0 0.34 0.38351533 0.4387755 0.7790698 0.85465115 0.9186047
500 0.532 0.58979994 0.64 1.0 99.1 101.0 0.35643566 0.3977409 0.45454547 0.76744187 0.8523256 0.9186047
600 0.55833334 0.61516666 0.6566667 1.0 99.7 101.0 0.37 0.41134053 0.45 0.81395346 0.8534883 0.90697676
700 0.5857143 0.63385713 0.6742857 1.0 100.6 102.0 0.37623763 0.42853984 0.46464646 0.7906977 0.8511628 0.89534885
800 0.61125 0.65012497 0.68125 1.0 101.0 102.0 0.4059406 0.44060165 0.46534654 0.7790698 0.84069777 0.88372093
900 0.63555557 0.6633334 0.69555557 1.0 101.2 102.0 0.41584158 0.44659075 0.47058824 0.76744187 0.8348837 0.88372093
1000 0.649 0.67550004 0.704 1.0 101.3 102.0 0.41584158 0.45014387 0.47058824 0.8023256 0.8383721 0.872093
1100 0.65727276 0.68490905 0.7090909 1.0 101.3 102.0 0.42156863 0.45311418 0.47058824 0.7906977 0.8360465 0.88372093
1200 0.66583335 0.69366664 0.7225 1.0 101.4 102.0 0.42156863 0.45662898 0.47524753 0.7906977 0.84069765 0.89534885
1300 0.67538464 0.70307696 0.7323077 1.0 101.4 102.0 0.42156863 0.45958963 0.48514852 0.7906977 0.83372086 0.88372093
1400 0.6857143 0.7095 0.73285717 1.0 101.4 102.0 0.43137255 0.46155038 0.48514852 0.75581396 0.83255816 0.89534885
1500 0.6933333 0.71706665 0.74333334 1.0 101.5 102.0 0.43137255 0.46502623 0.48514852 0.76744187 0.83720934 0.88372093
1600 0.70125 0.72118753 0.740625 1.0 101.5 102.0 0.43137255 0.46502623 0.48514852 0.74418604 0.83837205 0.9302326
