rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8918605 0.95348835
100 0.33 0.41099995 0.48 1.0 49.3 51.0 0.15686275 0.18246844 0.2 0.41860464 0.55116284 0.6511628
200 0.465 0.5224999 0.585 1.0 40.1 45.0 0.22222222 0.26759678 0.325 0.29069766 0.37209302 0.5232558
300 0.56333333 0.5966667 0.64 1.0 34.6 39.0 0.25641027 0.3425879 0.4 0.20930232 0.30116278 0.44186047
400 0.6175 0.64925003 0.6825 1.0 28.9 35.0 0.31428573 0.42802316 0.51724136 0.18604651 0.25348836 0.3255814
500 0.662 0.6896001 0.714 1.0 23.9 30.0 0.36666667 0.5458755 0.71428573 0.15116279 0.19651161 0.26744187
600 0.695 0.7281667 0.7583333 1.0 21.6 27.0 0.44444445 0.60704696 0.75 0.13953489 0.18139532 0.24418604
700 0.7214286 0.75714284 0.78 1.0 19.9 23.0 0.5652174 0.67116326 0.8 0.11627907 0.1744186 0.25581396
800 0.75125 0.78 0.79625 1.0 18.3 22.0 0.6363636 0.7354459 1.0 0.10465116 0.16860464 0.23255815
900 0.77666664 0.8002222 0.8088889 1.0 17.4 22.0 0.6363636 0.7728797 1.0 0.10465116 0.16511628 0.23255815
1000 0.799 0.81630003 0.826 1.0 16.3 21.0 0.6666667 0.8270947 1.0 0.10465116 0.15465117 0.20930232
1100 0.8127273 0.8307273 0.8381818 1.0 15.5 19.0 0.7368421 0.86905193 1.0 0.10465116 0.15 0.19767442
1200 0.8283333 0.8435 0.85083336 1.0 15.2 19.0 0.7368421 0.89155185 1.0 0.10465116 0.14534886 0.18604651
1300 0.84076923 0.85469234 0.86230767 1.0 15.0 19.0 0.7368421 0.9103509 1.0 0.11627907 0.14534886 0.1744186
1400 0.85071427 0.8641428 0.87214285 1.0 14.3 16.0 0.8666667 0.9502405 1.0 0.10465116 0.14418606 0.18604651
1500 0.86 0.8730667 0.8806667 1.0 14.2 16.0 0.8666667 0.95738345 1.0 0.10465116 0.14302328 0.18604651
1600 0.866875 0.88062495 0.888125 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
1700 0.8747059 0.88764703 0.8947059 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
1800 0.88166666 0.89388883 0.90055555 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
1900 0.88789475 0.89947367 0.9057895 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2000 0.8935 0.9044999 0.9105 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2100 0.89857143 0.9090476 0.9147619 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2200 0.9031818 0.9131818 0.9186364 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2300 0.9073913 0.91695654 0.9221739 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2400 0.91125 0.92041665 0.92541665 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2500 0.9148 0.9236 0.9284 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2600 0.91807693 0.92653835 0.93115383 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2700 0.9211111 0.9292593 0.9337037 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2800 0.92392856 0.93178576 0.93607146 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
2900 0.9265517 0.93413794 0.9382759 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3000 0.929 0.9363333 0.9403333 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3100 0.9312903 0.9383871 0.94225806 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3200 0.9334375 0.94031256 0.9440625 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3300 0.93545455 0.9421212 0.94575757 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3400 0.93735296 0.9438235 0.94735295 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3500 0.9391429 0.94542855 0.9488571 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3600 0.94083333 0.9469444 0.9502778 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3700 0.9424324 0.9483784 0.9516216 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3800 0.9439474 0.9497369 0.95289475 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
3900 0.9453846 0.95102566 0.9541026 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4000 0.94675 0.95225 0.95525 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4100 0.9480488 0.9534146 0.95634145 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4200 0.9492857 0.95452374 0.95738095 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4300 0.95046514 0.95558137 0.9583721 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4400 0.9515909 0.95659095 0.95931816 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4500 0.95266664 0.9575556 0.96022224 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4600 0.95369565 0.95847815 0.9610869 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4700 0.95468086 0.9593617 0.9619149 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4800 0.955625 0.9602083 0.96270835 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
4900 0.95653063 0.96102047 0.9634694 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
5000 0.9574 0.9618 0.9642 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
5100 0.9582353 0.9625489 0.964902 1.0 13.9 16.0 0.9230769 0.97849816 1.0 0.10465116 0.14186049 0.1744186
