rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.89534885 0.95348835
100 0.29 0.385 0.43 1.0 54.0 54.0 0.14814815 0.19074073 0.22222222 0.4883721 0.5813953 0.6627907
200 0.395 0.475 0.53 1.0 54.0 54.0 0.2037037 0.24814813 0.2962963 0.41860464 0.50813955 0.61627907
300 0.46 0.52166665 0.56333333 1.0 54.0 54.0 0.2037037 0.28148147 0.35185185 0.45348838 0.49186048 0.5697674
400 0.5275 0.54899997 0.57 1.0 54.0 54.0 0.25925925 0.31111112 0.37037036 0.39534885 0.45930234 0.54651165
500 0.528 0.5676001 0.594 1.0 54.0 54.0 0.25925925 0.33703706 0.4074074 0.3255814 0.46162787 0.5813953
600 0.55833334 0.5891667 0.6166667 1.0 54.0 54.0 0.2962963 0.3685185 0.44444445 0.37209302 0.45 0.5813953
700 0.5757143 0.603 0.6342857 1.0 54.0 54.0 0.3148148 0.3888889 0.46296296 0.37209302 0.46046513 0.55813956
800 0.58375 0.61625 0.64375 1.0 54.0 54.0 0.3148148 0.39814812 0.4814815 0.3255814 0.45232558 0.627907
900 0.5922222 0.6281111 0.6566667 1.0 54.0 54.0 0.33333334 0.4259259 0.5 0.3372093 0.44418603 0.54651165
1000 0.603 0.64009994 0.674 1.0 54.0 54.0 0.33333334 0.43888894 0.5185185 0.38372093 0.45813957 0.5697674
1100 0.62 0.6521818 0.6872727 1.0 54.0 54.0 0.37037036 0.45925927 0.5185185 0.3488372 0.45581397 0.54651165
1200 0.63 0.66108334 0.7 1.0 54.0 54.0 0.3888889 0.4685185 0.537037 0.3488372 0.45 0.53488374
1300 0.63461536 0.66861546 0.71076924 1.0 54.0 54.0 0.3888889 0.47592592 0.537037 0.3255814 0.43023258 0.5116279
1400 0.64285713 0.67800003 0.7185714 1.0 54.0 54.0 0.4074074 0.49259257 0.5555556 0.3604651 0.43255815 0.5232558
1500 0.64933336 0.6873334 0.7273333 1.0 54.0 54.0 0.4074074 0.49444443 0.5555556 0.3139535 0.42558137 0.53488374
1600 0.65625 0.6941875 0.739375 1.0 54.0 54.0 0.42592594 0.50370365 0.5925926 0.3488372 0.44302326 0.53488374
1700 0.65882355 0.7000589 0.7429412 1.0 54.0 54.0 0.42592594 0.50370365 0.5925926 0.3255814 0.44302326 0.5232558
1800 0.66444445 0.7053333 0.75 1.0 54.0 54.0 0.44444445 0.512963 0.5925926 0.3488372 0.43837208 0.55813956
1900 0.66894734 0.711421 0.75631577 1.0 54.0 54.0 0.44444445 0.51481485 0.5925926 0.3604651 0.45348835 0.54651165
2000 0.675 0.7167501 0.763 1.0 54.0 54.0 0.44444445 0.51851857 0.5925926 0.3255814 0.44069773 0.55813956
