rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.89069766 0.95348835
100 0.29 0.39000002 0.46 1.0 91.7 98.0 0.19148937 0.22261319 0.2580645 0.8023256 0.8488372 0.94186044
200 0.375 0.46500006 0.535 1.0 96.7 103.0 0.28 0.32275754 0.36734694 0.8023256 0.8441861 0.89534885
300 0.44666666 0.53066665 0.6 1.0 98.8 108.0 0.32692307 0.3814701 0.40860215 0.76744187 0.8290698 0.872093
400 0.53 0.58225 0.63 1.0 96.5 104.0 0.37623763 0.43721944 0.4945055 0.7906977 0.8197675 0.8604651
500 0.58 0.62359995 0.67 1.0 95.6 102.0 0.41 0.46338314 0.516129 0.76744187 0.8197675 0.8488372
600 0.615 0.6513334 0.6983333 1.0 93.2 100.0 0.4574468 0.49222508 0.53333336 0.75581396 0.82325584 0.88372093
700 0.64285713 0.6765714 0.7228571 1.0 91.6 99.0 0.46464646 0.51923335 0.5604396 0.73255813 0.80348843 0.8372093
800 0.67 0.697 0.73625 1.0 90.0 98.0 0.46938777 0.5316461 0.5777778 0.74418604 0.79999995 0.8604651
900 0.69222224 0.71544445 0.7588889 1.0 88.5 95.0 0.48421052 0.5440928 0.59302324 0.74418604 0.7976745 0.8372093
1000 0.702 0.73100007 0.775 1.0 86.3 95.0 0.5168539 0.55903065 0.6117647 0.74418604 0.78953487 0.8372093
1100 0.71272725 0.7427273 0.7790909 1.0 84.8 94.0 0.53333336 0.5739294 0.625 0.74418604 0.7953489 0.8372093
1200 0.72833335 0.7550833 0.7875 1.0 82.9 88.0 0.5443038 0.58667535 0.6419753 0.74418604 0.7895349 0.8255814
1300 0.74230766 0.76815385 0.79615384 1.0 81.8 87.0 0.5443038 0.5949333 0.65 0.74418604 0.7965117 0.8488372
1400 0.75 0.77828574 0.8 1.0 80.8 87.0 0.55128205 0.6018919 0.6419753 0.74418604 0.7883721 0.8255814
1500 0.76066667 0.78900003 0.81133336 1.0 79.0 86.0 0.55813956 0.61578006 0.6666667 0.74418604 0.7837209 0.8255814
1600 0.771875 0.79924995 0.82125 1.0 78.2 83.0 0.5733333 0.62309295 0.67948717 0.74418604 0.7848837 0.8255814
1700 0.78294116 0.8088824 0.8317647 1.0 77.2 81.0 0.5733333 0.6311077 0.6883117 0.74418604 0.7848836 0.8488372
1800 0.79 0.8172778 0.8411111 1.0 77.0 81.0 0.5733333 0.63267696 0.68 0.74418604 0.7825581 0.8372093
1900 0.7973684 0.8243685 0.84894735 1.0 76.1 80.0 0.5733333 0.6404274 0.69863015 0.74418604 0.77790695 0.8255814
2000 0.805 0.83125 0.8565 1.0 75.4 81.0 0.5925926 0.64632076 0.7083333 0.74418604 0.7767441 0.8255814
