rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11494949 0.12727273 0.8372093 0.8883721 0.95348835
100 0.3 0.38799998 0.44 1.0 93.7 101.0 0.18811882 0.23837893 0.29032257 0.8023256 0.883721 0.94186044
200 0.395 0.46650004 0.51 1.0 103.1 108.0 0.25925925 0.30869275 0.34615386 0.8488372 0.88953483 0.95348835
300 0.45 0.52099997 0.58 1.0 107.4 111.0 0.33944955 0.36527807 0.4 0.8023256 0.8965117 0.95348835
400 0.4925 0.57175004 0.625 1.0 109.2 112.0 0.36607143 0.39408472 0.43809524 0.8488372 0.9139536 0.96511626
500 0.542 0.60539997 0.658 1.0 110.9 114.0 0.37168142 0.41773662 0.4642857 0.8488372 0.9151163 0.95348835
600 0.58166665 0.6303333 0.67333335 1.0 111.7 114.0 0.38053098 0.43272716 0.48245615 0.8488372 0.91744196 0.96511626
700 0.61142856 0.6467143 0.68714285 1.0 112.4 115.0 0.39473686 0.44431525 0.48598132 0.8488372 0.91627914 0.9767442
800 0.6375 0.66249996 0.7 1.0 113.0 117.0 0.40350878 0.447297 0.49074075 0.8488372 0.9151163 0.96511626
900 0.6522222 0.6781111 0.7077778 1.0 113.5 118.0 0.4122807 0.45149192 0.49074075 0.8488372 0.9197674 0.9767442
1000 0.663 0.6911 0.719 1.0 113.9 118.0 0.42372882 0.45161456 0.48672566 0.8488372 0.92209303 0.9883721
1100 0.6718182 0.7017273 0.7336364 1.0 114.2 119.0 0.42016807 0.45309672 0.48672566 0.8488372 0.9290698 0.9767442
1200 0.6825 0.7095833 0.74 1.0 115.0 121.0 0.41322315 0.45094055 0.48623854 0.8255814 0.9127908 0.9767442
1300 0.69076926 0.71646154 0.7438462 1.0 115.0 119.0 0.42016807 0.45085555 0.48623854 0.8255814 0.9197675 0.9767442
1400 0.6992857 0.7217143 0.75142854 1.0 115.5 119.0 0.42016807 0.44968277 0.4869565 0.8372093 0.9127908 0.96511626
1500 0.71 0.72840005 0.7546667 1.0 116.3 121.0 0.42016807 0.44654068 0.4827586 0.8255814 0.91744196 0.9767442
1600 0.714375 0.7335626 0.755625 1.0 116.5 121.0 0.4214876 0.44658488 0.47457626 0.8372093 0.92093027 0.95348835
1700 0.7164706 0.7375294 0.75941175 1.0 116.8 121.0 0.42016807 0.44547653 0.47863248 0.8372093 0.9232558 0.95348835
1800 0.72333336 0.7423889 0.76166666 1.0 117.2 122.0 0.4180328 0.44398984 0.47863248 0.81395346 0.9186047 0.96511626
1900 0.7263158 0.74442106 0.76578945 1.0 117.6 123.0 0.41463414 0.44330373 0.47863248 0.8372093 0.916279 0.95348835
2000 0.7315 0.7473 0.7685 1.0 117.7 123.0 0.41463414 0.44297582 0.4827586 0.872093 0.9290698 0.96511626
2100 0.73380953 0.74976194 0.76857144 1.0 117.8 123.0 0.41463414 0.4426217 0.47863248 0.8604651 0.9232558 0.96511626
2200 0.73727274 0.7515 0.77 1.0 118.0 123.0 0.41322315 0.4419071 0.47863248 0.8604651 0.92209303 0.96511626
2300 0.73695654 0.75330436 0.77304345 1.0 118.2 123.0 0.41322315 0.4411305 0.47863248 0.8604651 0.92209303 0.96511626
2400 0.7370833 0.75491667 0.775 1.0 118.0 123.0 0.41666666 0.44179574 0.47863248 0.872093 0.9197674 0.96511626
2500 0.7428 0.75707996 0.778 1.0 118.2 122.0 0.41666666 0.44101205 0.47863248 0.872093 0.91627914 0.9767442
2600 0.74423075 0.75988466 0.7792308 1.0 117.8 122.0 0.41666666 0.44256878 0.4827586 0.872093 0.9197674 0.9767442
2700 0.74333334 0.76170367 0.78074074 1.0 117.8 122.0 0.41322315 0.44266778 0.4827586 0.8372093 0.9186047 0.9767442
2800 0.7435714 0.76328576 0.7803571 1.0 117.5 121.0 0.42016807 0.44366112 0.4827586 0.872093 0.9244186 0.9767442
2900 0.74793106 0.76472414 0.7827586 1.0 117.8 121.0 0.42016807 0.44244695 0.47863248 0.872093 0.9197674 0.9767442
3000 0.7493333 0.76586664 0.7823333 1.0 118.1 121.0 0.42016807 0.4412814 0.47457626 0.88372093 0.9209302 0.96511626
3100 0.7516129 0.76716125 0.78290325 1.0 118.2 121.0 0.4214876 0.44087702 0.47457626 0.88372093 0.92325574 0.96511626
3200 0.7540625 0.7679062 0.781875 1.0 118.0 121.0 0.42372882 0.44162482 0.47863248 0.872093 0.9139535 0.95348835
3300 0.7548485 0.76909083 0.78090906 1.0 118.2 121.0 0.4214876 0.44088817 0.47457626 0.872093 0.9151163 0.96511626
3400 0.7567647 0.7699706 0.7823529 1.0 118.3 121.0 0.4214876 0.44049206 0.47058824 0.8604651 0.9139536 0.96511626
3500 0.75685716 0.7706 0.78314286 1.0 118.3 120.0 0.42016807 0.440494 0.47058824 0.872093 0.9209302 0.96511626
3600 0.75805557 0.772 0.78305554 1.0 118.3 120.0 0.42016807 0.44052958 0.47457626 0.872093 0.9139536 0.95348835
3700 0.75783783 0.7728378 0.78405404 1.0 118.1 120.0 0.42372882 0.44125682 0.47457626 0.8604651 0.91046506 0.96511626
3800 0.7589474 0.7735 0.7847369 1.0 118.5 120.0 0.42016807 0.4397823 0.47457626 0.872093 0.916279 0.96511626
3900 0.76102567 0.77430767 0.7848718 1.0 118.2 121.0 0.4214876 0.44089913 0.47457626 0.872093 0.9151163 0.95348835
4000 0.76275 0.774825 0.78525 1.0 118.1 121.0 0.4214876 0.44129133 0.47863248 0.8488372 0.91744196 0.95348835
4100 0.7631707 0.77541465 0.785122 1.0 118.3 121.0 0.4214876 0.44050828 0.47457626 0.8604651 0.92209303 0.9767442
4200 0.7638095 0.7765714 0.78619045 1.0 118.3 122.0 0.4180328 0.4405656 0.47457626 0.8255814 0.92209303 0.96511626
4300 0.76558137 0.777279 0.7862791 1.0 118.4 122.0 0.4180328 0.44021434 0.47457626 0.8372093 0.9232558 0.96511626
4400 0.76545453 0.77763635 0.7859091 1.0 118.8 122.0 0.4180328 0.4387125 0.47457626 0.81395346 0.9151163 0.96511626
4500 0.7646667 0.7781778 0.786 1.0 118.7 122.0 0.4180328 0.43907633 0.47863248 0.8255814 0.9244186 0.96511626
4600 0.7645652 0.77813053 0.786087 1.0 118.6 121.0 0.4214876 0.43939885 0.47457626 0.8372093 0.927907 0.96511626
4700 0.7661702 0.77882975 0.7878723 1.0 118.6 122.0 0.4180328 0.43941554 0.47457626 0.8372093 0.9232558 0.96511626
4800 0.76479167 0.77904165 0.78625 1.0 118.7 123.0 0.41463414 0.43912825 0.47457626 0.8255814 0.92209303 0.96511626
4900 0.7657143 0.779449 0.78612244 1.0 118.6 123.0 0.41463414 0.4395079 0.47457626 0.8255814 0.92441857 0.9767442
5000 0.767 0.7794 0.7866 1.0 118.3 122.0 0.4180328 0.4405958 0.47457626 0.8255814 0.927907 0.9767442
5100 0.7676471 0.77933335 0.78568625 1.0 118.3 121.0 0.42016807 0.44054252 0.47058824 0.8255814 0.9232559 0.9767442
5200 0.7673077 0.77963465 0.7875 1.0 118.3 121.0 0.42016807 0.44055644 0.47457626 0.8255814 0.927907 0.9767442
