rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8848837 0.95348835
100 0.23 0.341 0.42 1.0 89.8 94.0 0.13333334 0.16040428 0.20879121 0.76744187 0.8802325 0.95348835
200 0.28 0.39450002 0.47 1.0 97.0 99.0 0.15463917 0.20513687 0.2631579 0.76744187 0.84651166 0.90697676
300 0.32666665 0.431 0.49666667 1.0 100.3 102.0 0.22 0.2542568 0.31 0.81395346 0.86744183 0.96511626
400 0.4 0.464 0.5075 1.0 101.4 103.0 0.27 0.29587737 0.35643566 0.8255814 0.8790698 0.95348835
500 0.432 0.489 0.532 1.0 102.2 103.0 0.30392158 0.32772568 0.3627451 0.81395346 0.8744186 0.90697676
600 0.45666668 0.5056666 0.565 1.0 102.8 104.0 0.32352942 0.35205013 0.37864077 0.7790698 0.8534883 0.94186044
700 0.48142856 0.52085716 0.56285715 1.0 103.7 105.0 0.34951457 0.3769369 0.41747573 0.8255814 0.87325585 0.9186047
800 0.48625 0.5345 0.565 1.0 104.3 106.0 0.3653846 0.3940272 0.44230768 0.8488372 0.8860465 0.9302326
900 0.50777775 0.54966664 0.58 1.0 104.4 107.0 0.37864077 0.40805373 0.45192307 0.74418604 0.85 0.9186047
1000 0.518 0.5642 0.6 1.0 104.6 107.0 0.375 0.41399688 0.45192307 0.76744187 0.86860466 0.9186047
1100 0.5254545 0.57845455 0.6118182 1.0 104.7 107.0 0.40384614 0.43181944 0.46078432 0.7906977 0.86860466 0.9186047
1200 0.5441667 0.59208333 0.62 1.0 104.8 107.0 0.41346154 0.44381696 0.46153846 0.8023256 0.8476745 0.9186047
1300 0.5623077 0.6039231 0.6276923 1.0 105.0 107.0 0.42056075 0.4496321 0.46666667 0.7906977 0.8651163 0.9186047
1400 0.57714283 0.6139286 0.64357144 1.0 105.0 107.0 0.42990655 0.45341522 0.46666667 0.7790698 0.8488372 0.88372093
1500 0.58933336 0.6257334 0.65466666 1.0 105.0 107.0 0.43809524 0.45625454 0.4857143 0.7906977 0.85930234 0.9186047
1600 0.600625 0.63412505 0.661875 1.0 105.2 108.0 0.4351852 0.4601987 0.4857143 0.8023256 0.8569768 0.90697676
1700 0.6035294 0.641 0.67058825 1.0 105.4 108.0 0.4351852 0.46407184 0.4857143 0.7906977 0.8511628 0.90697676
1800 0.61277777 0.6486667 0.6766667 1.0 105.4 108.0 0.4351852 0.46594104 0.4857143 0.76744187 0.8430233 0.90697676
1900 0.6194737 0.65447366 0.68263155 1.0 105.5 108.0 0.43396226 0.4674325 0.4857143 0.8023256 0.85 0.9302326
2000 0.6275 0.66 0.687 1.0 105.7 108.0 0.4351852 0.46746844 0.4857143 0.7790698 0.8511628 0.9302326
2100 0.6314286 0.6654286 0.6895238 1.0 105.8 108.0 0.44444445 0.47074908 0.49532712 0.8023256 0.85465115 0.90697676
2200 0.6363636 0.6692727 0.6940909 1.0 106.0 108.0 0.44444445 0.4717459 0.4952381 0.76744187 0.8418605 0.90697676
2300 0.6447826 0.6740869 0.69739133 1.0 106.1 109.0 0.44444445 0.47506928 0.4952381 0.7906977 0.84651166 0.89534885
2400 0.6479167 0.67775 0.70375 1.0 106.2 109.0 0.44444445 0.4765153 0.5 0.7906977 0.8476745 0.9186047
2500 0.65 0.68156004 0.708 1.0 106.2 109.0 0.44444445 0.4765153 0.5 0.7906977 0.844186 0.9186047
2600 0.65692306 0.68684614 0.71076924 1.0 106.3 109.0 0.44444445 0.47604808 0.5 0.76744187 0.8348838 0.88372093
2700 0.6651852 0.6918518 0.71444446 1.0 106.5 109.0 0.44444445 0.47513136 0.5 0.76744187 0.8430233 0.89534885
2800 0.6725 0.6956072 0.7164286 1.0 106.7 109.0 0.44444445 0.47520265 0.5 0.7906977 0.8476745 0.89534885
2900 0.6765517 0.698862 0.71827585 1.0 106.8 109.0 0.44444445 0.47473535 0.5 0.76744187 0.84883726 0.90697676
3000 0.6803333 0.7018666 0.72033334 1.0 106.7 109.0 0.44444445 0.47610277 0.5 0.74418604 0.8441861 0.89534885
3100 0.683871 0.70477414 0.7222581 1.0 106.9 109.0 0.44444445 0.47524604 0.5 0.73255813 0.8441861 0.9186047
3200 0.6871875 0.7068125 0.7234375 1.0 107.0 109.0 0.44444445 0.47668213 0.5 0.76744187 0.85348845 0.89534885
3300 0.690303 0.70948476 0.72242427 1.0 107.1 109.0 0.44444445 0.4762659 0.5 0.8023256 0.8569768 0.89534885
3400 0.69529414 0.71147066 0.7247059 1.0 106.9 109.0 0.44444445 0.47811088 0.5 0.7790698 0.8523256 0.94186044
3500 0.69685715 0.7133714 0.7262857 1.0 106.9 109.0 0.44444445 0.47811088 0.5 0.76744187 0.8511628 0.89534885
