rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.88953483 0.95348835
100 0.26 0.323 0.4 1.0 90.6 94.0 0.11956522 0.15798411 0.19101124 0.75581396 0.8569768 0.9186047
200 0.3 0.36900002 0.435 1.0 97.8 100.0 0.16494845 0.2077307 0.24468085 0.7906977 0.85348845 0.9186047
300 0.34666666 0.40666667 0.45333335 1.0 100.8 105.0 0.22330096 0.25388038 0.28712872 0.74418604 0.8569768 0.90697676
400 0.405 0.44450003 0.4875 1.0 101.7 105.0 0.24038461 0.28515762 0.32673267 0.8023256 0.8476745 0.89534885
500 0.418 0.46639997 0.528 1.0 102.3 107.0 0.2596154 0.3138715 0.34579438 0.7790698 0.8302326 0.89534885
600 0.42333335 0.49016666 0.5466667 1.0 102.9 108.0 0.28431374 0.33935603 0.38613862 0.7906977 0.8581395 0.9302326
700 0.44428572 0.5072857 0.56142855 1.0 104.1 109.0 0.30476192 0.3700688 0.44117647 0.76744187 0.8581395 0.90697676
800 0.45125 0.52487504 0.57 1.0 104.6 109.0 0.3207547 0.3942032 0.46078432 0.7906977 0.85232556 0.9186047
900 0.46888888 0.53977776 0.57555556 1.0 104.7 109.0 0.3490566 0.41673726 0.47058824 0.7790698 0.8569768 0.96511626
1000 0.493 0.55689996 0.588 1.0 104.7 109.0 0.3490566 0.4244023 0.47572815 0.7790698 0.8534883 0.89534885
1100 0.5118182 0.57145447 0.60545456 1.0 104.8 109.0 0.38679245 0.4363479 0.4854369 0.7906977 0.8511628 0.9302326
1200 0.5275 0.58358335 0.61583334 1.0 104.8 109.0 0.3962264 0.4440218 0.49019608 0.75581396 0.8488372 0.94186044
1300 0.54 0.59407693 0.6230769 1.0 105.0 109.0 0.42056075 0.4508663 0.49514562 0.76744187 0.84069765 0.89534885
1400 0.55142856 0.6043571 0.6357143 1.0 105.2 109.0 0.42056075 0.45185703 0.49514562 0.7906977 0.84534883 0.90697676
1500 0.5653333 0.614 0.642 1.0 105.5 109.0 0.41666666 0.45153198 0.49514562 0.7906977 0.844186 0.89534885
1600 0.581875 0.6230625 0.649375 1.0 105.4 109.0 0.41666666 0.45573878 0.5048544 0.7906977 0.84883726 0.89534885
1700 0.5917647 0.63076466 0.65588236 1.0 105.5 109.0 0.42592594 0.4590816 0.5048544 0.8023256 0.8569768 0.90697676
1800 0.60555553 0.6397222 0.6622222 1.0 105.6 109.0 0.4351852 0.46424007 0.5 0.81395346 0.8511628 0.89534885
1900 0.61263156 0.64621055 0.6694737 1.0 105.6 109.0 0.4351852 0.46710524 0.5 0.81395346 0.8511628 0.89534885
2000 0.624 0.65295 0.67 1.0 105.5 109.0 0.4351852 0.46852526 0.5048544 0.81395346 0.85465115 0.89534885
