rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.89069766 0.95348835
100 0.23 0.36200005 0.43 1.0 90.6 95.0 0.10989011 0.17223287 0.21505377 0.76744187 0.8569767 0.9302326
200 0.325 0.40949997 0.465 1.0 97.5 102.0 0.15957446 0.2150311 0.26530612 0.8023256 0.8720931 0.9302326
300 0.35333332 0.43733335 0.48333332 1.0 100.6 103.0 0.19 0.25445068 0.30612245 0.8372093 0.8860465 0.9186047
400 0.405 0.46025 0.535 1.0 101.7 104.0 0.26262626 0.29305297 0.34313726 0.74418604 0.85930234 0.95348835
500 0.428 0.47959995 0.536 1.0 102.1 105.0 0.28 0.32996774 0.38235295 0.76744187 0.8906978 0.96511626
600 0.44833332 0.50083333 0.56333333 1.0 102.9 106.0 0.32352942 0.36044228 0.4117647 0.7790698 0.8569768 0.96511626
700 0.46857142 0.52014285 0.57285714 1.0 103.4 106.0 0.34313726 0.38188893 0.44660193 0.7906977 0.8511628 0.9186047
800 0.4975 0.538 0.57875 1.0 103.9 106.0 0.36893204 0.40037614 0.46601942 0.8488372 0.8697675 0.95348835
900 0.5188889 0.5533334 0.6011111 1.0 104.0 106.0 0.36893204 0.40861115 0.46601942 0.8372093 0.87325585 0.95348835
1000 0.537 0.56619996 0.609 1.0 104.3 106.0 0.39423078 0.42286363 0.49514562 0.7906977 0.87558144 0.94186044
1100 0.5527273 0.5812727 0.62545455 1.0 104.4 107.0 0.3962264 0.43108544 0.49514562 0.76744187 0.86046517 0.9302326
1200 0.56166667 0.59241664 0.6383333 1.0 104.8 108.0 0.4056604 0.43901262 0.5048544 0.76744187 0.86279076 0.90697676
1300 0.57384616 0.6023847 0.64692307 1.0 105.0 108.0 0.40186915 0.4449171 0.5048544 0.7906977 0.8511628 0.90697676
1400 0.5871429 0.61228573 0.64928573 1.0 105.2 108.0 0.41904762 0.45067436 0.5 0.7906977 0.8651163 0.9186047
1500 0.5966667 0.6234666 0.6626667 1.0 105.2 108.0 0.41904762 0.45636314 0.5 0.7906977 0.8662791 0.94186044
1600 0.600625 0.63006246 0.66625 1.0 105.3 109.0 0.43809524 0.4644226 0.50961536 0.7790698 0.8523256 0.9302326
1700 0.60764706 0.6382941 0.66764706 1.0 105.4 109.0 0.43809524 0.46587053 0.50961536 0.8023256 0.85813963 0.90697676
1800 0.6155556 0.64688885 0.67722225 1.0 105.4 109.0 0.44761905 0.46866626 0.50961536 0.76744187 0.84767437 0.9302326
1900 0.62157893 0.6538948 0.68157893 1.0 105.4 109.0 0.44761905 0.47053608 0.50961536 0.76744187 0.83953494 0.88372093
2000 0.6295 0.6602 0.688 1.0 105.5 109.0 0.43925235 0.47012982 0.50961536 0.7790698 0.8430233 0.88372093
2100 0.6390476 0.66604763 0.69285715 1.0 105.4 109.0 0.43925235 0.4705798 0.50961536 0.8023256 0.84651166 0.90697676
2200 0.6431818 0.6704091 0.6972727 1.0 105.6 109.0 0.43925235 0.47158647 0.50961536 0.7790698 0.8651163 0.90697676
2300 0.64391303 0.6753914 0.6991304 1.0 105.6 109.0 0.43925235 0.47346544 0.50961536 0.7906977 0.85930234 0.9186047
2400 0.6458333 0.678625 0.70125 1.0 105.7 109.0 0.43925235 0.47396928 0.50961536 0.7906977 0.8476745 0.90697676
2500 0.6524 0.68304 0.7048 1.0 105.7 109.0 0.43925235 0.47489482 0.50961536 0.81395346 0.85348845 0.9302326
2600 0.6546154 0.6878077 0.7103846 1.0 105.7 109.0 0.43925235 0.4758563 0.50961536 0.7906977 0.85 0.9186047
2700 0.66037035 0.69255555 0.71518517 1.0 105.7 109.0 0.43925235 0.4758563 0.50961536 0.7790698 0.8476745 0.89534885
2800 0.6642857 0.6959643 0.7175 1.0 105.7 109.0 0.43925235 0.47682577 0.50961536 0.8023256 0.86162794 0.94186044
2900 0.6703448 0.6997241 0.72034484 1.0 106.1 110.0 0.43925235 0.47501868 0.50961536 0.8023256 0.85 0.89534885
3000 0.67233336 0.70276666 0.722 1.0 106.1 110.0 0.43925235 0.4759361 0.50961536 0.8023256 0.8511628 0.9186047
3100 0.6751613 0.70580643 0.7235484 1.0 106.3 110.0 0.43925235 0.47505507 0.50961536 0.7906977 0.8476745 0.90697676
3200 0.6796875 0.70806247 0.7253125 1.0 106.4 110.0 0.43925235 0.47460586 0.50961536 0.8023256 0.8558141 0.90697676
3300 0.68454546 0.7108182 0.7269697 1.0 106.4 109.0 0.43925235 0.4746492 0.50961536 0.7790698 0.8581395 0.9186047
3400 0.6882353 0.7132353 0.7282353 1.0 106.3 109.0 0.43925235 0.47600794 0.50961536 0.8023256 0.86162794 0.9302326
3500 0.6917143 0.7156 0.73085713 1.0 106.5 109.0 0.43925235 0.47510862 0.50961536 0.7790698 0.84534883 0.90697676
3600 0.69416666 0.71844435 0.73388886 1.0 106.7 110.0 0.43925235 0.47418126 0.50476193 0.76744187 0.855814 0.90697676
3700 0.6945946 0.72013515 0.7356757 1.0 106.9 110.0 0.43925235 0.47329965 0.50476193 0.74418604 0.84651166 0.9186047
3800 0.69684213 0.7222632 0.73710525 1.0 106.9 110.0 0.43925235 0.47329965 0.50476193 0.7790698 0.8569768 0.94186044
3900 0.70076925 0.72417945 0.74051285 1.0 106.8 110.0 0.43925235 0.47373992 0.50476193 0.8023256 0.8651163 0.94186044
4000 0.70375 0.72565 0.74075 1.0 106.8 110.0 0.43925235 0.47373992 0.50476193 0.7906977 0.85930234 0.95348835
4100 0.70585364 0.72758543 0.7417073 1.0 106.7 110.0 0.44339624 0.4741543 0.50476193 0.81395346 0.8651163 0.95348835
4200 0.70857143 0.7295238 0.7442857 1.0 106.8 110.0 0.44339624 0.4736781 0.5045872 0.76744187 0.85 0.95348835
4300 0.7109302 0.73095345 0.7423256 1.0 106.8 110.0 0.44339624 0.4736781 0.5045872 0.7906977 0.855814 0.95348835
4400 0.71181816 0.7324319 0.7443182 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.7906977 0.8639535 0.95348835
4500 0.7126667 0.73362225 0.746 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.7790698 0.8523256 0.96511626
4600 0.71434784 0.7347391 0.7476087 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.8023256 0.855814 0.9186047
4700 0.71595746 0.7364894 0.7493617 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.7906977 0.84534883 0.9186047
4800 0.7164583 0.7378333 0.75125 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.7906977 0.8430232 0.9186047
4900 0.7187755 0.7388164 0.7532653 1.0 107.1 110.0 0.44339624 0.47240415 0.5045872 0.7790698 0.84534883 0.94186044
5000 0.7214 0.73995996 0.7526 1.0 107.1 110.0 0.44339624 0.47240415 0.5045872 0.7906977 0.8511628 0.94186044
5100 0.7227451 0.7407843 0.752549 1.0 106.9 110.0 0.44339624 0.47324485 0.5045872 0.7906977 0.8476745 0.9302326
5200 0.7248077 0.7418654 0.7523077 1.0 107.0 111.0 0.44339624 0.4728108 0.5045872 0.7790698 0.84651166 0.94186044
5300 0.72660375 0.7428113 0.7518868 1.0 107.0 111.0 0.44339624 0.47282737 0.5045872 0.7790698 0.85581386 0.94186044
5400 0.7275926 0.7437593 0.75222224 1.0 107.2 112.0 0.43925235 0.47198668 0.5045872 0.76744187 0.84651166 0.90697676
5500 0.7287273 0.7445091 0.75363636 1.0 107.3 112.0 0.43925235 0.47152796 0.5 0.75581396 0.8511628 0.94186044
5600 0.72910714 0.74523216 0.7532143 1.0 107.3 112.0 0.43925235 0.47152796 0.5 0.74418604 0.8569768 0.94186044
5700 0.73017544 0.7462456 0.75491226 1.0 107.5 112.0 0.43925235 0.4706204 0.5 0.76744187 0.86162794 0.95348835
5800 0.7312069 0.74701726 0.75551724 1.0 107.6 112.0 0.43925235 0.47018838 0.5 0.75581396 0.85 0.9302326
5900 0.7323729 0.7477627 0.7569491 1.0 107.6 112.0 0.43925235 0.47018838 0.5 0.74418604 0.855814 0.95348835
6000 0.73366666 0.74885005 0.757 1.0 107.6 112.0 0.43925235 0.47018838 0.5 0.76744187 0.85348845 0.94186044
6100 0.7344262 0.7495246 0.7581967 1.0 107.6 112.0 0.43925235 0.47018838 0.5 0.76744187 0.8511628 0.9302326
6200 0.7354839 0.75022584 0.75870967 1.0 107.6 112.0 0.43925235 0.47018838 0.5 0.75581396 0.84883726 0.9186047
6300 0.7368254 0.75049204 0.75920635 1.0 107.6 112.0 0.43925235 0.47020522 0.5 0.75581396 0.855814 0.95348835
6400 0.7373437 0.7509063 0.7590625 1.0 107.7 113.0 0.43925235 0.46978647 0.5 0.7790698 0.85465115 0.95348835
6500 0.7381539 0.75121534 0.75892305 1.0 107.7 113.0 0.43925235 0.46978647 0.5 0.7790698 0.8534883 0.96511626
6600 0.73954546 0.7518636 0.75939393 1.0 107.7 113.0 0.43925235 0.46978647 0.5 0.7790698 0.86046517 0.96511626
6700 0.74104476 0.7530298 0.75985074 1.0 107.7 113.0 0.43925235 0.46978647 0.5 0.76744187 0.855814 0.95348835
6800 0.7417647 0.75392646 0.7617647 1.0 107.8 113.0 0.43925235 0.46937108 0.5 0.75581396 0.8465117 0.95348835
6900 0.74173915 0.75450724 0.762029 1.0 107.8 113.0 0.43925235 0.46936402 0.5 0.75581396 0.8511628 0.95348835
7000 0.74128574 0.75491434 0.763 1.0 107.7 112.0 0.43925235 0.46980006 0.5 0.76744187 0.8500001 0.95348835
7100 0.74169016 0.75545067 0.7633803 1.0 107.6 112.0 0.43925235 0.47023207 0.5 0.7790698 0.85930234 0.9302326
7200 0.74375 0.7559167 0.7644445 1.0 107.6 112.0 0.43925235 0.47023207 0.5 0.7906977 0.86046517 0.94186044
7300 0.7441096 0.75652057 0.76547945 1.0 107.6 112.0 0.43925235 0.47023207 0.5 0.7906977 0.8569768 0.9302326
7400 0.7451351 0.75670266 0.765 1.0 107.7 112.0 0.43925235 0.46977416 0.5 0.7790698 0.8581395 0.94186044
7500 0.74546665 0.7569067 0.7652 1.0 107.7 112.0 0.43925235 0.46978363 0.5045872 0.75581396 0.85348845 0.9302326
7600 0.74526316 0.75739473 0.7651316 1.0 107.6 112.0 0.43925235 0.47019902 0.5045872 0.7790698 0.8569768 0.9302326
7700 0.74636364 0.7579091 0.76532465 1.0 107.6 112.0 0.43925235 0.47020024 0.5045872 0.7790698 0.85 0.95348835
7800 0.7476923 0.75834614 0.76474357 1.0 107.8 112.0 0.43925235 0.46934405 0.5045872 0.76744187 0.8511628 0.95348835
7900 0.74835443 0.75899994 0.76455694 1.0 107.8 112.0 0.43925235 0.46934405 0.5045872 0.7790698 0.85930234 0.94186044
8000 0.7495 0.75934994 0.76425 1.0 108.0 112.0 0.43925235 0.46847758 0.5 0.7790698 0.8511628 0.9302326
8100 0.74987656 0.75979006 0.76555556 1.0 108.1 112.0 0.43925235 0.4680449 0.5 0.8023256 0.85930234 0.9186047
8200 0.74963415 0.76029265 0.7664634 1.0 108.2 112.0 0.43636364 0.4676446 0.5 0.8023256 0.86162794 0.9302326
8300 0.75036144 0.76098794 0.7673494 1.0 108.2 112.0 0.43636364 0.46767005 0.5045872 0.8023256 0.8639535 0.94186044
8400 0.7511905 0.76133335 0.7675 1.0 108.2 112.0 0.43636364 0.46767005 0.5045872 0.81395346 0.86046517 0.94186044
8500 0.75141174 0.76205885 0.76858824 1.0 108.4 112.0 0.43636364 0.46678662 0.5 0.81395346 0.86162794 0.94186044
8600 0.7516279 0.76252323 0.7689535 1.0 108.4 112.0 0.43636364 0.46678662 0.5 0.7906977 0.85930234 0.94186044
8700 0.7512644 0.7626092 0.76908046 1.0 108.3 112.0 0.43636364 0.46721983 0.5 0.73255813 0.86046517 0.9186047
8800 0.7518182 0.7629319 0.7696591 1.0 108.3 112.0 0.43636364 0.46721983 0.5 0.76744187 0.8534883 0.9302326
8900 0.75269663 0.7633933 0.7696629 1.0 108.5 113.0 0.4351852 0.46639434 0.5 0.76744187 0.85232556 0.9302326
9000 0.75333333 0.7639 0.77022225 1.0 108.5 113.0 0.4351852 0.46639434 0.5 0.76744187 0.84767437 0.9186047
9100 0.75329673 0.7642528 0.7706593 1.0 108.6 113.0 0.4351852 0.46596107 0.5 0.75581396 0.84651166 0.9186047
