rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.8883721 0.95348835
100 0.21 0.34199995 0.42 1.0 90.3 95.0 0.14942528 0.17270654 0.2247191 0.7790698 0.8639535 0.94186044
200 0.27 0.37549996 0.42 1.0 96.6 100.0 0.18181819 0.20803192 0.24489796 0.8372093 0.89069766 0.9302326
300 0.34 0.41399997 0.48 1.0 99.4 102.0 0.21212122 0.24743657 0.27450982 0.7906977 0.8639535 0.9186047
400 0.4075 0.45374998 0.51 1.0 100.3 102.0 0.23762377 0.2701556 0.3137255 0.76744187 0.87325585 0.95348835
500 0.432 0.465 0.508 1.0 100.9 102.0 0.25742576 0.29733682 0.32673267 0.81395346 0.8697675 0.90697676
600 0.455 0.4833333 0.515 1.0 101.2 102.0 0.29411766 0.32119006 0.33663365 0.76744187 0.86162794 0.9302326
700 0.46857142 0.49385715 0.52 1.0 101.5 102.0 0.30392158 0.33794138 0.36 0.81395346 0.88139534 0.9302326
800 0.485 0.50725 0.53 1.0 101.8 102.0 0.32352942 0.36050284 0.4019608 0.76744187 0.8418605 0.9186047
900 0.4977778 0.52144444 0.5411111 1.0 101.9 102.0 0.32352942 0.37484953 0.4117647 0.7790698 0.84069765 0.90697676
1000 0.504 0.5335 0.56 1.0 101.9 102.0 0.34653464 0.38759467 0.43137255 0.75581396 0.8523256 0.9302326
1100 0.51272726 0.54745454 0.5718182 1.0 101.9 102.0 0.35643566 0.40427098 0.44117647 0.7790698 0.8209302 0.8604651
1200 0.5225 0.55825 0.5858333 1.0 101.9 102.0 0.35643566 0.41015333 0.4509804 0.8023256 0.8348838 0.8604651
1300 0.53615385 0.57092303 0.59615386 1.0 101.9 102.0 0.36633664 0.419967 0.46078432 0.75581396 0.81860465 0.8604651
1400 0.545 0.57871425 0.60642856 1.0 101.9 102.0 0.37623763 0.42585903 0.46078432 0.76744187 0.82325584 0.88372093
1500 0.5566667 0.5898 0.616 1.0 101.9 102.0 0.38613862 0.4317511 0.47058824 0.74418604 0.81279075 0.90697676
1600 0.57 0.59768754 0.61875 1.0 101.9 102.0 0.38613862 0.43861383 0.47058824 0.75581396 0.8290698 0.89534885
1700 0.5788235 0.60423523 0.62764704 1.0 101.9 102.0 0.3960396 0.44352555 0.47058824 0.7906977 0.8348838 0.89534885
1800 0.58555555 0.6127777 0.6388889 1.0 101.9 102.0 0.4059406 0.4464764 0.47058824 0.76744187 0.8255814 0.872093
1900 0.5947368 0.6203684 0.6447368 1.0 101.9 102.0 0.4059406 0.4494176 0.47058824 0.73255813 0.81279075 0.8604651
2000 0.602 0.62605 0.6495 1.0 101.9 102.0 0.41584158 0.45040768 0.47058824 0.73255813 0.8279071 0.872093
2100 0.61190474 0.6333333 0.6528571 1.0 101.9 102.0 0.41584158 0.45236844 0.47058824 0.7209302 0.811628 0.89534885
2200 0.6227273 0.64004546 0.6586364 1.0 101.9 102.0 0.42574257 0.45433894 0.48039216 0.7093023 0.8069767 0.88372093
2300 0.62956524 0.64586955 0.6639131 1.0 101.9 102.0 0.42574257 0.45531934 0.48039216 0.73255813 0.8186046 0.89534885
2400 0.6325 0.64970833 0.6695833 1.0 101.9 102.0 0.42574257 0.45826054 0.48039216 0.73255813 0.8174418 0.88372093
2500 0.64 0.65484005 0.6728 1.0 101.9 102.0 0.42574257 0.45826054 0.48039216 0.7209302 0.81046516 0.90697676
2600 0.6442308 0.6605 0.6780769 1.0 101.9 102.0 0.42574257 0.45826054 0.48039216 0.73255813 0.8197675 0.8604651
2700 0.6488889 0.666 0.68296295 1.0 101.9 102.0 0.42574257 0.45826054 0.48039216 0.7209302 0.822093 0.872093
2800 0.6532143 0.67060715 0.68714285 1.0 101.9 102.0 0.42574257 0.4592409 0.49019608 0.68604654 0.8069768 0.88372093
2900 0.6575862 0.67393106 0.6903448 1.0 101.9 102.0 0.42574257 0.4602213 0.49019608 0.75581396 0.8174418 0.88372093
3000 0.662 0.67763335 0.693 1.0 101.9 102.0 0.42574257 0.4621821 0.5 0.74418604 0.80465114 0.8604651
3100 0.66612905 0.68067735 0.6967742 1.0 101.9 102.0 0.42574257 0.4621821 0.5 0.75581396 0.8220931 0.90697676
3200 0.668125 0.6836562 0.6990625 1.0 101.9 102.0 0.42574257 0.4621821 0.5 0.75581396 0.8290698 0.89534885
3300 0.67 0.6863333 0.70181817 1.0 101.8 102.0 0.42574257 0.46265775 0.5 0.7790698 0.82441866 0.88372093
3400 0.6732353 0.6895 0.7047059 1.0 101.8 102.0 0.43137255 0.46364784 0.5 0.7093023 0.8209303 0.872093
3500 0.67742854 0.6924285 0.7074286 1.0 101.8 102.0 0.43137255 0.46364784 0.5 0.75581396 0.8162791 0.88372093
3600 0.6791667 0.69522226 0.70944446 1.0 101.8 102.0 0.43137255 0.46462822 0.5 0.73255813 0.8151162 0.872093
3700 0.6816216 0.69759464 0.7135135 1.0 101.8 102.0 0.43137255 0.46462822 0.5 0.75581396 0.8209303 0.88372093
3800 0.6818421 0.6998947 0.71552634 1.0 101.8 102.0 0.43137255 0.4656086 0.5 0.74418604 0.8127907 0.8604651
3900 0.68538463 0.7021538 0.71692306 1.0 101.8 102.0 0.43137255 0.4656086 0.5 0.73255813 0.8127907 0.872093
4000 0.6865 0.7039751 0.71925 1.0 101.8 102.0 0.43137255 0.4656086 0.5 0.7209302 0.8139535 0.872093
4100 0.6895122 0.7060976 0.72268295 1.0 101.8 102.0 0.43137255 0.4656086 0.5 0.7209302 0.8139535 0.8604651
4200 0.69142854 0.70864284 0.7259524 1.0 101.8 102.0 0.43137255 0.46658897 0.5 0.73255813 0.8081396 0.88372093
4300 0.692093 0.71079075 0.7276744 1.0 101.8 102.0 0.43137255 0.46756935 0.5 0.74418604 0.8139536 0.8604651
4400 0.6934091 0.71259093 0.72886366 1.0 101.8 102.0 0.43137255 0.46756935 0.5 0.76744187 0.8267442 0.872093
4500 0.69666666 0.7142 0.73 1.0 101.8 102.0 0.43137255 0.46756935 0.5 0.74418604 0.8255814 0.89534885
4600 0.6978261 0.71599996 0.7317391 1.0 101.8 102.0 0.43137255 0.46953017 0.50980395 0.75581396 0.8162791 0.8488372
4700 0.6987234 0.71819144 0.7329787 1.0 101.8 102.0 0.43137255 0.46953017 0.50980395 0.75581396 0.8139535 0.8488372
