rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11474748 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.2 0.5 1.0 55.6 56.0 0.10714286 0.113311686 0.12727273 0.8372093 0.8883721 0.95348835
3 0.0 0.2 0.6666667 1.0 56.4 57.0 0.10526316 0.11708192 0.12727273 0.8372093 0.88953483 0.95348835
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10526316 0.11797382 0.125 0.8372093 0.88953483 0.95348835
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10344828 0.1199942 0.13559322 0.8372093 0.89069766 0.95348835
6 0.0 0.3 0.5 1.0 58.2 60.0 0.10169491 0.1288014 0.15 0.8372093 0.88953483 0.95348835
7 0.0 0.30000004 0.5714286 1.0 58.9 61.0 0.10344828 0.13239819 0.15254237 0.8372093 0.8883721 0.95348835
8 0.0 0.325 0.5 1.0 59.4 62.0 0.10344828 0.13294166 0.16666667 0.8372093 0.88255817 0.95348835
9 0.0 0.35555556 0.5555556 1.0 59.8 63.0 0.10169491 0.13372996 0.16666667 0.8372093 0.8802325 0.94186044
10 0.0 0.35 0.6 1.0 60.4 64.0 0.11666667 0.13902184 0.16666667 0.8372093 0.877907 0.94186044
11 0.09090909 0.36363634 0.6363636 1.0 60.9 64.0 0.13114753 0.13951695 0.16393442 0.8372093 0.8802325 0.94186044
12 0.083333336 0.34999996 0.5833333 1.0 61.7 65.0 0.12903225 0.14093219 0.16129032 0.8372093 0.8790698 0.9302326
13 0.07692308 0.3461539 0.61538464 1.0 62.0 65.0 0.12903225 0.14183566 0.15873016 0.8255814 0.8744186 0.9302326
14 0.14285715 0.35 0.5714286 1.0 62.5 66.0 0.12903225 0.14067905 0.15625 0.8255814 0.8744186 0.9302326
15 0.13333334 0.35333332 0.53333336 1.0 62.9 67.0 0.12698413 0.1413747 0.15384616 0.8255814 0.87674415 0.9302326
16 0.125 0.34375 0.5625 1.0 63.7 68.0 0.125 0.14582233 0.16666667 0.8255814 0.877907 0.9302326
17 0.11764706 0.34117645 0.5294118 1.0 64.2 69.0 0.12307692 0.14637813 0.1641791 0.8255814 0.87674415 0.9302326
18 0.11111111 0.34444445 0.5555556 1.0 64.7 70.0 0.12307692 0.14527467 0.1641791 0.8255814 0.8744186 0.9302326
19 0.10526316 0.3315789 0.5263158 1.0 65.1 70.0 0.121212125 0.14582132 0.1641791 0.8255814 0.8767443 0.9302326
20 0.15 0.345 0.55 1.0 65.4 70.0 0.121212125 0.14821795 0.1641791 0.8255814 0.8767443 0.9302326
21 0.1904762 0.3476191 0.5714286 1.0 65.8 70.0 0.121212125 0.14874905 0.16176471 0.81395346 0.8744186 0.9302326
22 0.18181819 0.34545454 0.54545456 1.0 66.5 71.0 0.11940298 0.15327804 0.16923077 0.81395346 0.877907 0.9302326
23 0.17391305 0.33478257 0.5217391 1.0 67.2 71.0 0.11764706 0.15461744 0.18309858 0.81395346 0.88255817 0.9302326
24 0.16666667 0.3291667 0.5416667 1.0 67.8 72.0 0.11594203 0.15324089 0.18055555 0.8255814 0.8790698 0.9302326
25 0.16 0.33600003 0.56 1.0 68.1 72.0 0.114285715 0.15260771 0.18055555 0.8255814 0.8767443 0.9302326
26 0.15384616 0.3269231 0.53846157 1.0 68.7 73.0 0.114285715 0.15274097 0.1780822 0.8255814 0.8790698 0.9302326
27 0.14814815 0.3259259 0.5185185 1.0 69.3 73.0 0.114285715 0.15139234 0.1780822 0.8255814 0.88023263 0.9302326
28 0.14285715 0.32142857 0.5 1.0 69.5 73.0 0.114285715 0.1553231 0.1780822 0.81395346 0.88023263 0.94186044
29 0.13793103 0.32068965 0.4827586 1.0 70.1 74.0 0.114285715 0.15674748 0.1891892 0.8023256 0.88023263 0.94186044
30 0.13333334 0.33 0.46666667 1.0 70.3 75.0 0.114285715 0.15631483 0.1891892 0.8023256 0.88023263 0.94186044
31 0.16129032 0.33225805 0.4516129 1.0 70.6 75.0 0.114285715 0.15563172 0.1891892 0.8023256 0.88255817 0.94186044
32 0.15625 0.33125 0.46875 1.0 70.9 75.0 0.114285715 0.15908064 0.2 0.7906977 0.8790698 0.94186044
33 0.15151516 0.33333334 0.45454547 1.0 71.1 76.0 0.114285715 0.1600421 0.2 0.7906977 0.87558144 0.94186044
34 0.14705883 0.33235294 0.44117647 1.0 71.2 76.0 0.114285715 0.15977895 0.19736843 0.7906977 0.87325585 0.94186044
35 0.17142858 0.33428574 0.42857143 1.0 71.5 76.0 0.114285715 0.16047266 0.19736843 0.7906977 0.86860466 0.94186044
36 0.16666667 0.33333334 0.44444445 1.0 72.1 77.0 0.112676054 0.15913823 0.19480519 0.7790698 0.86860466 0.94186044
37 0.1891892 0.34324327 0.45945945 1.0 72.3 77.0 0.112676054 0.1601592 0.19480519 0.7790698 0.8697675 0.94186044
38 0.18421052 0.33684212 0.47368422 1.0 72.8 78.0 0.11111111 0.16457787 0.20512821 0.7790698 0.86860466 0.94186044
39 0.17948718 0.33846155 0.46153846 1.0 73.1 78.0 0.11111111 0.16388932 0.20512821 0.7906977 0.877907 0.94186044
