rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.2 0.5 1.0 55.8 57.0 0.10526316 0.11112554 0.12727273 0.8372093 0.8837209 0.95348835
3 0.0 0.2 0.6666667 1.0 56.8 59.0 0.10526316 0.1179565 0.14285715 0.8372093 0.8837209 0.95348835
4 0.0 0.275 0.5 1.0 57.3 60.0 0.10526316 0.12393117 0.15789473 0.8372093 0.8837209 0.95348835
5 0.0 0.28000003 0.6 1.0 58.1 60.0 0.10344828 0.12400774 0.15789473 0.8372093 0.8848837 0.95348835
6 0.0 0.28333333 0.5 1.0 58.7 60.0 0.10169491 0.12783399 0.1724138 0.8372093 0.88255805 0.95348835
7 0.0 0.2857143 0.42857143 1.0 59.3 61.0 0.10169491 0.12994511 0.1724138 0.8372093 0.88255817 0.94186044
8 0.0 0.3 0.5 1.0 59.9 63.0 0.1 0.1318979 0.16949153 0.8255814 0.877907 0.94186044
9 0.0 0.34444445 0.5555556 1.0 60.2 63.0 0.11290322 0.13298365 0.16949153 0.8255814 0.877907 0.94186044
10 0.0 0.34 0.6 1.0 60.9 64.0 0.11111111 0.13636991 0.16949153 0.8255814 0.877907 0.94186044
11 0.09090909 0.35454544 0.6363636 1.0 61.5 66.0 0.11111111 0.1365646 0.16666667 0.8255814 0.877907 0.94186044
12 0.083333336 0.35 0.5833333 1.0 62.0 66.0 0.11111111 0.13543332 0.16666667 0.8255814 0.8802325 0.94186044
13 0.07692308 0.3461539 0.53846157 1.0 62.5 65.0 0.109375 0.13616624 0.16666667 0.8255814 0.8767443 0.9302326
14 0.14285715 0.35 0.5714286 1.0 63.1 65.0 0.109375 0.13482355 0.16393442 0.8255814 0.87558144 0.9302326
15 0.13333334 0.34666666 0.53333336 1.0 63.7 66.0 0.109375 0.13667852 0.16393442 0.8255814 0.87558144 0.9302326
16 0.125 0.3375 0.5 1.0 64.4 67.0 0.10769231 0.13987622 0.171875 0.8255814 0.87325585 0.9302326
17 0.11764706 0.33529413 0.5294118 1.0 64.9 67.0 0.10769231 0.14039747 0.17741935 0.8255814 0.87325585 0.9302326
18 0.11111111 0.33333334 0.5 1.0 65.5 68.0 0.121212125 0.14363474 0.1875 0.8023256 0.86744183 0.9302326
19 0.10526316 0.32631582 0.5263158 1.0 66.3 69.0 0.121212125 0.14339413 0.1875 0.8023256 0.86744183 0.9302326
20 0.1 0.32500002 0.5 1.0 66.7 69.0 0.121212125 0.14559497 0.203125 0.8023256 0.86744183 0.9302326
21 0.14285715 0.32857144 0.47619048 1.0 67.2 70.0 0.11764706 0.15032735 0.2 0.8023256 0.86744183 0.9302326
22 0.13636364 0.3272727 0.45454547 1.0 67.9 71.0 0.13043478 0.15477806 0.2 0.8023256 0.8639535 0.9302326
23 0.17391305 0.31739125 0.4347826 1.0 68.9 71.0 0.12857144 0.15545319 0.1969697 0.8023256 0.8639535 0.9302326
24 0.16666667 0.32916665 0.45833334 1.0 69.0 72.0 0.12857144 0.15523976 0.1969697 0.8023256 0.86279076 0.9302326
25 0.16 0.332 0.48 1.0 69.4 72.0 0.12676056 0.15579589 0.1969697 0.81395346 0.8639535 0.9302326
26 0.15384616 0.33076924 0.5 1.0 69.9 73.0 0.12676056 0.15763842 0.1969697 0.81395346 0.8662791 0.9302326
27 0.18518518 0.32592592 0.4814815 1.0 70.8 75.0 0.12857144 0.15703824 0.19402985 0.81395346 0.86279076 0.9302326
28 0.17857143 0.31785712 0.4642857 1.0 71.3 76.0 0.12676056 0.15860787 0.19178082 0.8023256 0.86279076 0.9186047
29 0.1724138 0.31034482 0.44827586 1.0 72.3 77.0 0.125 0.1590601 0.1891892 0.7906977 0.8639535 0.9302326
30 0.2 0.31333336 0.43333334 1.0 72.8 77.0 0.125 0.16080658 0.20289855 0.7906977 0.8627907 0.9302326
31 0.19354838 0.31612903 0.41935483 1.0 73.1 77.0 0.125 0.16011491 0.2 0.81395346 0.86162794 0.9302326
32 0.1875 0.3125 0.40625 1.0 73.7 78.0 0.125 0.16574453 0.21428572 0.81395346 0.86046517 0.9302326
33 0.18181819 0.3121212 0.3939394 1.0 74.0 78.0 0.125 0.16498584 0.2112676 0.81395346 0.86046517 0.9302326
34 0.1764706 0.3147059 0.4117647 1.0 74.1 79.0 0.125 0.16740644 0.2112676 0.81395346 0.86046517 0.9302326
35 0.2 0.31714287 0.42857143 1.0 74.4 79.0 0.12328767 0.16930124 0.20833333 0.81395346 0.86046517 0.9302326
36 0.19444445 0.31944445 0.41666666 1.0 74.8 79.0 0.1369863 0.17235337 0.20779221 0.81395346 0.8616279 0.9186047
37 0.21621622 0.32162163 0.4054054 1.0 75.1 80.0 0.1369863 0.17444661 0.21917808 0.81395346 0.8627907 0.9186047
38 0.21052632 0.3210526 0.42105263 1.0 75.3 80.0 0.13513513 0.17534055 0.21917808 0.81395346 0.8639535 0.9186047
39 0.23076923 0.32820514 0.41025642 1.0 75.6 81.0 0.13513513 0.17584643 0.21621622 0.81395346 0.86279076 0.90697676
40 0.225 0.33499998 0.425 1.0 76.0 82.0 0.13333334 0.17493336 0.21621622 0.81395346 0.8639535 0.90697676
41 0.2195122 0.33170733 0.4390244 1.0 76.7 83.0 0.13157895 0.17854676 0.21621622 0.81395346 0.8639535 0.90697676
42 0.21428572 0.3333333 0.42857143 1.0 77.1 83.0 0.14285715 0.17899127 0.21621622 0.81395346 0.8639535 0.90697676
43 0.20930232 0.33255813 0.41860464 1.0 77.7 83.0 0.15584415 0.1801533 0.22666667 0.81395346 0.8651163 0.90697676
44 0.22727273 0.3363636 0.4318182 1.0 78.2 83.0 0.16455697 0.18303064 0.22666667 0.81395346 0.86744195 0.90697676
45 0.22222222 0.34444445 0.42222223 1.0 78.3 83.0 0.16455697 0.1827683 0.22666667 0.81395346 0.86744195 0.90697676
46 0.2173913 0.34565216 0.4347826 1.0 78.9 84.0 0.1625 0.1814417 0.22666667 0.81395346 0.86860466 0.89534885
47 0.21276596 0.3468085 0.44680852 1.0 79.3 84.0 0.17105263 0.18554412 0.22666667 0.81395346 0.86860466 0.89534885
48 0.20833333 0.34166664 0.4375 1.0 79.9 84.0 0.17283951 0.18923576 0.23684211 0.81395346 0.86860466 0.89534885
49 0.20408164 0.34081632 0.4489796 1.0 80.2 84.0 0.17283951 0.18978922 0.23684211 0.81395346 0.8662791 0.89534885
50 0.2 0.34199998 0.44 1.0 80.9 86.0 0.17073171 0.1894488 0.23376623 0.81395346 0.86860466 0.89534885
51 0.19607843 0.3431373 0.43137255 1.0 81.2 86.0 0.17073171 0.189949 0.24358974 0.81395346 0.86744183 0.89534885
52 0.21153846 0.34230772 0.42307693 1.0 81.5 87.0 0.16867469 0.191591 0.24050634 0.81395346 0.8662791 0.89534885
53 0.20754717 0.34716982 0.43396226 1.0 81.6 87.0 0.16666667 0.19253962 0.24050634 0.81395346 0.8662791 0.89534885
54 0.2037037 0.34629628 0.44444445 1.0 81.7 87.0 0.16666667 0.1923023 0.24050634 0.81395346 0.8697675 0.9186047
55 0.21818182 0.3472727 0.43636364 1.0 82.3 87.0 0.16666667 0.19206522 0.2375 0.81395346 0.8697675 0.9186047
56 0.21428572 0.34285712 0.42857143 1.0 83.2 88.0 0.16666667 0.19369909 0.2375 0.8023256 0.86279076 0.9186047
57 0.21052632 0.34210527 0.42105263 1.0 83.4 88.0 0.16666667 0.19439378 0.2375 0.8023256 0.86279076 0.9186047
58 0.20689656 0.34137934 0.43103448 1.0 83.7 88.0 0.16666667 0.19487979 0.2375 0.8023256 0.86279076 0.9186047
59 0.20338982 0.34067795 0.44067797 1.0 83.9 88.0 0.16666667 0.19442625 0.2375 0.8023256 0.86279076 0.9186047
60 0.21666667 0.34499997 0.43333334 1.0 84.2 88.0 0.16470589 0.19380249 0.2375 0.8023256 0.86162794 0.9186047
61 0.21311475 0.34098357 0.4262295 1.0 84.5 88.0 0.1724138 0.19548044 0.2345679 0.8023256 0.86162794 0.9186047
62 0.22580644 0.34354836 0.43548387 1.0 84.6 88.0 0.1724138 0.19643833 0.2345679 0.7906977 0.85930234 0.9186047
