rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.81395346 0.8848837 0.95348835
2 0.0 0.2 0.5 1.0 55.4 56.0 0.10714286 0.11366884 0.14285715 0.81395346 0.88139534 0.95348835
3 0.0 0.2 0.6666667 1.0 56.1 57.0 0.10526316 0.115803145 0.14035088 0.81395346 0.8755814 0.94186044
4 0.0 0.25 0.5 1.0 56.7 58.0 0.10344828 0.11809157 0.14035088 0.81395346 0.8744186 0.94186044
5 0.0 0.26000002 0.6 1.0 57.2 59.0 0.10169491 0.120533764 0.15517241 0.81395346 0.87325585 0.94186044
6 0.0 0.26666668 0.5 1.0 57.9 60.0 0.1 0.12427074 0.15254237 0.81395346 0.8709303 0.94186044
7 0.0 0.27142859 0.42857143 1.0 58.5 61.0 0.09836066 0.12306349 0.15254237 0.81395346 0.8790698 0.96511626
8 0.0 0.275 0.5 1.0 59.2 62.0 0.09677419 0.12499138 0.16666667 0.81395346 0.877907 0.96511626
9 0.0 0.31111112 0.44444445 1.0 59.4 63.0 0.0952381 0.12466828 0.16666667 0.81395346 0.8755814 0.96511626
10 0.0 0.3 0.5 1.0 60.0 64.0 0.09375 0.12682599 0.16666667 0.81395346 0.8755814 0.96511626
11 0.09090909 0.3090909 0.54545456 1.0 60.5 64.0 0.09375 0.13071458 0.16666667 0.81395346 0.8755814 0.96511626
12 0.083333336 0.31666666 0.5 1.0 61.1 65.0 0.092307694 0.12944074 0.16666667 0.81395346 0.87558144 0.96511626
13 0.07692308 0.32307696 0.46153846 1.0 61.5 66.0 0.09090909 0.12863785 0.16393442 0.8023256 0.87558144 0.96511626
14 0.14285715 0.34285715 0.5 1.0 61.9 66.0 0.09090909 0.1278264 0.16393442 0.8023256 0.872093 0.96511626
15 0.2 0.34666666 0.53333336 1.0 62.4 66.0 0.09090909 0.12836708 0.16393442 0.8023256 0.8697675 0.96511626
16 0.1875 0.33125 0.5 1.0 63.3 67.0 0.08955224 0.1343773 0.17741935 0.8023256 0.8697675 0.95348835
17 0.1764706 0.32352942 0.5294118 1.0 63.8 67.0 0.08955224 0.13499692 0.17741935 0.7906977 0.86860466 0.95348835
18 0.22222222 0.32777777 0.5 1.0 64.2 68.0 0.0882353 0.13571161 0.17460318 0.76744187 0.8662791 0.95348835
19 0.21052632 0.3263158 0.5263158 1.0 64.5 68.0 0.092307694 0.13826208 0.17460318 0.75581396 0.8651163 0.95348835
20 0.2 0.34 0.55 1.0 64.6 68.0 0.092307694 0.13804574 0.17460318 0.76744187 0.8662791 0.95348835
21 0.23809524 0.3476191 0.5714286 1.0 65.0 69.0 0.09090909 0.13728248 0.17460318 0.76744187 0.86279076 0.9302326
22 0.22727273 0.3409091 0.54545456 1.0 65.5 69.0 0.10144927 0.14072749 0.1764706 0.81395346 0.8709303 0.9302326
