rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11111112 0.12727273 0.8372093 0.88720924 0.95348835
100 0.26 0.33900002 0.47 1.0 90.5 94.0 0.12790698 0.16453043 0.21348314 0.8023256 0.8581395 0.90697676
200 0.31 0.389 0.445 1.0 95.9 98.0 0.1521739 0.22281449 0.2631579 0.7093023 0.79883724 0.872093
300 0.37 0.42766666 0.47333333 1.0 95.4 100.0 0.20430107 0.27744606 0.3265306 0.68604654 0.79186046 0.8488372
400 0.435 0.4705 0.4975 1.0 92.5 100.0 0.23076923 0.33606648 0.37634408 0.6744186 0.7534884 0.9186047
500 0.48 0.5026 0.524 1.0 89.5 95.0 0.26966292 0.38222212 0.42696628 0.60465115 0.7255814 0.81395346
600 0.5183333 0.5335 0.54833335 1.0 85.3 90.0 0.3218391 0.4235909 0.47058824 0.627907 0.70465124 0.8023256
700 0.54 0.5515714 0.56857145 1.0 81.0 86.0 0.3902439 0.47205144 0.525641 0.5813953 0.66511625 0.7209302
800 0.5525 0.57449996 0.5925 1.0 76.9 80.0 0.45454547 0.5152686 0.58666664 0.5697674 0.6604651 0.7209302
900 0.56777775 0.5956667 0.6155556 1.0 72.5 77.0 0.527027 0.5699728 0.6142857 0.54651165 0.6197674 0.6744186
1000 0.594 0.6169 0.639 1.0 69.3 74.0 0.5492958 0.606383 0.64705884 0.55813956 0.6011628 0.6511628
1100 0.6127273 0.6369091 0.65909094 1.0 66.7 74.0 0.5492958 0.6414618 0.6984127 0.54651165 0.5767442 0.61627907
1200 0.62333333 0.65591663 0.6791667 1.0 63.8 71.0 0.5970149 0.6785085 0.73770493 0.53488374 0.55116284 0.5697674
1300 0.6369231 0.6738462 0.6961538 1.0 61.7 69.0 0.625 0.7145455 0.7758621 0.47674417 0.53720933 0.61627907
1400 0.655 0.6905 0.7135714 1.0 60.1 68.0 0.6557377 0.7429461 0.80701756 0.4651163 0.5372093 0.60465115
1500 0.66866666 0.7069334 0.73066664 1.0 58.6 67.0 0.70689654 0.7695075 0.8545455 0.5 0.5372093 0.59302324
1600 0.678125 0.71975 0.744375 1.0 56.4 63.0 0.74545455 0.80484617 0.8867925 0.4651163 0.5209303 0.5813953
1700 0.6917647 0.7324118 0.7535294 1.0 55.0 63.0 0.7777778 0.82892007 0.8867925 0.4651163 0.5139535 0.5697674
1800 0.7033333 0.74505556 0.76555556 1.0 54.3 62.0 0.7903226 0.84333575 0.90384614 0.45348838 0.5093023 0.55813956
1900 0.7168421 0.7560527 0.7763158 1.0 53.3 61.0 0.8032787 0.86560905 0.92156863 0.43023255 0.5069767 0.54651165
2000 0.729 0.7663001 0.7845 1.0 52.5 59.0 0.8245614 0.8842721 0.9591837 0.43023255 0.5034884 0.5697674
2100 0.74142855 0.7758095 0.7923809 1.0 52.0 57.0 0.83928573 0.89362067 0.9591837 0.43023255 0.49302325 0.54651165
2200 0.7522727 0.78504544 0.8009091 1.0 51.9 57.0 0.8545455 0.89718753 0.9591837 0.43023255 0.494186 0.55813956
2300 0.7621739 0.793 0.8086957 1.0 51.0 56.0 0.8545455 0.91768646 1.0 0.43023255 0.4965116 0.5697674
2400 0.77166665 0.80058336 0.81666666 1.0 50.6 55.0 0.8703704 0.9242193 1.0 0.43023255 0.4930233 0.55813956
2500 0.7804 0.80784 0.824 1.0 50.1 54.0 0.9056604 0.93707645 1.0 0.43023255 0.4860465 0.55813956
2600 0.78846157 0.81426924 0.83076924 1.0 49.6 54.0 0.9056604 0.94863164 1.0 0.43023255 0.48372096 0.55813956
2700 0.7962963 0.8205927 0.837037 1.0 49.4 54.0 0.9056604 0.9544589 1.0 0.43023255 0.48139533 0.55813956
2800 0.8035714 0.8266072 0.8428571 1.0 49.1 54.0 0.9056604 0.9605848 1.0 0.43023255 0.4813954 0.5697674
2900 0.8103448 0.83227575 0.84827584 1.0 48.9 54.0 0.9074074 0.9641365 1.0 0.43023255 0.477907 0.53488374
3000 0.81666666 0.8376333 0.85333335 1.0 48.7 54.0 0.9259259 0.9699438 1.0 0.43023255 0.47674417 0.53488374
3100 0.82258064 0.8427097 0.85806453 1.0 48.6 53.0 0.9411765 0.9736516 1.0 0.43023255 0.47674417 0.5116279
3200 0.828125 0.84746873 0.8625 1.0 48.4 52.0 0.95454544 0.9793482 1.0 0.43023255 0.4732558 0.5
3300 0.8333333 0.8520304 0.8666667 1.0 48.2 52.0 0.95454544 0.9833511 1.0 0.43023255 0.4732558 0.5
3400 0.8382353 0.85620594 0.87058824 1.0 48.1 52.0 0.95454544 0.9875251 1.0 0.43023255 0.46744186 0.4883721
3500 0.8422857 0.86025715 0.8742857 1.0 48.1 52.0 0.95454544 0.9875251 1.0 0.41860464 0.46627903 0.4883721
3600 0.8463889 0.8640555 0.87777776 1.0 48.1 52.0 0.95454544 0.9896084 1.0 0.41860464 0.46627903 0.4883721
3700 0.8502703 0.8676216 0.8810811 1.0 47.8 50.0 0.9767442 0.99567443 1.0 0.41860464 0.46279067 0.4883721
3800 0.85394734 0.87105256 0.8842105 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
3900 0.8576923 0.87435895 0.8871795 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4000 0.86125 0.87749994 0.89 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4100 0.86463416 0.8804878 0.8926829 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4200 0.86785716 0.8833095 0.8952381 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4300 0.87093025 0.88602334 0.89767444 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4400 0.87386364 0.8886136 0.9 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4616279 0.4883721
4500 0.87666667 0.89104444 0.9022222 1.0 47.7 50.0 0.98 0.99799997 1.0 0.40697673 0.4604651 0.4883721
4600 0.8793478 0.8933913 0.90434784 1.0 47.6 50.0 1.0 1.0 1.0 0.40697673 0.4604651 0.4883721
