rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.88720924 0.95348835
100 0.29 0.38200003 0.49 1.0 93.9 98.0 0.20408164 0.24305606 0.2631579 0.76744187 0.8511628 0.89534885
200 0.38 0.45100003 0.505 1.0 101.2 109.0 0.28431374 0.3238611 0.3809524 0.7790698 0.8302326 0.89534885
300 0.44666666 0.504 0.5833333 1.0 103.2 108.0 0.3490566 0.39144644 0.44339624 0.7790698 0.83953494 0.90697676
400 0.4875 0.55324996 0.61 1.0 101.9 106.0 0.41509435 0.455476 0.50476193 0.7790698 0.833721 0.8604651
500 0.53 0.5868 0.64 1.0 99.3 108.0 0.46 0.52018064 0.5925926 0.74418604 0.8023256 0.8604651
600 0.565 0.6193334 0.66333336 1.0 96.7 104.0 0.4950495 0.56886286 0.625 0.7209302 0.7953488 0.88372093
700 0.6042857 0.64414287 0.6857143 1.0 94.8 102.0 0.5392157 0.60879344 0.65555555 0.7209302 0.7930233 0.90697676
800 0.645 0.66537505 0.69625 1.0 92.5 101.0 0.5816327 0.64504075 0.7011494 0.6976744 0.79418606 0.872093
900 0.6611111 0.68322223 0.7088889 1.0 90.3 98.0 0.59183675 0.67773914 0.75 0.7209302 0.7813953 0.8604651
1000 0.675 0.70070004 0.727 1.0 87.6 96.0 0.6451613 0.71696866 0.76829267 0.7209302 0.7755814 0.88372093
1100 0.69363636 0.7157272 0.7418182 1.0 85.2 94.0 0.6931818 0.7474283 0.8101266 0.7209302 0.77441853 0.8372093
1200 0.7125 0.7313334 0.7583333 1.0 83.6 92.0 0.67391306 0.76963615 0.82051283 0.7209302 0.76627904 0.8255814
1300 0.72923076 0.7452308 0.77076924 1.0 82.2 90.0 0.6888889 0.79517835 0.8831169 0.7093023 0.7546512 0.8372093
1400 0.74214286 0.75792855 0.7814286 1.0 81.2 90.0 0.74157304 0.8175529 0.9054054 0.7093023 0.75813955 0.8488372
1500 0.754 0.76960003 0.79066664 1.0 80.2 90.0 0.77011496 0.8380906 0.9577465 0.6976744 0.7511628 0.8255814
1600 0.765 0.7800625 0.799375 1.0 78.5 85.0 0.7882353 0.8648263 0.98571426 0.68604654 0.7453488 0.8023256
1700 0.7764706 0.78970593 0.80764705 1.0 77.6 84.0 0.81707317 0.8820027 0.98571426 0.68604654 0.7430233 0.7906977
1800 0.7872222 0.7986666 0.8183333 1.0 77.4 82.0 0.83116883 0.88911664 0.98571426 0.68604654 0.7372092 0.7790698
1900 0.79421055 0.80673695 0.82789475 1.0 76.5 81.0 0.84210527 0.9005373 0.98571426 0.6976744 0.7406976 0.7906977
2000 0.803 0.8144 0.8365 1.0 75.9 79.0 0.85897434 0.90962744 0.98571426 0.6976744 0.7406976 0.7790698
2100 0.81095237 0.82157135 0.8442857 1.0 74.9 79.0 0.85333335 0.92435044 0.98571426 0.68604654 0.73953485 0.7790698
2200 0.81772727 0.8290455 0.85136366 1.0 75.0 79.0 0.82051283 0.92356193 0.98571426 0.68604654 0.738372 0.7790698
2300 0.82304347 0.8351739 0.8578261 1.0 74.7 80.0 0.84615386 0.93026745 0.98571426 0.68604654 0.73488367 0.7790698
2400 0.8258333 0.8409583 0.86375 1.0 73.8 80.0 0.886076 0.94118154 0.98571426 0.6976744 0.738372 0.7790698
2500 0.8292 0.8463599 0.8692 1.0 73.5 78.0 0.8974359 0.94441223 0.98571426 0.68604654 0.73488367 0.7790698
2600 0.835 0.8517307 0.87423074 1.0 73.4 78.0 0.8974359 0.9456232 0.98571426 0.68604654 0.7337209 0.7790698
2700 0.84074074 0.85681486 0.8785185 1.0 73.2 76.0 0.91549295 0.9494486 1.0 0.68604654 0.7360465 0.7790698
2800 0.8453571 0.86139286 0.88285714 1.0 72.8 77.0 0.9220779 0.9562033 1.0 0.68604654 0.73255813 0.7790698
2900 0.85 0.8657241 0.88689655 1.0 72.1 76.0 0.9305556 0.96835023 1.0 0.68604654 0.73255813 0.7790698
3000 0.855 0.8699667 0.89066666 1.0 71.8 76.0 0.93421054 0.9723848 1.0 0.68604654 0.7360465 0.7790698
3100 0.85967743 0.8738065 0.89419353 1.0 72.0 77.0 0.9350649 0.9711401 1.0 0.68604654 0.73488367 0.7790698
3200 0.86375 0.8773125 0.8975 1.0 71.9 78.0 0.9230769 0.97272074 1.0 0.68604654 0.73604643 0.7790698
3300 0.8678788 0.88075763 0.90060604 1.0 71.7 78.0 0.9230769 0.97679555 1.0 0.68604654 0.73604643 0.7790698
3400 0.8717647 0.88405883 0.9035294 1.0 71.6 77.0 0.943662 0.97929305 1.0 0.68604654 0.73720926 0.7790698
3500 0.87542856 0.88714284 0.9062857 1.0 71.4 76.0 0.943662 0.9820105 1.0 0.68604654 0.73720926 0.7790698
3600 0.8788889 0.89019454 0.9088889 1.0 71.3 75.0 0.943662 0.98329127 1.0 0.68604654 0.73604643 0.7790698
3700 0.88216215 0.893081 0.9113513 1.0 71.2 75.0 0.943662 0.9846991 1.0 0.68604654 0.73604643 0.7790698
3800 0.88526314 0.8957368 0.9136842 1.0 71.1 75.0 0.943662 0.9874018 1.0 0.68604654 0.73604643 0.7790698
3900 0.8882051 0.89828205 0.9158974 1.0 71.1 75.0 0.943662 0.9874018 1.0 0.68604654 0.73604643 0.7790698
4000 0.891 0.900725 0.918 1.0 71.0 75.0 0.95714283 0.98874986 1.0 0.68604654 0.73604643 0.7790698
4100 0.8936585 0.90312195 0.92 1.0 70.9 75.0 0.95714283 0.9900652 1.0 0.68604654 0.73604643 0.7790698
4200 0.8959524 0.90535706 0.92190474 1.0 70.9 75.0 0.95714283 0.9900652 1.0 0.68604654 0.73604643 0.7790698
4300 0.89790696 0.90748847 0.92372096 1.0 71.0 75.0 0.95714283 0.98874986 1.0 0.68604654 0.73604643 0.7790698
4400 0.8997727 0.90949994 0.92545456 1.0 70.8 75.0 0.9710145 0.99145234 1.0 0.68604654 0.73604643 0.7790698
4500 0.902 0.9114666 0.9271111 1.0 70.8 75.0 0.9710145 0.99145234 1.0 0.68604654 0.73604643 0.7790698
4600 0.903913 0.91334784 0.9286957 1.0 70.7 75.0 0.9710145 0.9928037 1.0 0.68604654 0.73604643 0.7790698
