rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.81395346 0.8848837 0.95348835
100 0.24 0.348 0.47 1.0 81.9 89.0 0.10843374 0.16840972 0.20689656 0.7209302 0.8197675 0.89534885
200 0.315 0.41500002 0.49 1.0 77.2 83.0 0.16 0.22196355 0.2857143 0.5813953 0.7023256 0.8023256
300 0.38333333 0.45666665 0.52666664 1.0 68.0 76.0 0.23076923 0.30135304 0.3939394 0.5 0.5883721 0.7209302
400 0.4575 0.51275 0.5675 1.0 56.5 63.0 0.3015873 0.38503563 0.4814815 0.39534885 0.46976742 0.55813956
500 0.494 0.5566 0.604 1.0 48.3 57.0 0.40384614 0.4715864 0.59090906 0.3139535 0.4093023 0.59302324
600 0.54333335 0.6 0.64166665 1.0 41.1 48.0 0.4878049 0.57728577 0.7647059 0.30232558 0.3569767 0.45348838
700 0.5928571 0.64014286 0.6785714 1.0 34.7 42.0 0.6060606 0.6929321 0.8965517 0.22093023 0.31395346 0.39534885
800 0.63875 0.67675006 0.70875 1.0 32.8 41.0 0.6571429 0.7475204 0.962963 0.20930232 0.29418603 0.39534885
900 0.67 0.70466673 0.73444444 1.0 29.9 36.0 0.71428573 0.82562196 1.0 0.19767442 0.28023258 0.3372093
1000 0.696 0.7297 0.752 1.0 28.4 34.0 0.7692308 0.8754984 1.0 0.19767442 0.255814 0.3139535
1100 0.72 0.7517272 0.77181816 1.0 27.6 34.0 0.7692308 0.9048325 1.0 0.18604651 0.24767442 0.3139535
1200 0.7416667 0.77091676 0.79083335 1.0 26.9 33.0 0.8333333 0.92690504 1.0 0.18604651 0.24418607 0.3139535
1300 0.76153845 0.788 0.8069231 1.0 26.5 33.0 0.87096775 0.9441385 1.0 0.18604651 0.24418607 0.3139535
1400 0.7771429 0.8026428 0.8207143 1.0 26.3 33.0 0.87096775 0.95202875 1.0 0.18604651 0.24534884 0.3255814
1500 0.79 0.8151334 0.8326667 1.0 25.8 32.0 0.9 0.9695548 1.0 0.18604651 0.24302325 0.3139535
1600 0.8025 0.82612497 0.843125 1.0 25.5 32.0 0.9310345 0.9815868 1.0 0.18604651 0.24302325 0.3139535
1700 0.81352943 0.83623534 0.8523529 1.0 25.4 32.0 0.9310345 0.985433 1.0 0.18604651 0.24302325 0.3139535
1800 0.8238889 0.8453334 0.8605555 1.0 25.4 32.0 0.9310345 0.985433 1.0 0.18604651 0.24302325 0.3139535
1900 0.8331579 0.85347366 0.8678947 1.0 25.4 32.0 0.9310345 0.985433 1.0 0.18604651 0.24302325 0.3139535
2000 0.8415 0.86079997 0.8745 1.0 25.4 32.0 0.9310345 0.985433 1.0 0.18604651 0.24302325 0.3139535
2100 0.84809524 0.8672857 0.8804762 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2200 0.855 0.8733181 0.8859091 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2300 0.86130434 0.8787826 0.89086956 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24186048 0.3255814
2400 0.8670833 0.8837916 0.8954167 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2500 0.8724 0.88843995 0.8996 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2600 0.8773077 0.8927307 0.9034615 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2700 0.88185185 0.8967037 0.907037 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2800 0.88607144 0.90035725 0.9103571 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24069767 0.3139535
2900 0.89 0.90375865 0.9134483 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24186048 0.3255814
3000 0.8936667 0.9069667 0.9163333 1.0 25.1 32.0 0.96875 0.996875 1.0 0.1744186 0.24186048 0.3255814
3100 0.89709675 0.9099355 0.9190323 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3200 0.9003125 0.91274995 0.9215625 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3300 0.9033333 0.91539395 0.9239394 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3400 0.90617645 0.9178823 0.9261765 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3500 0.90885717 0.9202286 0.9282857 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3600 0.9113889 0.92244446 0.93027776 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3700 0.9137838 0.9245405 0.93216217 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3800 0.91605264 0.92652637 0.9339474 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
3900 0.91820514 0.92841023 0.93564105 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4000 0.92025 0.9302 0.93725 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4100 0.92219514 0.9319025 0.9387805 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4200 0.9240476 0.9335238 0.9402381 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4300 0.925814 0.93506974 0.9416279 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4400 0.9275 0.93654555 0.94295454 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4500 0.9291111 0.93795556 0.9442222 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4600 0.9306522 0.93930435 0.9454348 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4700 0.93212765 0.9405958 0.9465957 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
4800 0.93354166 0.9418334 0.9477083 1.0 25.0 31.0 1.0 1.0 1.0 0.1744186 0.2395349 0.30232558
