rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
2 0.0 0.5 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
3 0.33333334 0.4666667 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8883721 0.94186044
4 0.25 0.475 0.75 1.0 92.0 92.0 0.20652173 0.25543478 0.3152174 0.8255814 0.8883721 0.94186044
5 0.2 0.48000002 0.8 1.0 92.0 92.0 0.20652173 0.25543478 0.3152174 0.8255814 0.8860465 0.94186044
6 0.16666667 0.5 0.8333333 1.0 92.0 92.0 0.20652173 0.25543478 0.3152174 0.8255814 0.8860465 0.94186044
7 0.14285715 0.47142854 0.85714287 1.0 92.0 92.0 0.20652173 0.25652176 0.3152174 0.8255814 0.89069766 0.95348835
8 0.125 0.4625 0.875 1.0 92.0 92.0 0.20652173 0.25652176 0.3152174 0.8255814 0.8872094 0.94186044
9 0.22222222 0.47777778 0.7777778 1.0 92.0 92.0 0.20652173 0.2576087 0.3152174 0.8255814 0.8872094 0.94186044
10 0.2 0.49 0.8 1.0 91.9 92.0 0.20879121 0.25783566 0.3152174 0.8255814 0.8860466 0.94186044
11 0.18181819 0.5 0.8181818 1.0 91.9 92.0 0.20879121 0.25783566 0.3152174 0.8255814 0.8872093 0.94186044
12 0.25 0.53333336 0.75 1.0 91.9 92.0 0.20879121 0.25783566 0.3152174 0.8255814 0.8872093 0.94186044
13 0.23076923 0.5307692 0.7692308 1.0 91.9 92.0 0.21978022 0.2621954 0.3152174 0.8255814 0.8860466 0.94186044
14 0.21428572 0.5214286 0.78571427 1.0 91.9 92.0 0.21978022 0.26436934 0.32608697 0.8255814 0.88488376 0.94186044
15 0.2 0.5133333 0.73333335 1.0 91.9 92.0 0.21978022 0.2654563 0.32608697 0.8255814 0.88139546 0.94186044
16 0.25 0.51875 0.6875 1.0 91.9 92.0 0.21978022 0.26654324 0.32608697 0.8255814 0.88139546 0.94186044
17 0.29411766 0.5235294 0.7058824 1.0 91.9 92.0 0.21978022 0.2676302 0.32608697 0.8255814 0.88139546 0.94186044
18 0.2777778 0.5277778 0.6666667 1.0 91.9 92.0 0.21978022 0.26871714 0.32608697 0.8255814 0.88255817 0.94186044
19 0.31578946 0.53157896 0.68421054 1.0 91.9 92.0 0.21978022 0.2698041 0.32608697 0.8255814 0.88255817 0.94186044
20 0.35 0.525 0.65 1.0 91.9 92.0 0.21978022 0.2698041 0.32608697 0.8255814 0.88255817 0.94186044
21 0.3809524 0.52380955 0.6666667 1.0 91.8 92.0 0.21978022 0.27124938 0.32967034 0.8255814 0.883721 0.94186044
22 0.36363637 0.5181818 0.6818182 1.0 91.8 92.0 0.21978022 0.27233633 0.32967034 0.8255814 0.8825582 0.94186044
23 0.3478261 0.5173913 0.6956522 1.0 91.8 92.0 0.21978022 0.27233633 0.32967034 0.8255814 0.8825582 0.94186044
24 0.33333334 0.5125 0.6666667 1.0 91.8 92.0 0.21978022 0.27451026 0.32967034 0.8255814 0.8825582 0.94186044
25 0.36 0.51199996 0.64 1.0 91.8 92.0 0.21978022 0.27669615 0.34065935 0.8255814 0.88139546 0.94186044
26 0.34615386 0.50769234 0.65384614 1.0 91.8 92.0 0.21978022 0.2777831 0.34065935 0.8255814 0.8790698 0.94186044
27 0.33333334 0.5111111 0.6296296 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8790698 0.94186044
28 0.35714287 0.5214286 0.64285713 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8790698 0.94186044
29 0.3448276 0.51724136 0.6551724 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8779071 0.94186044
30 0.33333334 0.52666664 0.6333333 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8779071 0.94186044
31 0.32258064 0.53548384 0.6451613 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8779071 0.94186044
32 0.34375 0.54375 0.65625 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.8779071 0.94186044
33 0.36363637 0.5424242 0.6666667 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.87558144 0.9302326
34 0.3529412 0.5411765 0.6764706 1.0 91.8 92.0 0.21978022 0.27887005 0.34065935 0.8255814 0.87558144 0.9302326
35 0.37142858 0.5428571 0.6571429 1.0 91.8 92.0 0.21978022 0.279957 0.34065935 0.8255814 0.87558144 0.9302326
36 0.3611111 0.54444444 0.6388889 1.0 91.8 92.0 0.23076923 0.28214285 0.34065935 0.8255814 0.87558144 0.9302326
37 0.35135135 0.5459459 0.6486486 1.0 91.8 92.0 0.23076923 0.28322983 0.34065935 0.8255814 0.87558144 0.9302326
38 0.36842105 0.5473684 0.6315789 1.0 91.8 92.0 0.23076923 0.28322983 0.34065935 0.8255814 0.8744186 0.9302326
39 0.3846154 0.548718 0.64102566 1.0 91.8 92.0 0.23076923 0.28540373 0.34065935 0.8255814 0.87558144 0.94186044
