rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
2 0.0 0.5 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
3 0.33333334 0.4666667 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8883721 0.94186044
4 0.25 0.475 0.75 1.0 92.0 92.0 0.20652173 0.25543478 0.3152174 0.8255814 0.8883721 0.94186044
5 0.2 0.48000002 0.8 1.0 92.0 92.0 0.20652173 0.25543478 0.3152174 0.8255814 0.8860465 0.94186044
6 0.16666667 0.5 0.8333333 1.0 91.9 92.0 0.20879121 0.25566173 0.3152174 0.8255814 0.8860465 0.94186044
7 0.14285715 0.47142854 0.85714287 1.0 91.7 92.0 0.21111111 0.25614455 0.3152174 0.8255814 0.8860465 0.94186044
8 0.125 0.4625 0.875 1.0 91.6 92.0 0.21348314 0.25638175 0.3152174 0.8255814 0.88139546 0.94186044
9 0.22222222 0.47777778 0.7777778 1.0 91.6 92.0 0.21348314 0.25746873 0.3152174 0.8255814 0.88139546 0.94186044
10 0.2 0.49 0.8 1.0 91.4 92.0 0.2159091 0.2580219 0.3152174 0.81395346 0.88023263 0.94186044
11 0.18181819 0.5 0.8181818 1.0 91.3 92.0 0.2159091 0.25833935 0.3152174 0.81395346 0.88023263 0.94186044
12 0.25 0.53333336 0.75 1.0 91.3 92.0 0.2159091 0.25833935 0.3152174 0.81395346 0.88023263 0.94186044
13 0.23076923 0.5307692 0.7692308 1.0 91.0 92.0 0.21839081 0.26025975 0.3152174 0.7790698 0.8767443 0.94186044
14 0.21428572 0.5214286 0.78571427 1.0 90.8 92.0 0.21839081 0.26196784 0.31868133 0.7790698 0.8744186 0.94186044
15 0.2 0.5133333 0.73333335 1.0 90.7 92.0 0.22093023 0.26330873 0.31868133 0.7790698 0.8709303 0.94186044
16 0.25 0.5125 0.6875 1.0 90.6 92.0 0.22093023 0.26470095 0.31868133 0.7790698 0.8697675 0.94186044
17 0.29411766 0.5176471 0.7058824 1.0 90.4 92.0 0.22093023 0.2664106 0.32222223 0.7790698 0.86744195 0.9186047
18 0.2777778 0.52222216 0.6666667 1.0 90.3 92.0 0.22093023 0.26780838 0.32222223 0.7790698 0.86744195 0.9186047
19 0.31578946 0.5263158 0.68421054 1.0 90.2 92.0 0.22093023 0.2691819 0.32222223 0.7790698 0.86744195 0.9186047
20 0.35 0.52000004 0.65 1.0 89.9 92.0 0.22093023 0.27012414 0.32222223 0.7790698 0.86744195 0.9186047
21 0.3809524 0.5190476 0.6666667 1.0 89.7 92.0 0.22093023 0.27083096 0.3258427 0.7790698 0.86744195 0.9186047
22 0.36363637 0.51363635 0.6818182 1.0 89.6 92.0 0.22093023 0.27223712 0.3258427 0.7790698 0.8662791 0.9186047
23 0.3478261 0.51304346 0.6956522 1.0 89.5 92.0 0.22093023 0.27254766 0.3258427 0.7790698 0.8662791 0.9186047
24 0.33333334 0.5083333 0.6666667 1.0 89.4 92.0 0.22093023 0.27395207 0.3258427 0.7790698 0.8662791 0.9186047
25 0.32 0.50399995 0.64 1.0 89.2 92.0 0.22352941 0.27566925 0.32954547 0.7790698 0.8651163 0.9186047
26 0.30769232 0.49615383 0.65384614 1.0 88.9 92.0 0.22352941 0.2766256 0.32954547 0.7790698 0.86046517 0.9186047
27 0.2962963 0.49629626 0.6296296 1.0 88.7 92.0 0.22352941 0.27833384 0.32954547 0.7790698 0.86046517 0.9186047
28 0.32142857 0.5071429 0.64285713 1.0 88.6 92.0 0.22352941 0.27863348 0.32954547 0.7790698 0.86046517 0.9186047
29 0.31034482 0.5034483 0.6551724 1.0 88.5 92.0 0.22352941 0.2789399 0.32954547 0.7790698 0.8593024 0.9186047
30 0.33333334 0.5133333 0.6333333 1.0 88.4 92.0 0.22352941 0.27930078 0.32954547 0.7790698 0.8593024 0.9186047
31 0.3548387 0.5258064 0.6451613 1.0 88.3 92.0 0.22352941 0.2795817 0.32954547 0.7790698 0.8593024 0.9186047
32 0.375 0.53125 0.65625 1.0 88.2 92.0 0.22352941 0.27985635 0.32954547 0.7790698 0.8569768 0.9186047
33 0.3939394 0.530303 0.6666667 1.0 88.1 91.0 0.22352941 0.2801908 0.32954547 0.7790698 0.85465115 0.90697676
34 0.38235295 0.5294118 0.6764706 1.0 87.9 90.0 0.22352941 0.28081357 0.32954547 0.7790698 0.85465115 0.90697676
35 0.4 0.5314286 0.6571429 1.0 87.9 90.0 0.22352941 0.28194994 0.32954547 0.7790698 0.85465115 0.90697676
36 0.3888889 0.5333333 0.6388889 1.0 87.9 90.0 0.23529412 0.28425002 0.32954547 0.7790698 0.85465115 0.90697676
37 0.3783784 0.5351351 0.6486486 1.0 87.7 90.0 0.23529412 0.286052 0.33333334 0.7790698 0.8523256 0.90697676
38 0.39473686 0.5368421 0.6315789 1.0 87.7 90.0 0.23529412 0.286052 0.33333334 0.7790698 0.8511628 0.90697676
39 0.41025642 0.53846157 0.64102566 1.0 87.6 89.0 0.23529412 0.2875504 0.33333334 0.7790698 0.8500001 0.90697676
