rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.25652173 0.3152174 0.8255814 0.88953483 0.94186044
2 0.0 0.5 1.0 1.0 91.9 92.0 0.20652173 0.25679645 0.3152174 0.8255814 0.8883721 0.94186044
3 0.33333334 0.4666667 1.0 1.0 91.9 92.0 0.20652173 0.25897035 0.3152174 0.8255814 0.8860465 0.94186044
4 0.25 0.475 0.75 1.0 91.9 92.0 0.2173913 0.2633182 0.32608697 0.8255814 0.88488376 0.94186044
5 0.2 0.48000002 0.8 1.0 91.8 92.0 0.2173913 0.26356903 0.32608697 0.81395346 0.88139534 0.94186044
6 0.16666667 0.5 0.8333333 1.0 91.8 92.0 0.22826087 0.26574296 0.32608697 0.81395346 0.88139534 0.94186044
7 0.14285715 0.47142854 0.85714287 1.0 91.7 92.0 0.22826087 0.26823938 0.32608697 0.81395346 0.877907 0.9302326
8 0.125 0.4625 0.875 1.0 91.6 92.0 0.22826087 0.26859772 0.32967034 0.8255814 0.8767443 0.9302326
9 0.22222222 0.48888892 0.7777778 1.0 91.6 92.0 0.22826087 0.26969662 0.32967034 0.8255814 0.87558144 0.9302326
10 0.2 0.49 0.8 1.0 91.6 92.0 0.22826087 0.27187052 0.32967034 0.81395346 0.87558144 0.9302326
11 0.18181819 0.5 0.8181818 1.0 91.6 92.0 0.23913044 0.27405638 0.32967034 0.81395346 0.87558144 0.9302326
12 0.25 0.5333333 0.75 1.0 91.6 92.0 0.23913044 0.27514333 0.32967034 0.81395346 0.87674415 0.9302326
13 0.23076923 0.5307692 0.6923077 1.0 91.5 92.0 0.23913044 0.27761588 0.32967034 0.7906977 0.8744186 0.9302326
14 0.21428572 0.5285714 0.71428573 1.0 91.5 92.0 0.23913044 0.27871478 0.32967034 0.7906977 0.8744186 0.9302326
15 0.2 0.5266667 0.6666667 1.0 91.4 92.0 0.24175824 0.28006452 0.32967034 0.7906977 0.8744186 0.9302326
16 0.25 0.525 0.6875 1.0 91.4 92.0 0.24175824 0.28225037 0.34065935 0.7906977 0.877907 0.9302326
17 0.29411766 0.52941173 0.64705884 1.0 91.4 92.0 0.24175824 0.28333732 0.34065935 0.7906977 0.877907 0.9302326
18 0.2777778 0.5388889 0.6666667 1.0 91.4 92.0 0.24175824 0.28443623 0.34065935 0.7906977 0.877907 0.9302326
19 0.31578946 0.54210526 0.68421054 1.0 91.4 92.0 0.24175824 0.28553513 0.34065935 0.7906977 0.877907 0.9302326
20 0.35 0.54 0.65 1.0 91.4 92.0 0.24175824 0.28772098 0.34065935 0.7906977 0.88023263 0.94186044
21 0.3809524 0.53809524 0.6666667 1.0 91.3 92.0 0.24175824 0.28915432 0.35164836 0.7906977 0.8790698 0.9302326
22 0.36363637 0.53181815 0.6818182 1.0 91.3 92.0 0.25274727 0.29353794 0.35164836 0.7906977 0.8790698 0.9302326
23 0.3478261 0.5347826 0.6956522 1.0 91.3 92.0 0.25274727 0.29463688 0.35164836 0.7906977 0.8790698 0.9302326
24 0.33333334 0.53333336 0.7083333 1.0 91.3 92.0 0.25274727 0.29573578 0.35164836 0.7906977 0.8790698 0.9302326
25 0.32 0.532 0.68 1.0 91.3 92.0 0.25274727 0.29902056 0.35164836 0.7906977 0.88023263 0.9302326
26 0.30769232 0.52692306 0.6923077 1.0 91.2 92.0 0.25274727 0.30046135 0.36263737 0.7906977 0.88488376 0.95348835
27 0.2962963 0.5259259 0.6666667 1.0 91.2 92.0 0.25274727 0.30263525 0.36263737 0.7790698 0.883721 0.95348835
28 0.32142857 0.53571427 0.6785714 1.0 91.2 92.0 0.25274727 0.30373415 0.36263737 0.7790698 0.883721 0.95348835
29 0.31034482 0.53103447 0.6896552 1.0 91.1 92.0 0.25555557 0.30511388 0.36263737 0.7790698 0.88139546 0.95348835
30 0.33333334 0.53333336 0.6666667 1.0 90.9 92.0 0.25555557 0.3069008 0.36263737 0.7790698 0.88139534 0.95348835
31 0.3548387 0.5451613 0.67741936 1.0 90.9 92.0 0.25555557 0.3069008 0.36263737 0.7790698 0.88139534 0.95348835
32 0.375 0.553125 0.6875 1.0 90.9 92.0 0.25555557 0.3069008 0.36263737 0.7790698 0.88139534 0.95348835
33 0.3939394 0.5545455 0.6969697 1.0 90.7 92.0 0.25555557 0.30874452 0.36666667 0.7790698 0.88023263 0.95348835
34 0.38235295 0.5529412 0.7058824 1.0 90.6 92.0 0.25555557 0.31020516 0.36666667 0.7906977 0.8790698 0.95348835
35 0.4 0.5542857 0.6857143 1.0 90.5 92.0 0.25555557 0.31164962 0.36666667 0.7906977 0.8790698 0.95348835
36 0.41666666 0.55833334 0.6666667 1.0 90.5 92.0 0.25555557 0.31384772 0.36666667 0.7906977 0.8790698 0.95348835
37 0.4054054 0.55945945 0.6756757 1.0 90.5 92.0 0.25555557 0.3149466 0.36666667 0.7906977 0.87674415 0.95348835
38 0.42105263 0.5605263 0.65789473 1.0 90.3 92.0 0.25555557 0.3167412 0.36666667 0.7906977 0.87674415 0.95348835
39 0.43589744 0.56410253 0.6666667 1.0 90.3 92.0 0.25555557 0.3178648 0.36666667 0.7906977 0.87674415 0.95348835
40 0.425 0.55499995 0.675 1.0 90.1 92.0 0.25842696 0.32181862 0.37777779 0.7906977 0.87325585 0.94186044
41 0.41463414 0.55609757 0.68292683 1.0 89.9 92.0 0.26136363 0.3235769 0.37777779 0.7790698 0.8720931 0.94186044
42 0.42857143 0.5547619 0.6904762 1.0 89.8 92.0 0.26136363 0.32723933 0.37777779 0.7790698 0.8686048 0.94186044
43 0.41860464 0.5558139 0.6976744 1.0 89.8 92.0 0.26136363 0.32723933 0.37777779 0.7790698 0.8686048 0.94186044
44 0.4090909 0.5568182 0.70454544 1.0 89.7 92.0 0.26136363 0.32877946 0.37777779 0.7790698 0.8686048 0.94186044
45 0.42222223 0.55333334 0.7111111 1.0 89.7 92.0 0.27272728 0.33102697 0.37777779 0.7790698 0.8697675 0.94186044
46 0.41304347 0.5521739 0.7173913 1.0 89.7 92.0 0.27272728 0.33211392 0.37777779 0.7790698 0.8686048 0.94186044
47 0.42553192 0.55531913 0.70212764 1.0 89.7 92.0 0.27272728 0.33211392 0.37777779 0.7790698 0.8662791 0.94186044
48 0.4375 0.55833334 0.7083333 1.0 89.7 92.0 0.27272728 0.33211392 0.37777779 0.7790698 0.86860466 0.94186044
49 0.4489796 0.56122446 0.71428573 1.0 89.7 92.0 0.27272728 0.33320087 0.37777779 0.7906977 0.8697675 0.94186044
50 0.46 0.562 0.72 1.0 89.7 92.0 0.27272728 0.334312 0.37777779 0.7906977 0.8697675 0.94186044
51 0.4509804 0.56274515 0.7254902 1.0 89.7 92.0 0.2840909 0.3376967 0.37777779 0.7906977 0.8697675 0.94186044
52 0.44230768 0.5673077 0.7307692 1.0 89.7 92.0 0.2840909 0.3388078 0.3888889 0.7906977 0.8697675 0.94186044
53 0.4528302 0.56792456 0.7358491 1.0 89.6 92.0 0.2840909 0.34145477 0.39325842 0.7906977 0.8697675 0.94186044
54 0.46296296 0.57222223 0.7407407 1.0 89.6 92.0 0.2840909 0.34145477 0.39325842 0.7906977 0.8697675 0.94186044
55 0.47272727 0.5727273 0.72727275 1.0 89.5 92.0 0.2840909 0.34180886 0.39325842 0.7906977 0.8697675 0.94186044
56 0.4642857 0.5714286 0.73214287 1.0 89.2 91.0 0.2840909 0.34297612 0.39772728 0.8255814 0.86860466 0.94186044
57 0.45614034 0.56842107 0.71929824 1.0 89.2 91.0 0.2840909 0.3452361 0.4090909 0.8255814 0.86279076 0.90697676
58 0.46551725 0.5706896 0.7241379 1.0 89.2 91.0 0.2840909 0.3452361 0.4090909 0.8255814 0.8651163 0.90697676
59 0.47457626 0.5677966 0.7118644 1.0 89.1 91.0 0.28735632 0.34779787 0.42045453 0.81395346 0.8639535 0.90697676
60 0.46666667 0.57000005 0.71666664 1.0 89.1 91.0 0.28735632 0.35116893 0.4318182 0.81395346 0.8639535 0.90697676
61 0.45901638 0.5737705 0.72131145 1.0 89.1 91.0 0.28735632 0.35229254 0.4318182 0.81395346 0.86744195 0.90697676
62 0.46774194 0.57580644 0.7096774 1.0 89.1 91.0 0.28735632 0.35340363 0.4318182 0.81395346 0.86744195 0.90697676
63 0.47619048 0.57301587 0.71428573 1.0 88.9 91.0 0.28735632 0.35643023 0.4318182 0.81395346 0.8662791 0.90697676
64 0.484375 0.571875 0.703125 1.0 88.9 91.0 0.28735632 0.35755384 0.4318182 0.81395346 0.86744195 0.90697676
65 0.47692308 0.5753846 0.7076923 1.0 88.9 91.0 0.28735632 0.35866496 0.4318182 0.81395346 0.8662791 0.90697676
66 0.46969697 0.5772727 0.7121212 1.0 88.8 91.0 0.28735632 0.3613398 0.4318182 0.81395346 0.8662791 0.90697676
67 0.46268657 0.5791045 0.7164179 1.0 88.6 91.0 0.29069766 0.36322743 0.4318182 0.81395346 0.8662791 0.90697676
68 0.45588234 0.5779412 0.7205882 1.0 88.6 91.0 0.29069766 0.36666328 0.4318182 0.81395346 0.8651163 0.90697676
69 0.46376812 0.5753623 0.71014494 1.0 88.5 91.0 0.30232558 0.3682602 0.4318182 0.81395346 0.8651163 0.90697676
70 0.45714286 0.5757143 0.71428573 1.0 88.5 91.0 0.30232558 0.3682602 0.4318182 0.81395346 0.86744183 0.90697676
71 0.46478873 0.5774648 0.70422536 1.0 88.5 91.0 0.30232558 0.36939654 0.4318182 0.81395346 0.8662791 0.90697676
72 0.4722222 0.57777774 0.6944444 1.0 88.4 91.0 0.30232558 0.3708822 0.4318182 0.81395346 0.8627907 0.9186047
73 0.47945204 0.5794521 0.69863015 1.0 88.3 91.0 0.30232558 0.3713566 0.4318182 0.81395346 0.85930234 0.90697676
74 0.4864865 0.5824324 0.7027027 1.0 88.3 91.0 0.30232558 0.37249297 0.4318182 0.81395346 0.85930234 0.90697676
75 0.49333334 0.5853333 0.70666665 1.0 88.3 91.0 0.30232558 0.37361658 0.4318182 0.81395346 0.85930234 0.90697676
76 0.4868421 0.58552635 0.7105263 1.0 88.2 91.0 0.30232558 0.37521037 0.4318182 0.81395346 0.85930234 0.90697676
77 0.48051947 0.5857143 0.71428573 1.0 88.2 91.0 0.30232558 0.3763598 0.4318182 0.8255814 0.86162794 0.90697676
78 0.4871795 0.58589745 0.7051282 1.0 88.2 91.0 0.30232558 0.3774587 0.4318182 0.8255814 0.8627907 0.90697676
79 0.48101267 0.58481014 0.70886075 1.0 88.1 91.0 0.30232558 0.3778928 0.4318182 0.8255814 0.8627907 0.9186047
80 0.4875 0.58625 0.7 1.0 88.0 91.0 0.30232558 0.37830478 0.4318182 0.8255814 0.86279076 0.9186047
