rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.6 1.0 1.0 91.7 92.0 0.20652173 0.2541567 0.30769232 0.8255814 0.8860466 0.94186044
2 0.0 0.65 1.0 1.0 91.4 92.0 0.20879121 0.25493312 0.30769232 0.8255814 0.8860466 0.94186044
3 0.33333334 0.56666666 1.0 1.0 90.9 92.0 0.21111111 0.25629428 0.30769232 0.8255814 0.88139534 0.94186044
4 0.25 0.55 0.75 1.0 90.8 91.0 0.21111111 0.25876683 0.31868133 0.8255814 0.88023263 0.94186044
5 0.2 0.54 0.8 1.0 90.4 91.0 0.21348314 0.25990754 0.32222223 0.81395346 0.87325585 0.94186044
6 0.16666667 0.55 0.8333333 1.0 90.2 91.0 0.2159091 0.2605122 0.3258427 0.81395346 0.872093 0.94186044
7 0.14285715 0.5142857 0.85714287 1.0 89.7 91.0 0.21839081 0.2641004 0.3258427 0.7906977 0.866279 0.9302326
8 0.125 0.5 0.875 1.0 89.2 91.0 0.22093023 0.26558632 0.32954547 0.7906977 0.86162794 0.9302326
9 0.22222222 0.5 0.7777778 1.0 89.0 91.0 0.22093023 0.2684208 0.32954547 0.7906977 0.85930234 0.9302326
10 0.2 0.51 0.8 1.0 88.6 91.0 0.22352941 0.26970834 0.33333334 0.7906977 0.8569768 0.9302326
11 0.18181819 0.509091 0.8181818 1.0 88.4 91.0 0.23529412 0.27265868 0.33333334 0.7906977 0.8523256 0.89534885
12 0.25 0.5416666 0.75 1.0 88.3 91.0 0.23529412 0.27294582 0.33333334 0.7906977 0.8523256 0.89534885
13 0.23076923 0.53846157 0.7692308 1.0 87.9 91.0 0.23809524 0.27528262 0.33333334 0.76744187 0.8488372 0.89534885
14 0.21428572 0.53571427 0.78571427 1.0 87.5 91.0 0.24096386 0.27763316 0.33333334 0.76744187 0.8488372 0.89534885
15 0.2 0.5266667 0.73333335 1.0 87.2 90.0 0.24390244 0.27970654 0.3372093 0.76744187 0.84651166 0.89534885
16 0.25 0.53125 0.6875 1.0 86.9 90.0 0.24390244 0.2818665 0.34117648 0.76744187 0.8430233 0.89534885
17 0.29411766 0.5352942 0.7058824 1.0 86.7 90.0 0.24390244 0.2825873 0.3452381 0.76744187 0.8383721 0.89534885
18 0.2777778 0.54444444 0.6666667 1.0 86.5 90.0 0.24691358 0.28433746 0.3452381 0.75581396 0.83720934 0.89534885
19 0.31578946 0.5473684 0.68421054 1.0 86.1 90.0 0.24691358 0.2856559 0.3452381 0.75581396 0.8325583 0.89534885
20 0.35 0.54499996 0.7 1.0 85.6 90.0 0.24691358 0.28731403 0.3452381 0.75581396 0.8290698 0.8604651
21 0.3809524 0.54761904 0.71428573 1.0 85.2 90.0 0.24691358 0.28879294 0.3493976 0.75581396 0.82558143 0.8604651
22 0.36363637 0.5363636 0.72727275 1.0 84.7 90.0 0.25 0.29162568 0.3493976 0.75581396 0.81744194 0.8604651
23 0.3478261 0.5347826 0.73913044 1.0 84.5 90.0 0.25 0.29345703 0.3493976 0.75581396 0.81744194 0.8604651
24 0.33333334 0.5333333 0.75 1.0 84.1 90.0 0.25 0.29485947 0.3493976 0.74418604 0.8162791 0.8604651
25 0.32 0.53199995 0.72 1.0 83.9 90.0 0.25 0.296764 0.3493976 0.74418604 0.8162791 0.8604651
26 0.30769232 0.52692306 0.7307692 1.0 83.3 90.0 0.25316456 0.29897547 0.35365853 0.74418604 0.8151163 0.8604651
27 0.2962963 0.52962965 0.7037037 1.0 83.0 89.0 0.25641027 0.29994047 0.35365853 0.74418604 0.8127907 0.8604651
28 0.32142857 0.5392857 0.71428573 1.0 82.8 89.0 0.25641027 0.30064982 0.35365853 0.74418604 0.8127907 0.8604651
29 0.31034482 0.5344827 0.7241379 1.0 82.5 89.0 0.25974026 0.30421588 0.36585367 0.74418604 0.81046504 0.8604651
30 0.33333334 0.53999996 0.7 1.0 82.2 88.0 0.25974026 0.30532327 0.36585367 0.73255813 0.8034884 0.8604651
31 0.3548387 0.54838705 0.7096774 1.0 82.0 88.0 0.25974026 0.30608144 0.36585367 0.73255813 0.80116284 0.8372093
32 0.375 0.55625 0.71875 1.0 81.9 88.0 0.25974026 0.3064827 0.36585367 0.73255813 0.80116284 0.8372093
33 0.3939394 0.55454546 0.6969697 1.0 81.4 87.0 0.25974026 0.3084448 0.37037036 0.73255813 0.79767436 0.8372093
34 0.38235295 0.5529412 0.6764706 1.0 80.9 86.0 0.2631579 0.31032044 0.37037036 0.7209302 0.794186 0.8372093
35 0.4 0.55428576 0.6857143 1.0 80.6 86.0 0.2631579 0.3126927 0.37037036 0.7209302 0.7906977 0.8372093
