rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 91.3 92.0 0.20879121 0.2541448 0.30769232 0.8255814 0.88488376 0.94186044
2 0.0 0.5 1.0 1.0 91.0 92.0 0.21111111 0.2549201 0.30769232 0.8023256 0.8825582 0.94186044
3 0.0 0.4666667 1.0 1.0 90.4 92.0 0.21348314 0.2565803 0.30769232 0.8023256 0.87674415 0.94186044
4 0.0 0.45 0.75 1.0 89.8 91.0 0.2159091 0.2582514 0.31111112 0.8023256 0.8720931 0.94186044
5 0.0 0.46000004 0.8 1.0 89.3 91.0 0.21839081 0.25968558 0.31460676 0.7906977 0.8651163 0.94186044
6 0.0 0.4666667 0.8333333 1.0 88.8 91.0 0.22093023 0.2611647 0.3181818 0.7906977 0.8581395 0.9186047
7 0.0 0.44285712 0.85714287 1.0 88.1 91.0 0.22352941 0.26319847 0.3181818 0.75581396 0.84883726 0.90697676
8 0.0 0.4375 0.875 1.0 87.5 91.0 0.22619048 0.2649657 0.3181818 0.75581396 0.8441861 0.90697676
9 0.11111111 0.4666667 0.7777778 1.0 87.2 90.0 0.22619048 0.2658282 0.3181818 0.75581396 0.8418605 0.90697676
10 0.1 0.48000002 0.8 1.0 86.8 90.0 0.22891566 0.26711953 0.3218391 0.74418604 0.8395349 0.90697676
11 0.09090909 0.4909091 0.8181818 1.0 86.4 90.0 0.23170732 0.2684077 0.3255814 0.74418604 0.83837205 0.90697676
12 0.16666667 0.525 0.75 1.0 86.3 89.0 0.23170732 0.26869485 0.3255814 0.74418604 0.83837205 0.90697676
13 0.15384616 0.52307695 0.7692308 1.0 85.8 89.0 0.2345679 0.27021012 0.3255814 0.7093023 0.8348837 0.90697676
14 0.14285715 0.5214286 0.78571427 1.0 85.3 89.0 0.2375 0.27172065 0.3255814 0.7093023 0.8348837 0.90697676
15 0.13333334 0.5133334 0.73333335 1.0 84.7 88.0 0.24050634 0.27363592 0.32941177 0.7093023 0.83255816 0.90697676
16 0.1875 0.51875 0.6875 1.0 84.3 87.0 0.24050634 0.2750141 0.33333334 0.7093023 0.8313953 0.90697676
17 0.23529412 0.52941173 0.7058824 1.0 84.0 87.0 0.24050634 0.27604523 0.33734939 0.7093023 0.8313953 0.90697676
18 0.22222222 0.5277778 0.6666667 1.0 83.5 86.0 0.24358974 0.2776786 0.33734939 0.6976744 0.8209302 0.872093
19 0.2631579 0.53684217 0.68421054 1.0 83.2 86.0 0.24358974 0.27863872 0.33734939 0.6976744 0.81627905 0.8604651
20 0.3 0.53 0.65 1.0 82.6 85.0 0.24358974 0.28072983 0.34146342 0.6976744 0.81162786 0.8604651
21 0.33333334 0.53333336 0.6666667 1.0 82.2 85.0 0.24358974 0.28222784 0.34567901 0.6976744 0.8069767 0.8604651
22 0.3181818 0.52272725 0.6363636 1.0 81.5 84.0 0.24675325 0.28455275 0.34567901 0.6976744 0.79767436 0.8604651
23 0.3043478 0.5217391 0.65217394 1.0 81.0 84.0 0.25 0.28620553 0.34567901 0.6976744 0.7965116 0.8604651
24 0.29166666 0.5208333 0.6666667 1.0 80.5 84.0 0.25333333 0.2879632 0.34567901 0.6976744 0.7965116 0.8604651
25 0.28 0.52000004 0.64 1.0 80.0 83.0 0.25675675 0.28968668 0.34567901 0.6744186 0.79186046 0.8604651
26 0.26923078 0.5153847 0.65384614 1.0 79.4 83.0 0.26027396 0.29193208 0.35 0.6744186 0.7883721 0.8604651
27 0.25925925 0.51481485 0.6296296 1.0 78.9 82.0 0.2638889 0.2937388 0.35 0.6627907 0.77906984 0.8488372
28 0.2857143 0.525 0.64285713 1.0 78.7 82.0 0.2638889 0.29446968 0.35 0.6627907 0.77906984 0.8488372
29 0.27586207 0.5206896 0.6551724 1.0 78.1 82.0 0.26760563 0.29683918 0.35443038 0.6627907 0.7732559 0.8488372
30 0.3 0.52666664 0.6666667 1.0 77.8 82.0 0.26760563 0.2980114 0.35443038 0.6627907 0.7662791 0.8488372
31 0.32258064 0.53870964 0.67741936 1.0 77.7 82.0 0.26760563 0.2984078 0.35443038 0.6627907 0.7662791 0.8488372
32 0.34375 0.546875 0.6875 1.0 77.5 82.0 0.26760563 0.2991845 0.35443038 0.6627907 0.76511633 0.8488372
33 0.36363637 0.54848486 0.6666667 1.0 77.1 81.0 0.26760563 0.30076247 0.35897437 0.6627907 0.7593024 0.8488372
34 0.3529412 0.5470588 0.6764706 1.0 76.6 81.0 0.27142859 0.30270058 0.35897437 0.6511628 0.7546512 0.8488372
35 0.37142858 0.5457143 0.6571429 1.0 76.1 80.0 0.27142859 0.30468345 0.35897437 0.6511628 0.75 0.8255814
36 0.3888889 0.5472222 0.6388889 1.0 75.7 79.0 0.27142859 0.30627626 0.35897437 0.6511628 0.7430233 0.81395346
37 0.3783784 0.545946 0.6486486 1.0 75.2 79.0 0.2753623 0.3083244 0.36363637 0.6511628 0.7337209 0.81395346
38 0.39473686 0.5473684 0.6315789 1.0 74.8 78.0 0.2753623 0.30993408 0.36363637 0.6511628 0.7290698 0.81395346
39 0.41025642 0.548718 0.64102566 1.0 74.4 78.0 0.2753623 0.3115482 0.36363637 0.6511628 0.71976745 0.7906977
40 0.4 0.54499996 0.625 1.0 73.8 77.0 0.27941176 0.31412044 0.36842105 0.6511628 0.71744186 0.7906977
41 0.41463414 0.5439024 0.63414633 1.0 73.3 77.0 0.27941176 0.31632593 0.37333333 0.627907 0.71162784 0.7906977
42 0.42857143 0.5428571 0.64285713 1.0 72.8 77.0 0.27941176 0.31849647 0.37333333 0.627907 0.7069767 0.7906977
43 0.41860464 0.54186046 0.6511628 1.0 72.3 77.0 0.2835821 0.32065824 0.37333333 0.61627907 0.7023256 0.7790698
44 0.4318182 0.54318184 0.65909094 1.0 71.9 77.0 0.2835821 0.3224367 0.37333333 0.61627907 0.70116276 0.7790698
45 0.42222223 0.54 0.6666667 1.0 71.3 77.0 0.28787878 0.32516032 0.37333333 0.5813953 0.69069767 0.7790698
46 0.4347826 0.5456522 0.67391306 1.0 71.1 77.0 0.28787878 0.32607976 0.37333333 0.5813953 0.6848837 0.76744187
47 0.44680852 0.5446809 0.65957445 1.0 70.6 76.0 0.28787878 0.32842314 0.3783784 0.5813953 0.6825582 0.76744187
48 0.45833334 0.54999995 0.6666667 1.0 70.4 76.0 0.28787878 0.32937905 0.38356164 0.5813953 0.677907 0.76744187
49 0.4489796 0.5530612 0.67346936 1.0 70.1 76.0 0.2923077 0.33079866 0.38356164 0.5813953 0.677907 0.76744187
50 0.46 0.554 0.68 1.0 69.7 76.0 0.2923077 0.33285224 0.38356164 0.5697674 0.6755814 0.76744187
51 0.4509804 0.55490196 0.6862745 1.0 69.3 76.0 0.296875 0.33470652 0.38356164 0.5697674 0.67093027 0.76744187
52 0.46153846 0.55769235 0.6923077 1.0 69.0 76.0 0.296875 0.33621565 0.3888889 0.5697674 0.66279066 0.76744187
53 0.4528302 0.5566038 0.6981132 1.0 68.5 76.0 0.296875 0.33883607 0.3943662 0.55813956 0.655814 0.76744187
54 0.46296296 0.56111115 0.7037037 1.0 68.3 76.0 0.296875 0.3398892 0.3943662 0.55813956 0.65465117 0.76744187
55 0.45454547 0.5618182 0.7090909 1.0 67.9 76.0 0.296875 0.34205797 0.3943662 0.55813956 0.65465117 0.76744187
56 0.4642857 0.56607145 0.71428573 1.0 67.7 76.0 0.3015873 0.34306532 0.3943662 0.55813956 0.65465117 0.76744187
57 0.47368422 0.5649123 0.7017544 1.0 67.2 75.0 0.3015873 0.34555987 0.3943662 0.55813956 0.64767444 0.74418604
58 0.46551725 0.56551725 0.70689654 1.0 66.8 75.0 0.3015873 0.34778023 0.4 0.53488374 0.64069766 0.74418604
59 0.47457626 0.56779665 0.7118644 1.0 66.5 75.0 0.3015873 0.34937444 0.4057971 0.53488374 0.6372093 0.74418604
60 0.48333332 0.57 0.71666664 1.0 66.2 75.0 0.3015873 0.35119462 0.4117647 0.5232558 0.63488376 0.74418604
61 0.4918033 0.57213116 0.72131145 1.0 65.9 75.0 0.3015873 0.35281307 0.4117647 0.5116279 0.633721 0.74418604
62 0.48387095 0.57258064 0.7096774 1.0 65.5 74.0 0.30645162 0.35495692 0.41791046 0.5116279 0.63255817 0.74418604
63 0.4920635 0.5746032 0.71428573 1.0 65.2 74.0 0.30645162 0.35658705 0.41791046 0.5116279 0.63023263 0.74418604
64 0.484375 0.575 0.703125 1.0 64.8 73.0 0.30645162 0.35869446 0.41791046 0.5116279 0.627907 0.73255813
65 0.4923077 0.5784615 0.7076923 1.0 64.6 73.0 0.30645162 0.359855 0.41791046 0.5116279 0.6267442 0.73255813
66 0.4848485 0.58181816 0.7121212 1.0 64.4 73.0 0.30645162 0.36117586 0.41791046 0.5116279 0.6267442 0.73255813
67 0.49253732 0.5835821 0.7164179 1.0 64.1 73.0 0.3114754 0.36283278 0.41791046 0.5116279 0.6267442 0.73255813
68 0.4852941 0.5808823 0.7205882 1.0 63.5 73.0 0.31506848 0.36626658 0.41791046 0.5116279 0.6197675 0.73255813
69 0.47826087 0.5782609 0.71014494 1.0 62.9 72.0 0.31944445 0.36975557 0.41791046 0.5116279 0.6162791 0.73255813
70 0.47142857 0.57857144 0.71428573 1.0 62.5 72.0 0.31944445 0.37235403 0.42424244 0.4651163 0.605814 0.73255813
71 0.47887325 0.5788733 0.70422536 1.0 62.1 71.0 0.32394367 0.37452236 0.42424244 0.4651163 0.59883726 0.73255813
72 0.4861111 0.58194447 0.6944444 1.0 61.9 70.0 0.32857144 0.37553802 0.42424244 0.4651163 0.59883726 0.73255813
73 0.49315068 0.5835616 0.6849315 1.0 61.6 69.0 0.33333334 0.37736514 0.42424244 0.4651163 0.5930233 0.73255813
74 0.4864865 0.5851351 0.6891892 1.0 61.3 69.0 0.33333334 0.37921402 0.42424244 0.4651163 0.58953494 0.73255813
75 0.49333334 0.58799994 0.6933333 1.0 61.1 69.0 0.33333334 0.38050503 0.42424244 0.4651163 0.58953494 0.73255813
76 0.5 0.58815795 0.69736844 1.0 60.7 69.0 0.33333334 0.38288286 0.42424244 0.4651163 0.58720934 0.73255813
77 0.4935065 0.5909091 0.7012987 1.0 60.5 69.0 0.33333334 0.38424042 0.42424244 0.4651163 0.5860466 0.73255813
78 0.4871795 0.59102565 0.6923077 1.0 60.1 68.0 0.33333334 0.38680267 0.42424244 0.43023255 0.58023256 0.73255813
79 0.48101267 0.5911392 0.6962025 1.0 59.7 68.0 0.33333334 0.3896249 0.43137255 0.43023255 0.57790697 0.73255813
80 0.4875 0.595 0.6875 1.0 59.6 67.0 0.33333334 0.39012975 0.43137255 0.43023255 0.57790697 0.73255813
81 0.4814815 0.5962963 0.69135803 1.0 59.3 67.0 0.3392857 0.39219585 0.44 0.43023255 0.57558143 0.73255813
82 0.47560975 0.59756094 0.69512194 1.0 59.0 67.0 0.3392857 0.39439493 0.4489796 0.43023255 0.5732558 0.7209302
83 0.48192772 0.6 0.686747 1.0 58.8 66.0 0.3392857 0.3955881 0.4489796 0.43023255 0.5674418 0.7209302
