rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.4 92.0 0.20652173 0.25391784 0.30769232 0.8255814 0.88488376 0.94186044
2 0.0 0.5 1.0 1.0 91.0 92.0 0.20879121 0.25503 0.31111112 0.8255814 0.883721 0.94186044
3 0.33333334 0.4666667 1.0 1.0 90.4 92.0 0.21111111 0.25668496 0.31111112 0.8255814 0.8790698 0.94186044
4 0.25 0.475 0.75 1.0 89.9 91.0 0.21348314 0.25808373 0.31460676 0.8255814 0.8744186 0.94186044
5 0.2 0.48000002 0.8 1.0 89.4 91.0 0.2159091 0.25952023 0.3181818 0.81395346 0.86744183 0.94186044
6 0.16666667 0.48333335 0.8333333 1.0 88.9 91.0 0.21839081 0.26099557 0.3218391 0.81395346 0.86046517 0.9186047
7 0.14285715 0.45714283 0.85714287 1.0 88.2 91.0 0.22093023 0.26301694 0.3218391 0.81395346 0.8569768 0.90697676
8 0.125 0.45 0.875 1.0 87.6 91.0 0.22352941 0.26484513 0.3255814 0.81395346 0.8523256 0.90697676
9 0.22222222 0.47777778 0.7777778 1.0 87.3 90.0 0.22352941 0.26570064 0.3255814 0.81395346 0.85 0.90697676
10 0.2 0.49 0.8 1.0 86.9 90.0 0.22619048 0.26700288 0.32941177 0.8023256 0.8476745 0.90697676
11 0.18181819 0.49999994 0.8181818 1.0 86.5 90.0 0.22891566 0.26830235 0.33333334 0.8023256 0.8476745 0.90697676
12 0.25 0.5333333 0.75 1.0 86.4 89.0 0.22891566 0.2685895 0.33333334 0.8023256 0.8476745 0.90697676
13 0.23076923 0.5307692 0.7692308 1.0 85.9 89.0 0.23170732 0.27009088 0.33333334 0.76744187 0.844186 0.90697676
14 0.21428572 0.5285714 0.78571427 1.0 85.4 89.0 0.2345679 0.2715871 0.33333334 0.76744187 0.844186 0.90697676
15 0.2 0.52000004 0.73333335 1.0 84.8 88.0 0.2375 0.2735063 0.33734939 0.76744187 0.8418605 0.90697676
16 0.25 0.525 0.6875 1.0 84.4 87.0 0.2375 0.2749037 0.34146342 0.76744187 0.84069765 0.90697676
17 0.29411766 0.5352942 0.7058824 1.0 84.1 87.0 0.2375 0.2759473 0.34567901 0.76744187 0.84069765 0.90697676
18 0.2777778 0.54444444 0.6666667 1.0 83.8 86.0 0.24050634 0.2768933 0.34567901 0.75581396 0.8395349 0.90697676
19 0.31578946 0.5473684 0.68421054 1.0 83.4 86.0 0.24050634 0.27818453 0.34567901 0.75581396 0.83720934 0.90697676
20 0.35 0.545 0.65 1.0 82.9 85.0 0.24050634 0.27984843 0.34567901 0.75581396 0.833721 0.90697676
21 0.3809524 0.54285717 0.6666667 1.0 82.4 85.0 0.24050634 0.28166276 0.35 0.75581396 0.8302326 0.872093
22 0.36363637 0.5363636 0.6818182 1.0 81.8 85.0 0.24358974 0.28365004 0.35 0.75581396 0.82441866 0.872093
23 0.3478261 0.5347825 0.6956522 1.0 81.3 85.0 0.24675325 0.28529447 0.35 0.75581396 0.82325584 0.8604651
24 0.33333334 0.52916664 0.7083333 1.0 80.7 85.0 0.25 0.2873488 0.35 0.75581396 0.822093 0.8604651
25 0.32 0.528 0.68 1.0 80.2 84.0 0.25333333 0.28904578 0.35 0.73255813 0.81860465 0.8604651
26 0.30769232 0.5230769 0.6923077 1.0 79.6 84.0 0.25675675 0.29130152 0.35443038 0.73255813 0.8151163 0.8604651
27 0.2962963 0.52222216 0.6666667 1.0 79.1 83.0 0.26027396 0.2930895 0.35443038 0.7209302 0.80581397 0.8604651
28 0.32142857 0.5321428 0.6785714 1.0 78.9 83.0 0.26027396 0.2938015 0.35443038 0.7209302 0.80581397 0.8604651
29 0.31034482 0.52758616 0.6896552 1.0 78.3 83.0 0.2638889 0.29615203 0.35897437 0.7209302 0.8023256 0.8604651
30 0.33333334 0.5333333 0.6666667 1.0 78.0 82.0 0.2638889 0.29731542 0.35897437 0.7209302 0.7953489 0.8604651
31 0.3548387 0.54516125 0.67741936 1.0 77.9 82.0 0.2638889 0.29769135 0.35897437 0.7209302 0.7953489 0.8604651
32 0.375 0.553125 0.6875 1.0 77.7 82.0 0.2638889 0.29847902 0.35897437 0.7209302 0.79418606 0.8604651
33 0.3939394 0.55454546 0.6666667 1.0 77.3 81.0 0.2638889 0.30003878 0.36363637 0.7209302 0.79186046 0.8604651
34 0.38235295 0.5529412 0.6764706 1.0 76.8 81.0 0.26760563 0.30195597 0.36363637 0.7093023 0.7872094 0.8604651
35 0.4 0.5542857 0.6571429 1.0 76.4 80.0 0.26760563 0.30347148 0.36363637 0.7093023 0.78488374 0.8604651
36 0.41666666 0.5555555 0.6666667 1.0 76.0 80.0 0.26760563 0.3050411 0.36363637 0.7093023 0.77209306 0.8372093
37 0.4054054 0.554054 0.6486486 1.0 75.5 79.0 0.27142859 0.30709285 0.36842105 0.68604654 0.76279074 0.8255814
38 0.42105263 0.55526316 0.65789473 1.0 75.1 79.0 0.27142859 0.3086884 0.36842105 0.68604654 0.7581396 0.8255814
39 0.43589744 0.55641025 0.64102566 1.0 74.7 78.0 0.27142859 0.3102791 0.36842105 0.68604654 0.755814 0.8255814
40 0.425 0.55 0.65 1.0 74.0 78.0 0.2753623 0.31327724 0.37333333 0.6627907 0.7511629 0.8255814
41 0.41463414 0.55121946 0.6585366 1.0 73.6 78.0 0.27941176 0.315049 0.3783784 0.6395349 0.74767447 0.8255814
42 0.42857143 0.55 0.6666667 1.0 73.1 78.0 0.27941176 0.31719542 0.3783784 0.6395349 0.7418605 0.8255814
43 0.41860464 0.5488372 0.6744186 1.0 72.6 78.0 0.2835821 0.31938353 0.3783784 0.627907 0.7383722 0.8255814
44 0.4318182 0.55 0.6818182 1.0 72.2 78.0 0.2835821 0.32113466 0.3783784 0.627907 0.7372094 0.8255814
45 0.42222223 0.5466667 0.6888889 1.0 71.6 78.0 0.28787878 0.3238333 0.3783784 0.60465115 0.7302326 0.8255814
46 0.4347826 0.54999995 0.6956522 1.0 71.3 78.0 0.28787878 0.3252323 0.3783784 0.60465115 0.72558147 0.8023256
47 0.44680852 0.5510638 0.68085104 1.0 70.9 77.0 0.28787878 0.327054 0.38356164 0.60465115 0.7232559 0.8023256
48 0.45833334 0.55625 0.6875 1.0 70.7 77.0 0.28787878 0.32802433 0.3888889 0.60465115 0.71976745 0.8023256
49 0.4489796 0.55918366 0.6938776 1.0 70.4 77.0 0.2923077 0.32941404 0.3888889 0.60465115 0.71976745 0.8023256
50 0.46 0.55799997 0.7 1.0 69.9 77.0 0.2923077 0.33187252 0.3888889 0.59302324 0.7174419 0.8023256
51 0.4509804 0.5588236 0.7058824 1.0 69.5 77.0 0.296875 0.33369562 0.3888889 0.59302324 0.71279067 0.8023256
52 0.46153846 0.5634616 0.71153843 1.0 69.3 77.0 0.296875 0.3347043 0.3943662 0.59302324 0.7093023 0.8023256
53 0.4716981 0.5641509 0.7169811 1.0 68.9 77.0 0.296875 0.33681348 0.4 0.59302324 0.7046512 0.8023256
54 0.46296296 0.5666666 0.7222222 1.0 68.6 77.0 0.2987013 0.33830363 0.4 0.59302324 0.70116276 0.8023256
55 0.47272727 0.56545454 0.7090909 1.0 68.1 76.0 0.3015873 0.34079668 0.4 0.59302324 0.6999999 0.8023256
56 0.4642857 0.56785715 0.71428573 1.0 67.8 76.0 0.3026316 0.34232843 0.4 0.59302324 0.6999999 0.8023256
57 0.47368422 0.56491226 0.7017544 1.0 67.2 75.0 0.30645162 0.34542972 0.4057971 0.5813953 0.69186044 0.7906977
58 0.4827586 0.56896555 0.70689654 1.0 67.0 75.0 0.30645162 0.34653932 0.4117647 0.5813953 0.69186044 0.7906977
59 0.4915254 0.5711864 0.7118644 1.0 66.7 75.0 0.30645162 0.3481532 0.41791046 0.5813953 0.6883721 0.7906977
60 0.48333332 0.5733334 0.71666664 1.0 66.4 75.0 0.30645162 0.34998977 0.42424244 0.54651165 0.6825582 0.7906977
61 0.47540984 0.57540977 0.72131145 1.0 66.1 75.0 0.30645162 0.35161322 0.42424244 0.53488374 0.68139535 0.7906977
62 0.46774194 0.57741934 0.7096774 1.0 65.8 74.0 0.3108108 0.35317975 0.42424244 0.53488374 0.68139535 0.7906977
63 0.47619048 0.57777786 0.71428573 1.0 65.4 74.0 0.3108108 0.35525653 0.42424244 0.53488374 0.67906976 0.7906977
64 0.484375 0.578125 0.703125 1.0 65.0 73.0 0.3114754 0.35730287 0.42424244 0.53488374 0.67674416 0.7906977
65 0.4923077 0.5815385 0.7076923 1.0 64.8 73.0 0.3114754 0.35843748 0.42424244 0.53488374 0.67558134 0.7906977
66 0.5 0.58484846 0.7121212 1.0 64.6 73.0 0.3114754 0.35963526 0.42424244 0.53488374 0.67441857 0.7906977
67 0.49253732 0.5850746 0.7164179 1.0 64.2 73.0 0.31506848 0.36190027 0.42424244 0.53488374 0.67441857 0.7906977
68 0.4852941 0.5838235 0.7205882 1.0 63.7 73.0 0.31506848 0.36478984 0.42424244 0.5232558 0.66744184 0.7906977
69 0.49275362 0.5811594 0.71014494 1.0 63.1 72.0 0.31944445 0.36816305 0.42424244 0.5232558 0.6651163 0.7906977
70 0.5 0.58000004 0.71428573 1.0 62.6 72.0 0.31944445 0.3711218 0.43076923 0.5232558 0.6534884 0.7906977
71 0.49295774 0.5802817 0.70422536 1.0 62.2 71.0 0.32394367 0.37334815 0.43076923 0.5232558 0.6453489 0.7790698
72 0.4861111 0.58194447 0.6944444 1.0 61.9 70.0 0.32857144 0.37499824 0.43076923 0.5232558 0.6453489 0.7790698
73 0.49315068 0.5849315 0.69863015 1.0 61.7 70.0 0.32857144 0.37628227 0.43076923 0.5232558 0.6406977 0.7790698
74 0.5 0.5851351 0.7027027 1.0 61.3 70.0 0.32857144 0.3787167 0.43076923 0.5232558 0.6372093 0.7790698
75 0.50666666 0.5893333 0.70666665 1.0 61.2 70.0 0.32857144 0.37930554 0.43076923 0.5232558 0.6372093 0.7790698
76 0.5131579 0.59078944 0.7105263 1.0 60.9 70.0 0.32857144 0.3811938 0.43076923 0.5232558 0.6360465 0.7790698
77 0.5194805 0.59350646 0.71428573 1.0 60.7 70.0 0.32857144 0.38242966 0.43076923 0.5232558 0.633721 0.7790698
78 0.525641 0.5923077 0.7051282 1.0 60.2 69.0 0.33333334 0.38560966 0.43076923 0.4883721 0.627907 0.7790698
79 0.5316456 0.5924051 0.70886075 1.0 59.8 69.0 0.33333334 0.3884017 0.4375 0.47674417 0.6267442 0.7790698
80 0.525 0.59499997 0.7 1.0 59.6 68.0 0.3382353 0.38963264 0.4375 0.47674417 0.6255814 0.7790698
81 0.5185185 0.59629625 0.7037037 1.0 59.3 68.0 0.3382353 0.3916299 0.4375 0.47674417 0.6220931 0.7790698
82 0.5121951 0.59634143 0.70731705 1.0 58.9 68.0 0.3382353 0.39446127 0.4375 0.47674417 0.62093025 0.7790698
83 0.5180723 0.5987952 0.6987952 1.0 58.7 67.0 0.3432836 0.39566058 0.44444445 0.47674417 0.62093025 0.7790698
84 0.52380955 0.60119045 0.6904762 1.0 58.5 66.0 0.34848484 0.39683038 0.44444445 0.47674417 0.61511624 0.7790698
85 0.5294118 0.60117644 0.69411767 1.0 58.1 66.0 0.34848484 0.39952883 0.4516129 0.47674417 0.6139535 0.7790698
86 0.53488374 0.60465115 0.68604654 1.0 58.0 65.0 0.35384616 0.400065 0.4516129 0.47674417 0.61162794 0.7790698
87 0.54022986 0.608046 0.6896552 1.0 57.9 65.0 0.35384616 0.4007544 0.4516129 0.47674417 0.60697675 0.7790698
88 0.53409094 0.6068182 0.6931818 1.0 57.4 65.0 0.35384616 0.40435463 0.45901638 0.4651163 0.6011628 0.76744187
