rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 91.9 92.0 0.20652173 0.25465837 0.3043478 0.8255814 0.8860465 0.94186044
2 0.0 0.45 1.0 1.0 91.9 92.0 0.20652173 0.25465837 0.3043478 0.8255814 0.88488376 0.94186044
3 0.0 0.4666667 1.0 1.0 91.9 93.0 0.20652173 0.25685015 0.3043478 0.8255814 0.88139546 0.94186044
4 0.25 0.475 0.75 1.0 92.1 95.0 0.2173913 0.2606773 0.3152174 0.8255814 0.88139546 0.94186044
5 0.2 0.48000002 0.8 1.0 92.0 95.0 0.2173913 0.26096398 0.3152174 0.81395346 0.88023263 0.94186044
6 0.33333334 0.5 0.8333333 1.0 92.1 95.0 0.21978022 0.26066524 0.3152174 0.81395346 0.88139534 0.94186044
7 0.2857143 0.47142854 0.85714287 1.0 92.2 95.0 0.23076923 0.2636578 0.3152174 0.81395346 0.88023263 0.94186044
8 0.25 0.45 0.875 1.0 92.3 95.0 0.24175824 0.26658574 0.3152174 0.81395346 0.88023263 0.94186044
9 0.33333334 0.4666667 0.7777778 1.0 92.4 96.0 0.24175824 0.26736423 0.3152174 0.81395346 0.88139546 0.94186044
10 0.3 0.48000002 0.8 1.0 92.4 96.0 0.24444444 0.26840428 0.32608697 0.81395346 0.8790698 0.94186044
11 0.36363637 0.49090916 0.8181818 1.0 92.5 96.0 0.24444444 0.26918286 0.32608697 0.81395346 0.877907 0.94186044
12 0.41666666 0.52500004 0.75 1.0 92.5 96.0 0.24444444 0.2702698 0.32608697 0.81395346 0.877907 0.94186044
13 0.3846154 0.51538455 0.6923077 1.0 92.5 96.0 0.24444444 0.27135676 0.32608697 0.8023256 0.8744186 0.94186044
14 0.35714287 0.5142857 0.64285713 1.0 92.4 96.0 0.24444444 0.27380788 0.32608697 0.8023256 0.8709303 0.9302326
15 0.33333334 0.5066667 0.6666667 1.0 92.3 96.0 0.24468085 0.27735 0.33695653 0.8023256 0.8720931 0.94186044
