rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.9 92.0 0.20652173 0.25465837 0.3043478 0.8255814 0.8860465 0.94186044
2 0.0 0.5 1.0 1.0 91.8 92.0 0.20652173 0.2549331 0.3043478 0.8255814 0.8860465 0.94186044
3 0.33333334 0.4666667 1.0 1.0 91.7 92.0 0.20652173 0.25521976 0.3043478 0.8255814 0.88139546 0.94186044
4 0.25 0.475 0.75 1.0 91.9 94.0 0.2173913 0.25908193 0.3152174 0.8255814 0.88139546 0.94186044
5 0.2 0.48000002 0.8 1.0 91.8 94.0 0.2173913 0.26043242 0.3152174 0.81395346 0.8779071 0.94186044
6 0.16666667 0.5 0.8333333 1.0 92.0 94.0 0.2173913 0.26098782 0.3152174 0.81395346 0.8779071 0.94186044
7 0.14285715 0.47142854 0.85714287 1.0 92.1 94.0 0.2173913 0.26398036 0.3152174 0.81395346 0.8767443 0.94186044
8 0.125 0.4625 0.875 1.0 92.1 94.0 0.21978022 0.2649606 0.3152174 0.8255814 0.87674415 0.9302326
9 0.22222222 0.5000001 0.7777778 1.0 92.1 94.0 0.21978022 0.2649606 0.3152174 0.8255814 0.877907 0.9302326
10 0.2 0.51000005 0.8 1.0 92.1 94.0 0.21978022 0.2649606 0.3152174 0.8255814 0.877907 0.9302326
11 0.18181819 0.5181818 0.8181818 1.0 92.1 94.0 0.23076923 0.2671233 0.3152174 0.8255814 0.88023263 0.9302326
12 0.25 0.54999995 0.75 1.0 92.1 94.0 0.23076923 0.26821026 0.3152174 0.8255814 0.88139534 0.9302326
13 0.23076923 0.5461539 0.7692308 1.0 92.0 94.0 0.23076923 0.27070138 0.3152174 0.8023256 0.88023263 0.9302326
14 0.21428572 0.53571427 0.78571427 1.0 91.9 94.0 0.23076923 0.2731983 0.3152174 0.8023256 0.8790698 0.9302326
15 0.2 0.5266667 0.73333335 1.0 91.8 94.0 0.23333333 0.27668077 0.3152174 0.8023256 0.88255817 0.9302326
16 0.25 0.525 0.6875 1.0 91.7 94.0 0.23333333 0.2792011 0.31868133 0.8023256 0.88139534 0.9302326
17 0.29411766 0.5294118 0.7058824 1.0 91.8 94.0 0.23333333 0.28213996 0.32967034 0.8023256 0.88139534 0.9302326
18 0.2777778 0.5388889 0.6666667 1.0 91.8 94.0 0.23333333 0.28325108 0.32967034 0.7906977 0.8802325 0.9302326
19 0.31578946 0.54210526 0.68421054 1.0 91.9 94.0 0.23333333 0.28507963 0.32967034 0.7906977 0.88139534 0.9302326
20 0.35 0.53499997 0.7 1.0 91.8 94.0 0.23333333 0.28647715 0.32967034 0.7906977 0.8872093 0.94186044
21 0.3809524 0.53809524 0.6666667 1.0 91.8 94.0 0.23333333 0.28758824 0.32967034 0.7906977 0.8860465 0.9302326
22 0.36363637 0.53181815 0.6818182 1.0 91.7 94.0 0.23333333 0.28902477 0.32967034 0.81395346 0.8860465 0.9302326
23 0.3478261 0.5304347 0.6956522 1.0 91.7 94.0 0.23333333 0.2900886 0.32967034 0.81395346 0.8860465 0.9302326
24 0.33333334 0.5291667 0.7083333 1.0 91.7 94.0 0.23076923 0.29013607 0.32967034 0.81395346 0.8883721 0.96511626
25 0.32 0.528 0.68 1.0 91.6 94.0 0.24175824 0.29368466 0.32967034 0.81395346 0.8883721 0.96511626
26 0.30769232 0.5230769 0.6923077 1.0 91.6 94.0 0.24175824 0.296959 0.32967034 0.8255814 0.8872094 0.96511626
27 0.2962963 0.525926 0.6666667 1.0 91.6 94.0 0.24175824 0.29803428 0.32967034 0.8255814 0.8872094 0.96511626
28 0.32142857 0.53571427 0.6785714 1.0 91.6 94.0 0.24175824 0.29912123 0.32967034 0.8255814 0.8872094 0.96511626
29 0.31034482 0.5310345 0.6896552 1.0 91.5 94.0 0.24175824 0.3005307 0.32967034 0.8255814 0.8883721 0.96511626
30 0.3 0.5366667 0.6666667 1.0 91.5 94.0 0.25274727 0.30269343 0.32967034 0.8255814 0.8883721 0.96511626
31 0.32258064 0.5483871 0.67741936 1.0 91.5 94.0 0.25274727 0.30269343 0.32967034 0.8255814 0.8883721 0.96511626
32 0.34375 0.55625 0.6875 1.0 91.4 94.0 0.25274727 0.3030637 0.32967034 0.8255814 0.8883721 0.96511626
33 0.36363637 0.55757576 0.6666667 1.0 91.3 94.0 0.25274727 0.30665424 0.34065935 0.8255814 0.8872094 0.96511626
34 0.3529412 0.5588235 0.6764706 1.0 91.3 94.0 0.25274727 0.30665424 0.34065935 0.8255814 0.8872094 0.96511626
35 0.37142858 0.56000006 0.6857143 1.0 91.3 94.0 0.25274727 0.30885202 0.34065935 0.8255814 0.8860465 0.96511626
36 0.3888889 0.56388885 0.6666667 1.0 91.3 94.0 0.25274727 0.30993897 0.34065935 0.8255814 0.8872094 0.96511626
37 0.3783784 0.5648649 0.6756757 1.0 91.3 94.0 0.25274727 0.31322426 0.35164836 0.8255814 0.8860465 0.96511626
38 0.39473686 0.56578946 0.65789473 1.0 91.1 94.0 0.25274727 0.31604657 0.35164836 0.8255814 0.8848837 0.96511626
39 0.41025642 0.56410253 0.6666667 1.0 91.1 94.0 0.25274727 0.3171104 0.35164836 0.8255814 0.8872093 0.96511626
40 0.4 0.5575 0.65 1.0 91.1 94.0 0.25274727 0.321527 0.35164836 0.8255814 0.8883721 0.96511626
41 0.3902439 0.5585366 0.6585366 1.0 90.8 93.0 0.25555557 0.32370096 0.35555556 0.8255814 0.8872093 0.96511626
42 0.3809524 0.5523809 0.6666667 1.0 90.8 93.0 0.25555557 0.32814732 0.36363637 0.8255814 0.8872093 0.96511626
43 0.37209302 0.5511628 0.6511628 1.0 90.8 93.0 0.26666668 0.3303454 0.36363637 0.8372093 0.89069766 0.96511626
44 0.38636363 0.5522727 0.65909094 1.0 90.8 93.0 0.26666668 0.33254427 0.36363637 0.8372093 0.89069766 0.96511626
45 0.37777779 0.5488889 0.6666667 1.0 90.7 93.0 0.26966292 0.33620274 0.375 0.8255814 0.88953495 0.96511626
46 0.39130434 0.54999995 0.67391306 1.0 90.7 93.0 0.26966292 0.33622235 0.375 0.8255814 0.8860465 0.95348835
47 0.38297874 0.5510638 0.65957445 1.0 90.7 93.0 0.28089887 0.339556 0.375 0.8255814 0.88488376 0.94186044
48 0.39583334 0.55625 0.6666667 1.0 90.7 93.0 0.28089887 0.3406671 0.375 0.81395346 0.883721 0.94186044
49 0.3877551 0.5591837 0.67346936 1.0 90.7 93.0 0.28089887 0.34175408 0.375 0.81395346 0.883721 0.94186044
50 0.4 0.56 0.68 1.0 90.7 93.0 0.28089887 0.34510043 0.38636363 0.81395346 0.883721 0.94186044
51 0.39215687 0.56078434 0.6862745 1.0 90.7 93.0 0.29213482 0.34733516 0.38636363 0.81395346 0.883721 0.94186044
52 0.40384614 0.56730765 0.6923077 1.0 90.7 93.0 0.29213482 0.34733516 0.38636363 0.81395346 0.8860465 0.96511626
53 0.41509435 0.5679245 0.6981132 1.0 90.7 93.0 0.29213482 0.35068148 0.39772728 0.81395346 0.8860465 0.96511626
