rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 91.7 93.0 0.20430107 0.25533217 0.30769232 0.8255814 0.883721 0.94186044
2 0.0 0.5 1.0 1.0 91.4 92.0 0.20652173 0.2561037 0.30769232 0.8255814 0.883721 0.94186044
3 0.0 0.4666667 1.0 1.0 91.0 92.0 0.20879121 0.2572278 0.30769232 0.8255814 0.8744186 0.94186044
4 0.0 0.5 0.75 1.0 91.2 94.0 0.20879121 0.258928 0.31868133 0.8255814 0.8744186 0.94186044
5 0.0 0.5 0.8 1.0 90.9 93.0 0.21111111 0.25968105 0.31868133 0.81395346 0.8697675 0.94186044
6 0.0 0.51666665 0.8333333 1.0 91.0 93.0 0.21348314 0.26047987 0.31868133 0.81395346 0.8697675 0.94186044
7 0.0 0.4857143 0.85714287 1.0 90.8 92.0 0.2159091 0.2631914 0.31868133 0.7790698 0.8616279 0.9302326
8 0.0 0.475 0.875 1.0 90.4 92.0 0.21839081 0.26427674 0.32222223 0.7790698 0.8569767 0.9302326
9 0.0 0.48888892 0.7777778 1.0 90.5 92.0 0.2159091 0.26515135 0.32222223 0.7790698 0.855814 0.9302326
10 0.0 0.5 0.8 1.0 90.3 92.0 0.21839081 0.26575828 0.3258427 0.76744187 0.8534883 0.9302326
11 0.0 0.5090909 0.8181818 1.0 90.2 92.0 0.22988506 0.26831716 0.3258427 0.76744187 0.8534883 0.9302326
12 0.083333336 0.5416666 0.75 1.0 90.1 92.0 0.22988506 0.26861018 0.3258427 0.76744187 0.8534883 0.9302326
13 0.07692308 0.5153846 0.6923077 1.0 89.8 93.0 0.23255815 0.2705502 0.3258427 0.73255813 0.8476745 0.9186047
14 0.071428575 0.5142857 0.71428573 1.0 89.5 93.0 0.23529412 0.2725594 0.3258427 0.73255813 0.8476745 0.9186047
15 0.06666667 0.50666666 0.6666667 1.0 89.1 93.0 0.23809524 0.27485818 0.32954547 0.73255813 0.84651166 0.9186047
16 0.125 0.50625 0.6875 1.0 88.7 92.0 0.23809524 0.27724573 0.33333334 0.73255813 0.8441861 0.9186047
17 0.1764706 0.5176471 0.7058824 1.0 88.6 92.0 0.23809524 0.27978772 0.3448276 0.73255813 0.8441861 0.9186047
18 0.16666667 0.5277778 0.7222222 1.0 88.6 92.0 0.23529412 0.28095007 0.3448276 0.73255813 0.8441861 0.9186047
19 0.21052632 0.53157896 0.7368421 1.0 88.5 92.0 0.23529412 0.28353167 0.3448276 0.73255813 0.8430233 0.9186047
20 0.25 0.53 0.7 1.0 88.1 91.0 0.23529412 0.28594 0.3448276 0.73255813 0.8418605 0.9186047
21 0.2857143 0.5285714 0.71428573 1.0 88.0 91.0 0.23529412 0.2875174 0.3488372 0.73255813 0.83953494 0.89534885
22 0.27272728 0.5318182 0.72727275 1.0 87.7 91.0 0.23809524 0.28848243 0.3488372 0.73255813 0.8348838 0.88372093
23 0.26086956 0.5304347 0.6956522 1.0 87.5 91.0 0.23809524 0.29023218 0.3488372 0.73255813 0.8348838 0.88372093
24 0.25 0.5291667 0.7083333 1.0 87.1 91.0 0.23809524 0.29153642 0.3488372 0.73255813 0.833721 0.88372093
25 0.24 0.528 0.68 1.0 86.9 91.0 0.25 0.29561967 0.3488372 0.73255813 0.833721 0.88372093
26 0.23076923 0.523077 0.6923077 1.0 86.4 91.0 0.25301206 0.29853278 0.3529412 0.73255813 0.83255816 0.88372093
27 0.22222222 0.5222222 0.6666667 1.0 86.1 91.0 0.25609756 0.30059904 0.3529412 0.7209302 0.8313953 0.88372093
28 0.21428572 0.52857137 0.6785714 1.0 86.2 91.0 0.25301206 0.30028087 0.3529412 0.7093023 0.8302326 0.88372093
29 0.20689656 0.5241379 0.6896552 1.0 85.9 91.0 0.25609756 0.30134374 0.35714287 0.7093023 0.8279071 0.872093
30 0.2 0.5266667 0.7 1.0 85.6 90.0 0.25925925 0.3035082 0.35714287 0.6976744 0.82558143 0.872093
31 0.22580644 0.53548384 0.7096774 1.0 85.5 90.0 0.25925925 0.30495542 0.35714287 0.6976744 0.82441866 0.872093
32 0.25 0.540625 0.71875 1.0 85.4 90.0 0.25925925 0.3053427 0.35714287 0.6976744 0.82441866 0.872093
33 0.27272728 0.54242426 0.72727275 1.0 85.1 90.0 0.25925925 0.30757037 0.36144578 0.6976744 0.82325584 0.872093
34 0.2647059 0.54117644 0.7352941 1.0 84.8 89.0 0.2625 0.3086423 0.36144578 0.68604654 0.8209303 0.872093
35 0.2857143 0.5457143 0.71428573 1.0 84.8 89.0 0.2625 0.31097603 0.36144578 0.68604654 0.8197675 0.872093
36 0.30555555 0.5500001 0.6944444 1.0 84.9 89.0 0.2625 0.31182176 0.36144578 0.68604654 0.8197675 0.872093
37 0.2972973 0.5486486 0.6756757 1.0 85.0 89.0 0.2625 0.3149488 0.37349397 0.68604654 0.81744194 0.872093
38 0.31578946 0.54999995 0.65789473 1.0 84.8 89.0 0.2625 0.3168111 0.37349397 0.68604654 0.81279075 0.872093
39 0.33333334 0.54615384 0.6666667 1.0 84.6 88.0 0.2625 0.3175605 0.37349397 0.68604654 0.811628 0.872093
40 0.325 0.54 0.65 1.0 84.3 88.0 0.2658228 0.32217827 0.37804878 0.68604654 0.80930233 0.872093
41 0.31707317 0.54146343 0.6585366 1.0 84.0 88.0 0.26923078 0.3232851 0.37804878 0.6744186 0.8069768 0.872093
42 0.33333334 0.53809524 0.64285713 1.0 83.8 88.0 0.26923078 0.32762116 0.37804878 0.6744186 0.80232555 0.8488372
43 0.3255814 0.53720933 0.6511628 1.0 83.6 88.0 0.27272728 0.32843956 0.37804878 0.6627907 0.8 0.8488372
44 0.3409091 0.5386363 0.65909094 1.0 83.3 88.0 0.27272728 0.33081207 0.37804878 0.6627907 0.7976745 0.8488372
45 0.33333334 0.5377778 0.6666667 1.0 83.2 88.0 0.2857143 0.33365804 0.37804878 0.6627907 0.79418606 0.8488372
46 0.3478261 0.5391304 0.67391306 1.0 83.1 88.0 0.2857143 0.33405128 0.37804878 0.6627907 0.7930233 0.8488372
47 0.34042552 0.5382979 0.65957445 1.0 83.1 88.0 0.2820513 0.33652073 0.3902439 0.6627907 0.7906977 0.8488372
48 0.35416666 0.54583335 0.6666667 1.0 83.1 88.0 0.2820513 0.33774024 0.3902439 0.6627907 0.7906977 0.8488372
49 0.3469388 0.5469388 0.67346936 1.0 82.7 88.0 0.2857143 0.33930188 0.3902439 0.6627907 0.7906977 0.8488372
50 0.36 0.548 0.68 1.0 82.5 88.0 0.2857143 0.3425238 0.3902439 0.6627907 0.7906977 0.8488372
51 0.3529412 0.5490197 0.6862745 1.0 82.3 88.0 0.2987013 0.34582454 0.3902439 0.6627907 0.78720933 0.8488372
52 0.3653846 0.55576926 0.6923077 1.0 82.2 88.0 0.2987013 0.34623104 0.3902439 0.6627907 0.78720933 0.8488372
53 0.3773585 0.5566038 0.6981132 1.0 82.0 88.0 0.2987013 0.34954777 0.39506173 0.6627907 0.7860465 0.8488372
54 0.37037036 0.5592593 0.7037037 1.0 81.8 88.0 0.3026316 0.35034242 0.39506173 0.6627907 0.7860465 0.8488372
55 0.38181818 0.5581818 0.6909091 1.0 81.8 89.0 0.3026316 0.35168144 0.39506173 0.6627907 0.7848837 0.8372093
56 0.375 0.55714285 0.6964286 1.0 81.6 89.0 0.30666667 0.35250992 0.3902439 0.6627907 0.7825581 0.8372093
57 0.3859649 0.55263156 0.68421054 1.0 81.5 90.0 0.30666667 0.35547465 0.40243903 0.6627907 0.78023255 0.8372093
58 0.39655173 0.55172414 0.6896552 1.0 81.4 90.0 0.30666667 0.3570523 0.40243903 0.6627907 0.78023255 0.8372093
59 0.3898305 0.5542373 0.69491524 1.0 81.3 90.0 0.32 0.36004177 0.41463414 0.6627907 0.7790698 0.8372093
60 0.4 0.555 0.7 1.0 81.4 90.0 0.32 0.36207455 0.42682928 0.6627907 0.7790698 0.8372093
61 0.40983605 0.5557377 0.704918 1.0 81.3 90.0 0.32 0.36377257 0.42682928 0.6627907 0.7767442 0.8372093
62 0.4032258 0.5564516 0.6935484 1.0 81.0 89.0 0.32 0.3652318 0.43209878 0.6627907 0.7744186 0.8372093
63 0.41269842 0.5539683 0.6984127 1.0 80.8 89.0 0.32 0.37104994 0.44444445 0.6627907 0.77093023 0.8372093
64 0.421875 0.553125 0.6875 1.0 80.6 88.0 0.32 0.3731203 0.44444445 0.6627907 0.76860464 0.8372093
65 0.43076923 0.55538464 0.6923077 1.0 80.5 88.0 0.32 0.37484536 0.44444445 0.6627907 0.76860464 0.8372093
66 0.43939394 0.55757576 0.6969697 1.0 80.4 88.0 0.32 0.3765873 0.44444445 0.6627907 0.76744187 0.8255814
