rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.8 92.0 0.20652173 0.25383422 0.3043478 0.8255814 0.88953495 0.94186044
2 0.0 0.5 1.0 1.0 91.8 92.0 0.20652173 0.25383422 0.3043478 0.8255814 0.8883721 0.94186044
3 0.33333334 0.4666667 1.0 1.0 91.8 92.0 0.20652173 0.25383422 0.3043478 0.8255814 0.88488376 0.94186044
4 0.25 0.45 0.75 1.0 91.8 93.0 0.20652173 0.2538635 0.3043478 0.8255814 0.8860466 0.94186044
5 0.2 0.45999998 0.8 1.0 91.8 93.0 0.20652173 0.25495046 0.3043478 0.8255814 0.8860466 0.94186044
6 0.16666667 0.4666667 0.8333333 1.0 91.7 93.0 0.20879121 0.2562644 0.3152174 0.8255814 0.88255817 0.9302326
7 0.14285715 0.44285712 0.85714287 1.0 91.7 93.0 0.20879121 0.2584383 0.3152174 0.8255814 0.8860466 0.96511626
8 0.125 0.4375 0.875 1.0 91.7 93.0 0.20879121 0.2584383 0.3152174 0.8255814 0.88488376 0.94186044
9 0.22222222 0.4555556 0.7777778 1.0 91.7 93.0 0.20879121 0.2584383 0.3152174 0.8255814 0.8883721 0.96511626
10 0.2 0.47000003 0.8 1.0 91.7 93.0 0.20879121 0.25952524 0.32608697 0.8255814 0.8872093 0.96511626
11 0.18181819 0.48181814 0.8181818 1.0 91.6 93.0 0.21111111 0.26084417 0.33695653 0.8255814 0.8872093 0.96511626
12 0.25 0.51666665 0.75 1.0 91.6 93.0 0.21111111 0.26193115 0.33695653 0.8255814 0.8883721 0.96511626
13 0.23076923 0.52307695 0.7692308 1.0 91.6 93.0 0.22222222 0.26412922 0.33695653 0.81395346 0.8860466 0.96511626
14 0.21428572 0.5214286 0.78571427 1.0 91.6 93.0 0.22222222 0.26412922 0.33695653 0.81395346 0.8860466 0.96511626
15 0.2 0.52000004 0.73333335 1.0 91.5 93.0 0.22222222 0.26441005 0.33695653 0.81395346 0.8860466 0.96511626
16 0.25 0.51875 0.6875 1.0 91.5 93.0 0.22222222 0.265497 0.3478261 0.81395346 0.8860466 0.96511626
17 0.29411766 0.5235294 0.7058824 1.0 91.4 93.0 0.22222222 0.26687106 0.35869566 0.81395346 0.8872093 0.96511626
18 0.2777778 0.5333333 0.6666667 1.0 91.4 93.0 0.22222222 0.26687106 0.35869566 0.81395346 0.8906978 0.96511626
19 0.31578946 0.53157896 0.68421054 1.0 91.4 93.0 0.22222222 0.26796997 0.35869566 0.81395346 0.88837224 0.94186044
