rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.4 92.0 0.20652173 0.25391784 0.30769232 0.8255814 0.88488376 0.94186044
2 0.0 0.5 1.0 1.0 91.1 92.0 0.20652173 0.25480306 0.31111112 0.8255814 0.883721 0.94186044
3 0.33333334 0.4666667 1.0 1.0 90.5 92.0 0.20879121 0.25645298 0.31111112 0.8255814 0.8790698 0.94186044
4 0.25 0.475 0.75 1.0 90.2 92.0 0.21111111 0.25733927 0.31460676 0.8255814 0.8767443 0.94186044
5 0.2 0.48000002 0.8 1.0 89.8 91.0 0.21348314 0.25840157 0.31460676 0.81395346 0.872093 0.94186044
6 0.16666667 0.48333335 0.8333333 1.0 89.6 91.0 0.2159091 0.2600674 0.3258427 0.81395346 0.86860466 0.9302326
7 0.14285715 0.45714283 0.85714287 1.0 89.1 91.0 0.21839081 0.26149666 0.3258427 0.81395346 0.8662791 0.9302326
8 0.125 0.45 0.875 1.0 88.6 91.0 0.22093023 0.26295814 0.32954547 0.81395346 0.86279076 0.9186047
9 0.22222222 0.47777778 0.7777778 1.0 88.5 90.0 0.22093023 0.26323897 0.32954547 0.81395346 0.86162794 0.9186047
10 0.2 0.49 0.8 1.0 88.1 90.0 0.22352941 0.26452315 0.33333334 0.8023256 0.8593024 0.9186047
11 0.18181819 0.49999994 0.8181818 1.0 87.7 90.0 0.22619048 0.26578456 0.3372093 0.8023256 0.8593024 0.9186047
12 0.25 0.5333333 0.75 1.0 87.6 90.0 0.22619048 0.2660717 0.3372093 0.8023256 0.8593024 0.9186047
13 0.23076923 0.5307692 0.7692308 1.0 87.1 90.0 0.22891566 0.2675597 0.3372093 0.76744187 0.855814 0.9186047
14 0.21428572 0.5285714 0.78571427 1.0 86.7 90.0 0.23170732 0.26873487 0.3372093 0.76744187 0.855814 0.9186047
15 0.2 0.52000004 0.73333335 1.0 86.1 89.0 0.2345679 0.2706016 0.34117648 0.76744187 0.85348845 0.9186047
16 0.25 0.51875 0.6875 1.0 85.6 88.0 0.2345679 0.2722595 0.3452381 0.76744187 0.8511628 0.9186047
17 0.29411766 0.5235294 0.7058824 1.0 85.4 88.0 0.2345679 0.27404475 0.35714287 0.76744187 0.85 0.90697676
18 0.2777778 0.53333336 0.6666667 1.0 85.2 87.0 0.2345679 0.2746831 0.35714287 0.75581396 0.8488372 0.90697676
19 0.31578946 0.5368421 0.68421054 1.0 85.0 87.0 0.2345679 0.27646607 0.35714287 0.75581396 0.84651166 0.90697676
20 0.35 0.535 0.65 1.0 84.5 86.0 0.2345679 0.2780989 0.35714287 0.75581396 0.8430233 0.90697676
21 0.3809524 0.53333336 0.6666667 1.0 84.3 86.0 0.2345679 0.28009385 0.36144578 0.75581396 0.84069765 0.88372093
22 0.36363637 0.5272727 0.6818182 1.0 83.8 86.0 0.2375 0.28288874 0.36144578 0.75581396 0.83720934 0.872093
23 0.3478261 0.5260869 0.6956522 1.0 83.3 86.0 0.24050634 0.28447098 0.36144578 0.75581396 0.8360465 0.872093
24 0.33333334 0.5208334 0.7083333 1.0 82.9 86.0 0.24050634 0.2857957 0.36144578 0.75581396 0.8348838 0.872093
25 0.32 0.52 0.68 1.0 82.5 85.0 0.25316456 0.28836647 0.36144578 0.74418604 0.83255816 0.872093
26 0.30769232 0.51538455 0.6923077 1.0 82.1 85.0 0.25641027 0.2910788 0.36585367 0.74418604 0.8313953 0.872093
27 0.2962963 0.5148148 0.6666667 1.0 81.7 84.0 0.25974026 0.29369584 0.36585367 0.73255813 0.8220931 0.8604651
28 0.32142857 0.525 0.6785714 1.0 81.5 84.0 0.25974026 0.2943717 0.36585367 0.73255813 0.8220931 0.8604651
29 0.31034482 0.5206896 0.6896552 1.0 81.0 84.0 0.2631579 0.29626912 0.37037036 0.73255813 0.81860477 0.8604651
30 0.33333334 0.52666664 0.6666667 1.0 80.7 83.0 0.2631579 0.29733855 0.37037036 0.73255813 0.81744194 0.8604651
31 0.3548387 0.53870964 0.67741936 1.0 80.6 83.0 0.2631579 0.2976935 0.37037036 0.73255813 0.81744194 0.8604651
