rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.8 92.0 0.20652173 0.25493312 0.3043478 0.8255814 0.8860465 0.94186044
2 0.0 0.5 1.0 1.0 91.8 92.0 0.20652173 0.25493312 0.3043478 0.8255814 0.88488376 0.94186044
3 0.33333334 0.4666667 1.0 1.0 91.7 92.0 0.2173913 0.25630674 0.3043478 0.8255814 0.88488376 0.94186044
4 0.25 0.475 0.75 1.0 91.7 92.0 0.2173913 0.25630674 0.3043478 0.8255814 0.883721 0.94186044
5 0.2 0.48000002 0.8 1.0 91.7 92.0 0.2173913 0.2584926 0.3043478 0.81395346 0.88023263 0.94186044
6 0.16666667 0.48333335 0.8333333 1.0 91.6 92.0 0.2173913 0.259914 0.30769232 0.81395346 0.87674415 0.94186044
7 0.14285715 0.45714283 0.85714287 1.0 91.4 92.0 0.2173913 0.2615743 0.30769232 0.81395346 0.8790698 0.9302326
8 0.125 0.4625 0.875 1.0 91.3 92.0 0.2173913 0.26187956 0.30769232 0.81395346 0.877907 0.9302326
9 0.22222222 0.48888892 0.7777778 1.0 91.2 92.0 0.2173913 0.26323515 0.30769232 0.81395346 0.8755814 0.9302326
10 0.2 0.5 0.8 1.0 91.1 92.0 0.21978022 0.26567182 0.31868133 0.81395346 0.8744186 0.9302326
11 0.18181819 0.5090909 0.8181818 1.0 91.0 92.0 0.21978022 0.2660015 0.31868133 0.81395346 0.8744186 0.9302326
12 0.25 0.5416666 0.75 1.0 91.0 92.0 0.21978022 0.2660015 0.31868133 0.81395346 0.87558144 0.9302326
13 0.23076923 0.53846157 0.7692308 1.0 91.0 92.0 0.21978022 0.2671004 0.31868133 0.81395346 0.87325585 0.9302326
14 0.21428572 0.53571427 0.78571427 1.0 90.9 92.0 0.21978022 0.2673751 0.31868133 0.81395346 0.87325585 0.9302326
15 0.2 0.5266667 0.73333335 1.0 90.8 92.0 0.21978022 0.26881617 0.32222223 0.81395346 0.87325585 0.9302326
16 0.25 0.5375 0.6875 1.0 90.8 92.0 0.21978022 0.27101424 0.32222223 0.81395346 0.87325585 0.9302326
17 0.29411766 0.5470589 0.7058824 1.0 90.8 92.0 0.21978022 0.27101424 0.32222223 0.81395346 0.8744186 0.9302326
