rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8883721 0.94186044
100 0.49 0.551 0.64 1.0 90.4 92.0 0.27586207 0.33158335 0.38202247 0.76744187 0.8360466 0.89534885
200 0.53 0.6025 0.67 1.0 88.7 90.0 0.36363637 0.408997 0.49438202 0.75581396 0.85 0.90697676
300 0.56333333 0.6403333 0.6933333 1.0 87.3 90.0 0.39759037 0.46805352 0.5632184 0.7209302 0.8197675 0.88372093
400 0.605 0.66899997 0.7075 1.0 85.7 89.0 0.44578314 0.5235449 0.5882353 0.7093023 0.8034884 0.90697676
500 0.622 0.692 0.728 1.0 84.1 87.0 0.5421687 0.58356035 0.63529414 0.73255813 0.76046515 0.8488372
600 0.6566667 0.7166667 0.755 1.0 82.8 85.0 0.57831323 0.6242335 0.6626506 0.6976744 0.75581396 0.8255814
700 0.68857145 0.7367143 0.76714283 1.0 81.0 85.0 0.6097561 0.6577866 0.7160494 0.68604654 0.75581396 0.8023256
800 0.7125 0.753375 0.7825 1.0 79.6 84.0 0.6363636 0.69612247 0.75949365 0.6395349 0.7162791 0.8023256
900 0.72333336 0.76744443 0.79555553 1.0 77.8 84.0 0.65822786 0.7305247 0.7894737 0.6395349 0.6976744 0.76744187
1000 0.736 0.7803 0.809 1.0 76.3 82.0 0.6708861 0.76472104 0.81578946 0.61627907 0.6848837 0.75581396
1100 0.7518182 0.79381824 0.8218182 1.0 75.2 81.0 0.7051282 0.7918925 0.8513514 0.61627907 0.67674416 0.75581396
1200 0.765 0.8054166 0.83166665 1.0 74.3 80.0 0.76 0.81567574 0.8783784 0.61627907 0.6604651 0.7209302
1300 0.7776923 0.81646156 0.84076923 1.0 73.6 79.0 0.8028169 0.83817595 0.8783784 0.60465115 0.64767444 0.7093023
1400 0.7892857 0.8262142 0.85071427 1.0 73.0 79.0 0.82608694 0.8531804 0.8783784 0.55813956 0.62674415 0.68604654
1500 0.8013333 0.83619994 0.85866666 1.0 72.5 79.0 0.8405797 0.8661064 0.9027778 0.55813956 0.6151163 0.6744186
1600 0.8125 0.8444375 0.865625 1.0 72.0 78.0 0.85294116 0.8778826 0.9285714 0.55813956 0.605814 0.68604654
1700 0.8229412 0.8518235 0.8729412 1.0 71.4 77.0 0.85294116 0.88682806 0.9285714 0.54651165 0.59651166 0.68604654
1800 0.83111113 0.8582778 0.8794444 1.0 70.8 76.0 0.85333335 0.8985322 0.92957747 0.55813956 0.59534883 0.68604654
1900 0.83947366 0.86436844 0.88526314 1.0 70.3 75.0 0.85333335 0.90647113 0.942029 0.5232558 0.5837209 0.6511628
2000 0.846 0.8695 0.891 1.0 69.6 74.0 0.8648649 0.9169315 0.95652175 0.5116279 0.58255816 0.68604654
2100 0.85333335 0.87528574 0.89619046 1.0 69.3 74.0 0.8648649 0.92091167 0.95652175 0.5116279 0.57558143 0.6744186
2200 0.8590909 0.8797728 0.89954543 1.0 69.0 74.0 0.8783784 0.9279639 0.9701493 0.47674417 0.5627907 0.6511628
2300 0.86391306 0.8845218 0.90347826 1.0 68.7 74.0 0.89041096 0.9333849 0.9701493 0.47674417 0.55813956 0.6511628
2400 0.8695833 0.8889167 0.90708333 1.0 68.6 74.0 0.89041096 0.93751353 0.9701493 0.47674417 0.55581397 0.6511628
2500 0.8744 0.89272004 0.91 1.0 68.3 74.0 0.89041096 0.941784 0.9701493 0.47674417 0.5523256 0.6395349
2600 0.87884617 0.8965 0.91346157 1.0 68.1 73.0 0.89041096 0.94452465 0.9701493 0.5 0.5523256 0.61627907
2700 0.88296294 0.9 0.9166667 1.0 67.9 73.0 0.9027778 0.947168 0.9705882 0.5116279 0.55116284 0.61627907
2800 0.8867857 0.9031785 0.9192857 1.0 67.8 73.0 0.9027778 0.9502252 0.9848485 0.5 0.55116284 0.60465115
2900 0.8903448 0.9061035 0.92206895 1.0 67.6 73.0 0.91549295 0.9530328 0.9848485 0.4883721 0.5500001 0.61627907
3000 0.8936667 0.90893334 0.92433333 1.0 67.5 73.0 0.91549295 0.9575869 0.98507464 0.47674417 0.5465116 0.60465115
3100 0.8967742 0.91154844 0.9267742 1.0 67.4 72.0 0.92957747 0.9632355 0.98507464 0.4883721 0.5430232 0.59302324
3200 0.8996875 0.9140625 0.9290625 1.0 67.3 72.0 0.93846154 0.9675304 0.98507464 0.4883721 0.5406977 0.59302324
3300 0.90181816 0.9165152 0.9312121 1.0 67.2 72.0 0.93846154 0.96902305 1.0 0.4883721 0.5406977 0.59302324
3400 0.9047059 0.91888237 0.9332353 1.0 67.1 72.0 0.93846154 0.9718582 1.0 0.4883721 0.5395349 0.59302324
3500 0.90657145 0.9210572 0.9351429 1.0 67.0 72.0 0.94285715 0.9748871 1.0 0.45348838 0.53604656 0.59302324
3600 0.9091667 0.92316663 0.9369444 1.0 67.0 72.0 0.94285715 0.9748871 1.0 0.45348838 0.54069763 0.61627907
