rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
100 0.48 0.57199997 0.67 1.0 91.0 92.0 0.2826087 0.34311223 0.41111112 0.8255814 0.87674415 0.90697676
200 0.52 0.622 0.705 1.0 88.3 90.0 0.35632184 0.41557926 0.49438202 0.7906977 0.8720931 0.9186047
300 0.57666665 0.665 0.72333336 1.0 87.2 90.0 0.4047619 0.46770328 0.5280899 0.76744187 0.8523256 0.89534885
400 0.6275 0.69750005 0.76 1.0 85.6 89.0 0.4390244 0.5172327 0.60240966 0.74418604 0.83255816 0.872093
500 0.656 0.723 0.776 1.0 84.0 88.0 0.5125 0.56672853 0.627907 0.73255813 0.81046516 0.872093
600 0.695 0.75133336 0.79 1.0 82.9 87.0 0.5443038 0.60539067 0.6511628 0.73255813 0.79651165 0.872093
700 0.72 0.7742857 0.81285715 1.0 82.2 87.0 0.57471263 0.6339096 0.67901236 0.6744186 0.7767442 0.8488372
800 0.7475 0.79425 0.8275 1.0 81.1 85.0 0.61728394 0.65605986 0.69135803 0.6744186 0.77093023 0.8488372
900 0.77111113 0.81166667 0.8422222 1.0 80.7 85.0 0.63095236 0.6679688 0.7108434 0.68604654 0.76744187 0.8372093
1000 0.789 0.827 0.856 1.0 80.2 84.0 0.64 0.67807543 0.7195122 0.68604654 0.76744187 0.8372093
1100 0.8018182 0.84000003 0.86636364 1.0 80.0 84.0 0.6621622 0.6873193 0.73170733 0.68604654 0.761628 0.8255814
1200 0.81416667 0.8510834 0.87666667 1.0 79.5 84.0 0.6707317 0.69292176 0.73170733 0.68604654 0.7569767 0.8372093
1300 0.8261539 0.86146146 0.8861538 1.0 79.5 84.0 0.6785714 0.6979843 0.74390244 0.6744186 0.7488372 0.8255814
1400 0.8385714 0.87035716 0.89428574 1.0 79.1 84.0 0.6785714 0.7040835 0.75308645 0.6744186 0.75116277 0.8255814
1500 0.84933335 0.8786666 0.9 1.0 79.1 84.0 0.6785714 0.7065526 0.75308645 0.6744186 0.75116277 0.8255814
1600 0.85875 0.8859375 0.905625 1.0 78.9 84.0 0.6904762 0.70959294 0.75308645 0.6627907 0.75 0.8255814
1700 0.8670588 0.89252937 0.91117644 1.0 78.9 84.0 0.6904762 0.7108276 0.7654321 0.6627907 0.7488372 0.8255814
1800 0.8744444 0.89849997 0.9161111 1.0 78.9 84.0 0.6904762 0.7108276 0.7654321 0.6627907 0.7488372 0.8255814
1900 0.8805263 0.9037895 0.9205263 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2000 0.8865 0.90860003 0.9245 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2100 0.8919048 0.91290474 0.9280952 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2200 0.89681816 0.9168636 0.93136364 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2300 0.90130436 0.9204782 0.9343478 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2400 0.90541667 0.9237916 0.9370833 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2500 0.9092 0.92684 0.9396 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2600 0.9126923 0.92965394 0.9419231 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2700 0.9159259 0.93225926 0.9440741 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2800 0.91892856 0.93467855 0.94607145 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
2900 0.92172414 0.936931 0.94793105 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3000 0.92433333 0.9390333 0.9496667 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3100 0.9267742 0.941 0.9512903 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3200 0.9290625 0.94284374 0.9528125 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3300 0.9312121 0.94457567 0.9542424 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3400 0.9332353 0.9462059 0.9555882 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3500 0.9351429 0.9477428 0.95685714 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3600 0.9369444 0.94919443 0.95805556 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3700 0.93864864 0.95056754 0.9591892 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3800 0.94026315 0.95186836 0.96026313 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
3900 0.9417949 0.9531027 0.9612821 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4000 0.94325 0.95427495 0.96225 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4100 0.94463414 0.95539016 0.9631707 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4200 0.94595236 0.9564525 0.9640476 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4300 0.9472093 0.95746505 0.96488374 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4400 0.9484091 0.95843184 0.9656818 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4500 0.9495556 0.95935553 0.96644443 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4600 0.9506522 0.96023923 0.96717393 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4700 0.9517021 0.96108514 0.9678723 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4800 0.9527083 0.9618958 0.9685417 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
4900 0.9536735 0.9626735 0.9691837 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5000 0.9546 0.96342003 0.9698 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5100 0.9554902 0.96413726 0.97039217 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5200 0.95634615 0.96482694 0.9709615 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5300 0.95716983 0.96549064 0.97150946 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5400 0.957963 0.96612966 0.972037 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5500 0.9587273 0.9667455 0.97254544 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5600 0.9594643 0.96733934 0.9730357 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5700 0.96017545 0.9679123 0.9735088 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5800 0.96086204 0.9684655 0.9739655 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
5900 0.96152544 0.96900004 0.9744068 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6000 0.96216667 0.96951663 0.9748333 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6100 0.9627869 0.97001636 0.9752459 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6200 0.9633871 0.9705 0.9756452 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6300 0.9639683 0.97096825 0.9760317 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6400 0.96453124 0.9714219 0.9764063 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6500 0.9650769 0.97186154 0.9767692 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6600 0.96560603 0.97228795 0.97712123 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6700 0.9661194 0.97270155 0.9774627 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6800 0.96661764 0.9731029 0.9777941 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
6900 0.96710145 0.97349274 0.9781159 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7000 0.96757144 0.9738714 0.97842854 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7100 0.9680282 0.97423947 0.9787324 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7200 0.96847224 0.9745973 0.97902775 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7300 0.96890414 0.97494525 0.97931504 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7400 0.96932435 0.9752838 0.9795946 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7500 0.96973336 0.9756133 0.9798667 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
7600 0.9701316 0.9759342 0.98013157 1.0 78.9 84.0 0.6904762 0.7122165 0.7654321 0.6627907 0.7488372 0.8255814
