rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.2521739 0.3043478 0.8255814 0.8906978 0.94186044
100 0.5 0.578 0.68 1.0 79.0 85.0 0.30985916 0.3625229 0.4 0.7209302 0.7790698 0.8488372
200 0.565 0.64699996 0.705 1.0 68.3 75.0 0.41666666 0.47302333 0.5522388 0.5813953 0.68720925 0.81395346
300 0.64 0.708 0.74333334 1.0 60.5 66.0 0.5 0.5693267 0.6451613 0.4883721 0.59534883 0.6744186
400 0.705 0.75775 0.79 1.0 55.8 61.0 0.55737704 0.639686 0.70689654 0.4651163 0.5534884 0.61627907
500 0.748 0.79179996 0.816 1.0 52.5 58.0 0.6315789 0.7024139 0.74545455 0.40697673 0.52093023 0.5813953
600 0.785 0.8208333 0.84 1.0 51.4 57.0 0.6666667 0.73550713 0.775 0.38372093 0.50581396 0.5813953
700 0.81285715 0.84328574 0.86 1.0 50.3 57.0 0.6909091 0.75353444 0.7948718 0.37209302 0.49302322 0.5813953
800 0.83375 0.861125 0.875 1.0 49.7 56.0 0.7037037 0.7644185 0.81578946 0.37209302 0.48720932 0.5697674
900 0.85 0.8758888 0.8888889 1.0 49.3 56.0 0.7037037 0.7724673 0.8611111 0.3372093 0.48139533 0.5697674
1000 0.865 0.8879999 0.9 1.0 49.2 56.0 0.7169811 0.7757951 0.8611111 0.3372093 0.48139533 0.5697674
1100 0.8772727 0.89809084 0.90909094 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1200 0.8875 0.9065 0.9166667 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1300 0.89615387 0.9136923 0.9230769 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1400 0.9035714 0.91985714 0.9285714 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1500 0.91 0.9252001 0.93333334 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1600 0.915625 0.929875 0.9375 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1700 0.92058825 0.934 0.9411765 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1800 0.925 0.9376667 0.9444444 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1900 0.9289474 0.94094735 0.94736844 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2000 0.9325 0.9439 0.95 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2100 0.9357143 0.94657147 0.95238096 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2200 0.93863636 0.949 0.95454544 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2300 0.9413043 0.95121735 0.95652175 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2400 0.94375 0.95325005 0.9583333 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2500 0.946 0.9551201 0.96 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2600 0.9480769 0.95684624 0.96153843 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
