rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 91.9 92.0 0.20652173 0.25468224 0.30769232 0.8255814 0.8860466 0.94186044
100 0.54 0.596 0.65 1.0 88.0 90.0 0.3258427 0.38310564 0.43820226 0.75581396 0.81162786 0.88372093
200 0.595 0.6549999 0.7 1.0 84.1 88.0 0.43529412 0.5104746 0.55813956 0.74418604 0.7790698 0.8023256
300 0.6533333 0.70466673 0.73333335 1.0 81.5 85.0 0.5119048 0.59009486 0.654321 0.6976744 0.744186 0.81395346
400 0.7125 0.73975 0.7625 1.0 78.5 83.0 0.56962025 0.65520275 0.7 0.6395349 0.71279067 0.76744187
500 0.742 0.7674 0.784 1.0 76.1 80.0 0.62025315 0.72489536 0.7837838 0.59302324 0.6860465 0.75581396
600 0.77166665 0.7916667 0.805 1.0 74.5 79.0 0.6883117 0.76570076 0.8194444 0.5813953 0.6686046 0.76744187
700 0.8 0.8115715 0.8257143 1.0 73.3 78.0 0.7763158 0.80534047 0.87142855 0.5813953 0.65 0.74418604
800 0.81375 0.82975006 0.84375 1.0 71.9 78.0 0.79710144 0.837279 0.89041096 0.53488374 0.6360465 0.74418604
900 0.8288889 0.8436667 0.8577778 1.0 70.9 76.0 0.8194444 0.8668925 0.90625 0.5232558 0.62093025 0.7093023
1000 0.845 0.85600007 0.869 1.0 70.1 75.0 0.8194444 0.8852807 0.92957747 0.5232558 0.5976744 0.6511628
1100 0.8536364 0.8659091 0.88 1.0 69.3 75.0 0.8194444 0.9056408 0.95714283 0.5116279 0.57790697 0.6511628
1200 0.86333334 0.8751666 0.88666666 1.0 68.6 73.0 0.8428571 0.9173929 0.95714283 0.5 0.57093024 0.6627907
1300 0.87153846 0.8829231 0.8930769 1.0 68.3 73.0 0.85507244 0.92577994 0.95714283 0.4883721 0.561628 0.627907
1400 0.88 0.89021426 0.89857143 1.0 67.9 73.0 0.86764705 0.9342028 0.9710145 0.4883721 0.561628 0.627907
