rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.25652173 0.3152174 0.8255814 0.88953483 0.94186044
100 0.53 0.61700004 0.69 1.0 87.3 91.0 0.32941177 0.40537125 0.4597701 0.8255814 0.85930234 0.90697676
200 0.58 0.6805 0.775 1.0 84.8 90.0 0.4597701 0.5238406 0.5647059 0.7790698 0.833721 0.872093
300 0.67 0.735 0.79 1.0 82.0 87.0 0.55172414 0.5959774 0.6385542 0.75581396 0.7976744 0.8488372
400 0.7225 0.77925 0.825 1.0 81.1 86.0 0.6 0.6421183 0.6666667 0.73255813 0.7837209 0.8255814
500 0.76 0.81079996 0.85 1.0 80.5 86.0 0.6395349 0.67340624 0.69512194 0.73255813 0.78837216 0.8488372
600 0.79333335 0.8348333 0.85833335 1.0 79.7 85.0 0.65882355 0.6954907 0.7307692 0.7209302 0.7767441 0.8372093
700 0.82 0.85385716 0.87142855 1.0 79.3 84.0 0.6708861 0.7065656 0.74358976 0.7209302 0.7651163 0.8255814
800 0.83625 0.86899996 0.88625 1.0 79.3 84.0 0.6708861 0.7114919 0.74358976 0.7093023 0.76744187 0.8255814
900 0.8488889 0.8823333 0.8988889 1.0 79.2 84.0 0.6708861 0.71507496 0.74358976 0.7093023 0.761628 0.8255814
1000 0.862 0.89320004 0.909 1.0 78.8 84.0 0.67948717 0.7200261 0.7631579 0.6976744 0.75813955 0.8255814
1100 0.87363636 0.90272725 0.91727275 1.0 78.7 84.0 0.6883117 0.7209085 0.7631579 0.6976744 0.7569768 0.8255814
1200 0.88416666 0.91075003 0.9241667 1.0 78.7 84.0 0.6883117 0.7209085 0.7631579 0.6976744 0.7569768 0.8255814
1300 0.8930769 0.9174615 0.93 1.0 78.7 84.0 0.6883117 0.7209085 0.7631579 0.6976744 0.7569768 0.8255814
1400 0.9007143 0.9232858 0.935 1.0 78.7 84.0 0.6883117 0.7209085 0.7631579 0.6976744 0.75581396 0.8255814
1500 0.9073333 0.9283333 0.9393333 1.0 78.7 84.0 0.6883117 0.7209085 0.7631579 0.6976744 0.75581396 0.8255814
1600 0.913125 0.9327499 0.943125 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
1700 0.9182353 0.9367059 0.94647056 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
1800 0.9227778 0.94022226 0.9494445 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
1900 0.9268421 0.94336855 0.9521053 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2000 0.9305 0.9462 0.9545 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2100 0.9338095 0.94876194 0.95666665 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2200 0.9368182 0.9510908 0.95863634 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2300 0.93956524 0.9532174 0.9604348 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2400 0.94208336 0.95516664 0.96208334 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2500 0.9444 0.95696 0.9636 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2600 0.94653845 0.9586153 0.965 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2700 0.9485185 0.96014816 0.9662963 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2800 0.95035714 0.9615714 0.9675 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
2900 0.952069 0.9628965 0.9686207 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3000 0.9536667 0.9641334 0.96966666 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3100 0.9551613 0.96529025 0.9706452 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3200 0.9565625 0.96637505 0.9715625 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3300 0.95787877 0.9673939 0.97242427 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3400 0.95911765 0.968353 0.9732353 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3500 0.9602857 0.9692572 0.974 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3600 0.9613889 0.9701112 0.9747222 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3700 0.96243244 0.97091895 0.9754054 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3800 0.96342105 0.9716843 0.97605264 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
3900 0.964359 0.9724103 0.9766667 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4000 0.96525 0.9731 0.97725 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4100 0.96609753 0.97375613 0.9778049 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4200 0.96690476 0.97438085 0.97833335 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4300 0.96767443 0.9749767 0.9788372 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4400 0.96840906 0.9755455 0.9793182 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4500 0.9691111 0.9760889 0.97977775 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4600 0.9697826 0.97660875 0.9802174 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4700 0.97042555 0.9771064 0.9806383 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4800 0.9710417 0.9775833 0.98104167 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
4900 0.97163266 0.9780409 0.98142856 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5000 0.9722 0.97848004 0.9818 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5100 0.9727451 0.978902 0.9821569 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5200 0.9732692 0.9793078 0.9825 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5300 0.9737736 0.97969806 0.98283017 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5400 0.97425926 0.9800741 0.98314816 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5500 0.9747273 0.98043644 0.9834545 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5600 0.9751786 0.9807857 0.98375 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5700 0.975614 0.98112285 0.9840351 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5800 0.97603446 0.9814482 0.9843103 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
5900 0.97644067 0.9817627 0.9845763 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6000 0.97683334 0.98206675 0.98483336 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6100 0.97721314 0.9823607 0.985082 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6200 0.97758067 0.9826452 0.9853226 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6300 0.9779365 0.98292065 0.9855555 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6400 0.97828126 0.98318756 0.98578125 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6500 0.9786154 0.9834461 0.986 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6600 0.9789394 0.98369694 0.98621213 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6700 0.9792537 0.9839403 0.9864179 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6800 0.9795588 0.98417646 0.9866176 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
6900 0.97985506 0.9844058 0.9868116 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7000 0.98014283 0.9846287 0.987 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7100 0.98042256 0.98484504 0.9871831 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7200 0.9806945 0.98505557 0.98736113 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7300 0.9809589 0.9852603 0.9875342 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7400 0.9812162 0.9854595 0.9877027 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7500 0.98146665 0.9856533 0.98786664 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7600 0.98171055 0.9858421 0.9880263 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7700 0.9819481 0.986026 0.9881818 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7800 0.98217946 0.9862052 0.98833334 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
7900 0.98240507 0.98637974 0.988481 1.0 78.6 84.0 0.69736844 0.7218142 0.7631579 0.6976744 0.7546512 0.8255814
