rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.6 92.0 0.20652173 0.25555423 0.30769232 0.8255814 0.88488376 0.94186044
100 0.57 0.63799995 0.7 1.0 66.9 74.0 0.3918919 0.4564082 0.4857143 0.5697674 0.6802325 0.8023256
200 0.68 0.732 0.775 1.0 56.2 66.0 0.530303 0.62724566 0.6976744 0.40697673 0.5569768 0.73255813
300 0.7633333 0.801 0.8233333 1.0 52.7 59.0 0.6315789 0.69330263 0.7368421 0.3604651 0.52209306 0.61627907
400 0.82 0.842 0.8525 1.0 50.8 56.0 0.66071427 0.7361493 0.7735849 0.3604651 0.50116277 0.5697674
500 0.854 0.8708 0.878 1.0 49.9 56.0 0.7037037 0.75513697 0.78431374 0.3488372 0.48837215 0.5697674
600 0.875 0.89066666 0.89666665 1.0 49.6 56.0 0.7037037 0.76870143 0.8378378 0.3488372 0.48372093 0.5697674
700 0.89285713 0.9057142 0.9114286 1.0 49.5 56.0 0.7037037 0.7701528 0.8378378 0.3488372 0.48372093 0.5697674
800 0.905 0.9171249 0.9225 1.0 49.3 56.0 0.7169811 0.7738079 0.8611111 0.3372093 0.48023257 0.5697674
900 0.91555554 0.9262222 0.9311111 1.0 49.2 56.0 0.7169811 0.7757951 0.8611111 0.3372093 0.47906977 0.5697674
1000 0.924 0.9334 0.938 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1100 0.9309091 0.93945444 0.94363636 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1200 0.93666667 0.94449997 0.9483333 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1300 0.94153845 0.9487692 0.9523077 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1400 0.9457143 0.9524285 0.9557143 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1500 0.9493333 0.95559996 0.9586667 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1600 0.9525 0.958375 0.96125 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1700 0.95529413 0.96082354 0.9635294 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1800 0.9577778 0.9630001 0.96555555 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
1900 0.96 0.96494734 0.9673684 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2000 0.962 0.96669996 0.969 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2100 0.96380955 0.9682857 0.9704762 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2200 0.9654545 0.9697272 0.9718182 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2300 0.9669565 0.9710436 0.9730435 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2400 0.9683333 0.97224987 0.9741667 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2500 0.9696 0.97335994 0.9752 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2600 0.9707692 0.9743846 0.97615385 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2700 0.9718518 0.9753334 0.977037 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2800 0.9728571 0.9762143 0.9778572 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
2900 0.9737931 0.97703445 0.9786207 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3000 0.97466666 0.9778001 0.97933334 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3100 0.9754839 0.9785162 0.98 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3200 0.97625 0.9791875 0.980625 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3300 0.9769697 0.97981817 0.98121214 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3400 0.97764707 0.9804118 0.98176473 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3500 0.97828573 0.98097146 0.98228574 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3600 0.97888887 0.9815 0.9827778 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3700 0.97945946 0.982 0.9832432 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3800 0.98 0.98247373 0.9836842 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
3900 0.9805128 0.98292303 0.98410255 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4000 0.981 0.98335 0.9845 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4100 0.98146343 0.98375607 0.98487806 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4200 0.98190475 0.9841429 0.9852381 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4300 0.98232555 0.9845117 0.9855814 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4400 0.9827273 0.98486364 0.9859091 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4500 0.9831111 0.98520005 0.9862222 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4600 0.98347825 0.9855216 0.9865217 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4700 0.9838298 0.98582983 0.98680854 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4800 0.9841667 0.986125 0.9870833 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
4900 0.9844898 0.9864081 0.98734695 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5000 0.9848 0.98668003 0.9876 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5100 0.98509806 0.9869412 0.98784316 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5200 0.98538464 0.98719233 0.9880769 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5300 0.9856604 0.9874339 0.9883019 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5400 0.9859259 0.9876667 0.98851854 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5500 0.9861818 0.98789084 0.9887273 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5600 0.98642856 0.9881072 0.98892856 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5700 0.9866667 0.98831576 0.9891228 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5800 0.9868966 0.98851717 0.9893103 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
5900 0.98711866 0.98871183 0.9894915 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6000 0.98733336 0.9889 0.98966664 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6100 0.98754096 0.989082 0.98983604 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6200 0.98774195 0.9892581 0.99 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6300 0.9879365 0.9894287 0.99015874 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6400 0.988125 0.9895938 0.9903125 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6500 0.9883077 0.9897539 0.9904615 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6600 0.98848486 0.98990905 0.99060607 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6700 0.9886567 0.9900597 0.99074626 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6800 0.98882353 0.9902059 0.99088234 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
6900 0.9889855 0.99034774 0.9910145 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7000 0.98914284 0.9904858 0.99114287 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7100 0.9892958 0.9906198 0.9912676 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7200 0.98944443 0.99074996 0.9913889 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7300 0.98958904 0.9908768 0.9915069 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7400 0.9897297 0.991 0.9916216 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7500 0.9898667 0.99112004 0.9917333 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7600 0.99 0.99123687 0.9918421 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7700 0.9901299 0.99135065 0.99194807 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7800 0.9902564 0.9914616 0.9920513 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
7900 0.99037975 0.99156964 0.9921519 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8000 0.9905 0.9916751 0.99225 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8100 0.9906173 0.9917778 0.9923457 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8200 0.9907317 0.99187803 0.99243903 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8300 0.99084336 0.99197596 0.9925301 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8400 0.9909524 0.99207145 0.99261904 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
8500 0.9910588 0.99216473 0.9927059 1.0 49.1 56.0 0.7307692 0.7771739 0.8611111 0.3372093 0.47906977 0.5697674
