rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.9 92.0 0.20652173 0.25461063 0.3152174 0.8255814 0.89069766 0.94186044
100 0.49 0.56700003 0.65 1.0 83.9 87.0 0.2857143 0.3423546 0.4125 0.6744186 0.8 0.8604651
200 0.55 0.607 0.665 1.0 75.2 82.0 0.36486486 0.42563766 0.5 0.6511628 0.7186047 0.7906977
300 0.60333335 0.6456667 0.7033333 1.0 66.9 76.0 0.43421054 0.50606644 0.6101695 0.55813956 0.62790704 0.7209302
400 0.64 0.67675 0.7275 1.0 58.8 67.0 0.4920635 0.59529227 0.75 0.3604651 0.56046516 0.7209302
500 0.676 0.7076 0.758 1.0 51.0 59.0 0.6037736 0.70585954 0.84090906 0.30232558 0.45465118 0.627907
600 0.7033333 0.73766667 0.77666664 1.0 47.1 55.0 0.68085104 0.7703988 0.8684211 0.27906978 0.3988372 0.54651165
700 0.73285717 0.76528573 0.8 1.0 43.8 50.0 0.74 0.8281854 0.902439 0.27906978 0.35465115 0.4651163
800 0.76125 0.788625 0.82 1.0 41.8 48.0 0.82222223 0.866197 0.925 0.26744187 0.33604652 0.43023255
900 0.78333336 0.80744445 0.83555555 1.0 40.0 45.0 0.85294116 0.91014564 0.9736842 0.25581396 0.31511626 0.40697673
1000 0.804 0.82460004 0.851 1.0 38.8 43.0 0.88095236 0.9402994 1.0 0.23255815 0.29534885 0.37209302
1100 0.8190909 0.83890903 0.86454546 1.0 38.1 43.0 0.925 0.96028596 1.0 0.22093023 0.28255814 0.3488372
1200 0.83416665 0.8514166 0.87583333 1.0 37.8 43.0 0.925 0.9682312 1.0 0.19767442 0.27906975 0.3488372
1300 0.8453846 0.86246145 0.8853846 1.0 37.5 43.0 0.94285715 0.97587603 1.0 0.19767442 0.272093 0.3488372
1400 0.85571426 0.87178564 0.89357144 1.0 37.0 42.0 0.94285715 0.9892732 1.0 0.1744186 0.2627907 0.3139535
1500 0.86466664 0.8802 0.90066665 1.0 37.0 42.0 0.9714286 0.9921304 1.0 0.1744186 0.26511627 0.3255814
