rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.8 92.0 0.20652173 0.25277114 0.3043478 0.8255814 0.88488376 0.94186044
100 0.51 0.57899994 0.66 1.0 84.2 88.0 0.3068182 0.34840912 0.39506173 0.75581396 0.8418605 0.89534885
200 0.58 0.6285 0.7 1.0 77.5 83.0 0.35897437 0.42677432 0.47297296 0.6976744 0.7651163 0.8255814
300 0.6333333 0.666 0.70666665 1.0 70.3 77.0 0.41095892 0.5006751 0.5625 0.59302324 0.68953496 0.8023256
400 0.665 0.70425 0.7525 1.0 64.1 72.0 0.49253732 0.5676888 0.63492066 0.55813956 0.62558144 0.6976744
500 0.696 0.73579997 0.77 1.0 59.4 67.0 0.55 0.6217325 0.6730769 0.45348838 0.5790698 0.6511628
600 0.72 0.7631666 0.7816667 1.0 54.7 61.0 0.58928573 0.6816081 0.7659575 0.39534885 0.5162791 0.5813953
700 0.74857146 0.7882858 0.7985714 1.0 52.6 58.0 0.63461536 0.7130894 0.7826087 0.40697673 0.48372093 0.5697674
800 0.76375 0.81000006 0.82375 1.0 50.7 58.0 0.70689654 0.7431695 0.78723407 0.38372093 0.46279073 0.5697674
900 0.78444445 0.8275555 0.8411111 1.0 48.8 54.0 0.7222222 0.77152985 0.8181818 0.37209302 0.44302326 0.5116279
1000 0.8 0.84239995 0.857 1.0 48.4 54.0 0.7222222 0.780148 0.8181818 0.37209302 0.44069767 0.5116279
1100 0.81545454 0.85527265 0.8681818 1.0 47.7 54.0 0.7407407 0.7936994 0.82222223 0.3604651 0.43953484 0.5232558
1200 0.83 0.86633337 0.87916666 1.0 47.5 54.0 0.7647059 0.80302304 0.84 0.3488372 0.43720928 0.53488374
1300 0.84307694 0.8762307 0.88846153 1.0 47.1 54.0 0.7777778 0.8097417 0.84090906 0.3488372 0.427907 0.53488374
1400 0.8542857 0.88478565 0.8964286 1.0 46.9 53.0 0.7826087 0.8152925 0.8604651 0.3488372 0.42325583 0.5232558
1500 0.864 0.89239997 0.9033333 1.0 46.9 53.0 0.7826087 0.8152925 0.8604651 0.3488372 0.4244186 0.5232558
1600 0.8725 0.8989375 0.909375 1.0 46.8 53.0 0.7826087 0.8169506 0.8604651 0.3488372 0.42325583 0.5232558
1700 0.88 0.9048235 0.9147059 1.0 46.7 53.0 0.7924528 0.8186898 0.8604651 0.3488372 0.42325583 0.5232558
1800 0.88666666 0.9101111 0.91944444 1.0 46.7 53.0 0.7924528 0.8186898 0.8604651 0.3488372 0.42325583 0.5232558
1900 0.8926316 0.914842 0.92368424 1.0 46.7 53.0 0.7924528 0.8186898 0.8604651 0.3488372 0.42325583 0.5232558
2000 0.898 0.9191 0.9275 1.0 46.7 53.0 0.7924528 0.8186898 0.8604651 0.3488372 0.42325583 0.5232558
2100 0.9028571 0.9229048 0.93095237 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2200 0.90727276 0.92640907 0.9340909 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2300 0.91130435 0.9296087 0.9369565 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2400 0.915 0.93254167 0.93958336 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2500 0.9184 0.93524 0.942 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2600 0.9215385 0.9377308 0.9442308 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2700 0.92444444 0.9400371 0.9462963 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2800 0.92714286 0.9421786 0.9482143 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
2900 0.9296552 0.9441724 0.95 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3000 0.932 0.94603336 0.95166665 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3100 0.93419355 0.94777423 0.9532258 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3200 0.93625 0.9494063 0.9546875 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3300 0.9381818 0.95093936 0.9560606 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3400 0.94 0.9523824 0.95735294 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3500 0.9417143 0.95374286 0.95857143 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3600 0.9433333 0.9550277 0.9597222 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3700 0.94486487 0.9562432 0.96081084 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3800 0.94631577 0.9573948 0.9618421 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
3900 0.94769233 0.9584872 0.96282053 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4000 0.949 0.9595249 0.96375 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4100 0.9502439 0.96051216 0.9646341 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4200 0.9514286 0.9614523 0.9654762 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4300 0.95255816 0.9623488 0.9662791 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4400 0.95363635 0.9632045 0.9670454 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4500 0.9546667 0.9640223 0.9677778 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4600 0.9556522 0.96480435 0.96847826 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4700 0.9565957 0.9655533 0.96914893 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4800 0.9575 0.9662708 0.96979165 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
4900 0.95836735 0.9669592 0.97040814 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
5000 0.9592 0.96762 0.971 1.0 46.6 53.0 0.7924528 0.8204937 0.8604651 0.3488372 0.422093 0.5232558
