rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.9 92.0 0.20652173 0.25465837 0.3043478 0.8255814 0.8860465 0.94186044
100 0.51 0.61399996 0.69 1.0 90.6 94.0 0.35555556 0.41860086 0.44827586 0.8372093 0.877907 0.9302326
200 0.585 0.68499994 0.74 1.0 89.2 93.0 0.47252747 0.5329217 0.57954544 0.8372093 0.8651163 0.90697676
300 0.67 0.74866664 0.77666664 1.0 88.7 92.0 0.5730337 0.58742446 0.62222224 0.8255814 0.8662791 0.9302326
400 0.73 0.79225004 0.81 1.0 87.5 91.0 0.5934066 0.6267625 0.67045456 0.8023256 0.8546513 0.9302326
500 0.772 0.82079995 0.83 1.0 87.5 92.0 0.6086956 0.65213907 0.6904762 0.7906977 0.8523256 0.94186044
600 0.8016667 0.8455001 0.8566667 1.0 87.5 91.0 0.61538464 0.66358465 0.71428573 0.7906977 0.85 0.94186044
700 0.83 0.8634286 0.8742857 1.0 87.3 91.0 0.63736266 0.67423177 0.71428573 0.7906977 0.85 0.94186044
800 0.85 0.87825 0.89 1.0 87.2 91.0 0.64444447 0.6807308 0.72619045 0.7906977 0.8430233 0.9302326
900 0.8666667 0.89044446 0.9022222 1.0 87.1 91.0 0.64444447 0.6894851 0.7294118 0.7906977 0.83953494 0.9186047
1000 0.88 0.9007 0.912 1.0 87.1 91.0 0.64444447 0.69281924 0.7294118 0.7906977 0.83953494 0.9186047
1100 0.8909091 0.9094545 0.92 1.0 87.1 91.0 0.64444447 0.6950809 0.7294118 0.7906977 0.83953494 0.9186047
1200 0.9 0.9169167 0.9266667 1.0 87.1 91.0 0.64444447 0.6950809 0.7294118 0.7906977 0.83953494 0.9186047
1300 0.9076923 0.9233077 0.9323077 1.0 87.1 91.0 0.64444447 0.6950809 0.7294118 0.7906977 0.83953494 0.9186047
1400 0.9142857 0.9287857 0.93714285 1.0 87.1 91.0 0.64444447 0.6950809 0.7294118 0.7906977 0.83953494 0.9186047
