rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 91.6 92.0 0.20652173 0.25555423 0.30769232 0.8255814 0.88488376 0.94186044
100 0.52 0.62 0.69 1.0 74.6 82.0 0.3902439 0.4516334 0.49295774 0.6395349 0.74418604 0.8488372
200 0.65 0.707 0.76 1.0 67.8 76.0 0.51428574 0.6147637 0.67241377 0.55813956 0.67558134 0.81395346
300 0.74 0.776 0.8 1.0 65.6 75.0 0.61333334 0.6811697 0.72727275 0.5232558 0.6604651 0.76744187
400 0.7925 0.82 0.835 1.0 64.5 74.0 0.6621622 0.7245436 0.76 0.5116279 0.65116274 0.75581396
500 0.828 0.8514 0.866 1.0 64.0 74.0 0.6756757 0.74617934 0.8 0.5 0.644186 0.74418604
600 0.85333335 0.87366664 0.88666666 1.0 63.7 73.0 0.69863015 0.7627234 0.84 0.5 0.64069766 0.74418604
700 0.8742857 0.89042854 0.9028571 1.0 63.7 74.0 0.6891892 0.7676649 0.84 0.5 0.64069766 0.74418604
800 0.88875 0.90349996 0.915 1.0 63.6 73.0 0.69863015 0.7721964 0.86 0.5 0.63837206 0.7209302
900 0.9011111 0.91388893 0.92444444 1.0 63.5 73.0 0.69863015 0.7767376 0.86 0.5 0.6372093 0.7209302
1000 0.911 0.9222 0.932 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
1100 0.9190909 0.92927265 0.9381818 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
1200 0.92583334 0.93516666 0.9433333 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
1300 0.93153846 0.9401539 0.94769233 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
1400 0.93642855 0.94442856 0.9514286 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
1500 0.9406667 0.94813335 0.9546667 1.0 63.4 72.0 0.7083333 0.7792231 0.86 0.5 0.6372093 0.7209302
