rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.0 92.0 0.20652173 0.25434786 0.3152174 0.8255814 0.8872093 0.94186044
100 0.48 0.57600003 0.63 1.0 86.2 89.0 0.2857143 0.33180323 0.3764706 0.75581396 0.83255816 0.89534885
200 0.555 0.62049997 0.67 1.0 80.8 85.0 0.3580247 0.40847358 0.5 0.7093023 0.78255814 0.8488372
300 0.62333333 0.6536667 0.69 1.0 74.7 80.0 0.43243244 0.4847282 0.54545456 0.60465115 0.71976745 0.7906977
400 0.63 0.66875 0.695 1.0 68.2 74.0 0.5 0.56677425 0.6393443 0.4651163 0.6418605 0.75581396
500 0.652 0.696 0.714 1.0 63.6 69.0 0.53846157 0.63077986 0.71666664 0.47674417 0.6139535 0.7093023
600 0.68666667 0.71966666 0.74666667 1.0 60.7 70.0 0.578125 0.694165 0.7894737 0.4883721 0.5686046 0.6395349
700 0.71428573 0.7435714 0.76428574 1.0 57.5 69.0 0.6376812 0.7458527 0.8035714 0.44186047 0.51976746 0.61627907
800 0.7425 0.76637495 0.79125 1.0 54.9 65.0 0.6769231 0.7928329 0.8490566 0.43023255 0.49069768 0.59302324
900 0.76222223 0.78499997 0.8055556 1.0 53.3 62.0 0.7419355 0.82886314 0.8888889 0.39534885 0.4662791 0.5697674
1000 0.781 0.80270004 0.823 1.0 51.6 57.0 0.7962963 0.86154777 0.9019608 0.39534885 0.45348835 0.53488374
1100 0.79636365 0.8159091 0.8354545 1.0 50.3 54.0 0.84615386 0.8988016 0.9302326 0.38372093 0.43720928 0.4883721
1200 0.81083333 0.82858336 0.8491667 1.0 49.5 54.0 0.84615386 0.9225791 0.98 0.3604651 0.42325577 0.4883721
1300 0.8230769 0.8400769 0.86 1.0 49.1 54.0 0.88 0.9321353 0.98 0.37209302 0.41976744 0.47674417
1400 0.83285713 0.8497857 0.86785716 1.0 48.7 54.0 0.88461536 0.9433794 1.0 0.3488372 0.41395345 0.47674417
1500 0.842 0.85893327 0.876 1.0 48.1 54.0 0.92 0.95689666 1.0 0.3139535 0.40348834 0.47674417
1600 0.850625 0.86706245 0.883125 1.0 48.0 53.0 0.9166667 0.96282864 1.0 0.3139535 0.4046511 0.47674417
1700 0.85882354 0.874647 0.89 1.0 48.0 53.0 0.9166667 0.96282864 1.0 0.3139535 0.4046511 0.47674417
1800 0.865 0.88116664 0.89611113 1.0 47.6 53.0 0.92 0.97290534 1.0 0.30232558 0.3965116 0.4651163
1900 0.87210524 0.88721055 0.90105265 1.0 47.6 53.0 0.9361702 0.9749053 1.0 0.30232558 0.39069766 0.4651163
2000 0.8775 0.89260006 0.9055 1.0 47.2 53.0 0.94 0.9858076 1.0 0.30232558 0.39069766 0.4651163
2100 0.8833333 0.89766675 0.9095238 1.0 47.2 53.0 0.94 0.9858076 1.0 0.30232558 0.39069766 0.4651163
2200 0.88863635 0.9023182 0.9136364 1.0 47.2 53.0 0.94 0.9858076 1.0 0.30232558 0.39069766 0.4651163
2300 0.8934783 0.9063913 0.9173913 1.0 46.9 52.0 0.9777778 0.9916111 1.0 0.30232558 0.39069766 0.4651163
2400 0.8979167 0.9102917 0.92083335 1.0 46.9 52.0 0.9777778 0.9916111 1.0 0.30232558 0.39069766 0.4651163
2500 0.902 0.91379994 0.9236 1.0 46.8 52.0 0.9777778 0.99361116 1.0 0.30232558 0.39069766 0.4651163
2600 0.9053846 0.91707695 0.92653847 1.0 46.8 52.0 0.9791667 0.9958333 1.0 0.30232558 0.39069766 0.4651163
2700 0.9088889 0.9201481 0.92925924 1.0 46.8 52.0 0.9791667 0.9958333 1.0 0.30232558 0.39069766 0.4651163
2800 0.9121429 0.923 0.9317857 1.0 46.8 52.0 0.9791667 0.9958333 1.0 0.30232558 0.39069766 0.4651163
2900 0.9151724 0.9255862 0.93413794 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3000 0.918 0.9280666 0.93633336 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3100 0.9206452 0.93038714 0.9383871 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3200 0.923125 0.93256253 0.9403125 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3300 0.92545456 0.93460596 0.9421212 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3400 0.92764705 0.93652934 0.9438235 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3500 0.92971426 0.93834287 0.94542855 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3600 0.9316667 0.9400555 0.9469444 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3700 0.9335135 0.94167566 0.9483784 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3800 0.93526316 0.9432105 0.94973683 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
3900 0.9369231 0.9446667 0.95102566 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4000 0.9385 0.94605005 0.95225 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4100 0.94 0.94736576 0.9534146 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4200 0.94142854 0.948619 0.9545238 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4300 0.9427907 0.94981396 0.95558137 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4400 0.9440909 0.95095456 0.9565909 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4500 0.94533336 0.9520445 0.95755553 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4600 0.94652176 0.953087 0.9584783 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4700 0.94765955 0.9540852 0.9593617 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
4800 0.94875 0.9550416 0.96020836 1.0 46.7 52.0 1.0 1.0 1.0 0.30232558 0.38953486 0.4651163
